date,sustainable_growth_rate
"Dec. 31, 2019",5.03%
"Sept. 30, 2019",4.95%
"June 30, 2019",5.37%
"March 31, 2019",5.52%
"Dec. 31, 2018",2.19%
"Sept. 30, 2018",1.23%
"June 30, 2018",0.99%
"March 31, 2018",0.87%
"Dec. 31, 2017",1.39%
"Sept. 30, 2017",2.24%
"June 30, 2017",2.79%
"March 31, 2017",3.24%
"Dec. 31, 2016",3.12%
"Sept. 30, 2016",3.17%
"June 30, 2016",3.35%
"March 31, 2016",3.35%
"Dec. 31, 2015",2.71%
"Sept. 30, 2015",2.35%
"June 30, 2015",2.24%
"March 31, 2015",7.63%
"Dec. 31, 2014",8.11%
"Sept. 30, 2014",8.40%
"June 30, 2014",8.87%
"March 31, 2014",3.32%
"Dec. 31, 2013",2.94%
"Sept. 30, 2013",1.80%
"June 30, 2013",1.47%
"March 31, 2013",0.99%
"Dec. 31, 2012",0.79%
"Sept. 30, 2012",1.63%
"June 30, 2012",2.16%
"March 31, 2012",2.69%
"Dec. 31, 2011",3.14%
"Sept. 30, 2011",3.43%
"June 30, 2011",3.82%
"March 31, 2011",4.31%
"Dec. 31, 2010",3.38%
"Sept. 30, 2010",3.35%
"June 30, 2010",3.22%
"March 31, 2010",3.52%
"Dec. 31, 2009",4.16%
"Sept. 30, 2009",3.94%
"June 30, 2009",4.10%
"March 31, 2009",4.21%
"Dec. 31, 2008",3.81%
"Sept. 30, 2008",3.72%
"June 30, 2008",2.74%
"March 31, 2008",1.85%
"Dec. 31, 2007",0.76%
"Sept. 30, 2007",1.31%
"June 30, 2007",3.01%
"March 31, 2007",3.13%
"Dec. 31, 2006",5.47%
"Sept. 30, 2006",6.65%
"June 30, 2006",4.37%
"March 31, 2006",5.15%
"Dec. 31, 2005",2.44%
"Sept. 30, 2005",2.17%
"June 30, 2005",2.10%
"March 31, 2005",1.02%
"Dec. 31, 2004",1.36%
"Sept. 30, 2004",0.40%
"June 30, 2004",2.33%
"March 31, 2004",2.18%
"Dec. 31, 2003",2.70%
"Sept. 30, 2003",2.18%
"June 30, 2003",1.32%
"March 31, 2003",1.51%
"Dec. 31, 2002",0.81%
"Sept. 30, 2002",-1.81%
"June 30, 2002",-5.95%
"March 31, 2002",-4.24%
"Dec. 31, 2001",-1.75%
"Sept. 30, 2001",8.62%
"June 30, 2001",18.31%
"March 31, 2001",12.47%
"Dec. 31, 2000",10.32%
"Sept. 30, 2000",-6.74%
"June 30, 2000",-9.26%
"March 31, 2000",-4.45%
"Dec. 31, 1999",-3.02%
"Sept. 30, 1999",6.93%
"June 30, 1999",1.59%
"March 31, 1999",1.32%
"Dec. 31, 1998",1.92%
"Sept. 30, 1998",0.98%
"June 30, 1998",1.47%
"March 31, 1998",5.74%
"Dec. 31, 1997",5.36%
"Sept. 30, 1997",4.02%
"June 30, 1997",3.77%
"March 31, 1997",-1.27%
"Dec. 31, 1996",0.86%
"Sept. 30, 1996",3.78%
"June 30, 1996",4.08%
"March 31, 1996",4.97%
"Dec. 31, 1995",3.11%
"Sept. 30, 1995",2.34%
"June 30, 1995",2.03%
"March 31, 1995",2.27%
"Dec. 31, 1994",2.10%
"Sept. 30, 1994",4.13%
