date,revenues_growth
"Dec. 31, 2019",-2.06%
"Sept. 30, 2019",-4.14%
"June 30, 2019",-5.79%
"March 31, 2019",-3.15%
"Dec. 31, 2018",-6.44%
"Sept. 30, 2018",-0.36%
"June 30, 2018",1.53%
"March 31, 2018",-6.21%
"Dec. 31, 2017",-1.06%
"Sept. 30, 2017",-2.06%
"June 30, 2017",-1.36%
"March 31, 2017",4.38%
"Dec. 31, 2016",3.83%
"Sept. 30, 2016",-3.28%
"June 30, 2016",-5.48%
"March 31, 2016",-6.34%
"Dec. 31, 2015",-5.96%
"Sept. 30, 2015",4.01%
"June 30, 2015",7.92%
"March 31, 2015",-0.02%
"Dec. 31, 2014",1.87%
"Sept. 30, 2014",4.17%
"June 30, 2014",1.66%
"March 31, 2014",-7.52%
"Dec. 31, 2013",58.63%
"Sept. 30, 2013",-15.02%
"June 30, 2013",-10.51%
"March 31, 2013",6.78%
"Dec. 31, 2012",-41.93%
"Sept. 30, 2012",-0.90%
"June 30, 2012",-4.71%
"March 31, 2012",-5.10%
"Dec. 31, 2011",17.23%
"Sept. 30, 2011",-6.39%
"June 30, 2011",-0.05%
"March 31, 2011",4.42%
"Dec. 31, 2010",-7.16%
"Sept. 30, 2010",16.68%
"June 30, 2010",17.46%
"March 31, 2010",-6.37%
"Dec. 31, 2009",-9.87%
"Sept. 30, 2009",-17.77%
"June 30, 2009",-12.33%
"March 31, 2009",-1.78%
"Dec. 31, 2008",15.65%
"Sept. 30, 2008",42.97%
"June 30, 2008",15.23%
"March 31, 2008",8.08%
"Dec. 31, 2007",-9.33%
"Sept. 30, 2007",-8.65%
"June 30, 2007",5.78%
"March 31, 2007",-8.02%
"Dec. 31, 2006",-6.92%
"Sept. 30, 2006",10.28%
"June 30, 2006",5.34%
"March 31, 2006",37.65%
"Dec. 31, 2005",34.67%
"Sept. 30, 2005",9.99%
"June 30, 2005",20.78%
"March 31, 2005",5.51%
"Dec. 31, 2004",10.16%
"Sept. 30, 2004",1.17%
"June 30, 2004",-4.58%
"March 31, 2004",1.43%
"Dec. 31, 2003",-2.43%
"Sept. 30, 2003",19.39%
"June 30, 2003",-68.49%
"March 31, 2003",3.69%
"Dec. 31, 2002",-27.13%
"Sept. 30, 2002",-13.85%
"June 30, 2002",-51.41%
"March 31, 2002",-83.86%
"Dec. 31, 2001",
"Sept. 30, 2001",-91.90%
"June 30, 2001",14.27%
"March 31, 2001",46.52%
"Dec. 31, 2000",
"Sept. 30, 2000",-22.96%
"June 30, 2000",-4.13%
"March 31, 2000",13.95%
"Dec. 31, 1999",50.23%
"Sept. 30, 1999",159.3%
"June 30, 1999",123.0%
"March 31, 1999",112.1%
"Dec. 31, 1998",110.1%
"Sept. 30, 1998",386.0%
"June 30, 1998",167.9%
"March 31, 1998",101.3%
"Dec. 31, 1997",73.05%
"Sept. 30, 1997",34.26%
"June 30, 1997",20.62%
"March 31, 1997",14.52%
"Dec. 31, 1996",17.11%
"Sept. 30, 1996",39.20%
"June 30, 1996",23.21%
"March 31, 1996",25.32%
"Dec. 31, 1995",26.16%
"Sept. 30, 1995",10.96%
"June 30, 1995",8.02%
"March 31, 1995",3.67%
"Dec. 31, 1994",7.45%
"Sept. 30, 1994",15.22%
"June 30, 1994",16.00%
"March 31, 1994",-10.38%
"Dec. 31, 1993",8.64%
"Sept. 30, 1993",4.13%
"June 30, 1993",6.82%
"March 31, 1993",35.58%
"Dec. 31, 1992",-3.09%
"Sept. 30, 1992",4.68%
"June 30, 1992",-4.12%
"March 31, 1992",-2.60%
"Dec. 31, 1991",11.02%
"Sept. 30, 1991",-4.87%
"June 30, 1991",-2.98%
"March 31, 1991",-6.06%
"Dec. 31, 1990",-6.42%
"Sept. 30, 1990",-6.81%
"June 30, 1990",1.51%
"March 31, 1990",-1.27%
"Dec. 31, 1989",15.71%
"Sept. 30, 1989",3.82%
"June 30, 1989",1.53%
"March 31, 1989",11.98%
"Dec. 31, 1988",18.14%
"Sept. 30, 1988",54.26%
"June 30, 1988",50.91%
"March 31, 1988",31.50%
"Dec. 31, 1987",17.21%
"Sept. 30, 1987",6.54%
"June 30, 1987",-1.56%
"March 31, 1987",-9.50%
"Dec. 31, 1986",-20.95%
"Sept. 30, 1986",-12.09%
"June 30, 1986",-14.02%
"March 31, 1986",-13.40%
"Dec. 31, 1985",8.30%
"Sept. 30, 1985",6.23%
"June 30, 1985",5.32%
"March 31, 1985",22.62%
