Cash Flow - Operations (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Net Income,152.70M,733.90M,459.10M,574.10M,364.80M,579.70M,530.10M,456.70M,401.80M,556.70M,376.20M,594.20M,375.20M,-764.20M,506.40M,503.10M,205.20M,511.80M,431.40M,620.20M,160.50M,478.00M,391.00M,561.00M,336.90M,434.00M,339.00M,364.00M,21.00M,488.00M,363.00M,390.00M,584.00M,657.00M,353.00M,355.00M,178.00M,557.00M,483.00M,,239.00M,446.00M,322.00M,363.00M,143.00M,376.00M,281.00M,576.00M,231.00M,407.00M,180.00M,271.00M,181.00M,265.00M,175.00M,381.00M,-149.00M,387.00M,221.00M,355.00M,177.00M,530.00M,93.00M,289.00M,-762.00M,257.00M,175.00M,440.00M,-837.00M,425.00M,-288.00M,181.00M,52.00M,421.00M,232.00M,266.00M,-222.00M,393.00M,27.00M,104.00M,199.00M,403.00M,233.00M,151.00M,511.00M,195.00M,118.00M,151.00M,124.90M,201.80M,121.10M,172.60M,132.40M,162.30M,112.70M,180.00M,131.40M,154.20M,96.40M,147.90M,103.50M,139.80M,103.70M,153.00M
Gain/Loss on Sale Business,,,,,,,,,12.40M,-12.40M,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.00M,-33.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gain (Loss) on Investment Securities,12.40M,31.30M,-138.40M,65.50M,29.00M,17.50M,-112.20M,-0.70M,32.90M,28.50M,-90.70M,6.00M,94.20M,7.90M,27.80M,20.90M,34.80M,58.80M,-20.10M,-21.00M,-68.10M,6.00M,3.00M,6.00M,9.50M,13.00M,-18.00M,34.00M,-13.00M,62.00M,-2.00M,10.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pension and Employee Expense,,,,,,,,,27.80M,0.00,-93.30M,,21.60M,0.00,-84.80M,,33.20M,0.70M,-92.50M,,76.90M,1.00M,-71.00M,,167.70M,0.00,0.00,,20.00M,-100.00M,,,-300.00M,-150.00M,,,-37.00M,-463.00M,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Gains Losses,-12.20M,31.30M,-138.40M,65.50M,-13.80M,17.50M,-112.20M,-0.70M,73.10M,16.10M,-183.90M,-220.50M,22.30M,7.90M,-57.00M,20.90M,68.00M,59.50M,-112.60M,-21.00M,8.80M,7.00M,-68.00M,6.00M,177.20M,13.00M,-18.00M,34.00M,7.00M,-38.00M,-2.00M,10.00M,-212.00M,-150.00M,52.00M,-103.00M,-7.00M,-463.00M,,,-220.00M,255.00M,53.00M,-119.00M,-475.00M,-29.00M,18.00M,-3.00M,-86.00M,20.00M,-210.00M,29.00M,-120.00M,223.00M,-90.00M,-46.00M,-438.00M,112.00M,-137.00M,-230.00M,-524.00M,-17.00M,185.00M,-53.00M,1.118B,27.00M,-48.00M,-61.00M,1.345B,-40.00M,411.00M,210.00M,-304.00M,-75.00M,81.00M,,-227.00M,-112.00M,-185.00M,-5.00M,-115.00M,-84.00M,-69.00M,-6.00M,-61.00M,-17.00M,-53.00M,-6.00M,-7.70M,-5.80M,-5.90M,-5.80M,-8.20M,-5.80M,-5.90M,-5.90M,-7.90M,-6.00M,-6.00M,-5.90M,7.00M,-6.00M,-6.00M,-10.30M
Depreciation Expense,794.90M,670.70M,643.60M,630.90M,622.30M,633.80M,577.20M,567.10M,535.60M,551.70M,522.00M,517.00M,431.00M,575.80M,546.50M,537.60M,525.10M,571.00M,524.90M,533.70M,509.80M,519.00M,484.00M,529.00M,432.10M,485.00M,472.00M,454.00M,465.00M,506.00M,490.00M,457.00M,1.792B,,-403.00M,403.00M,,,,,397.00M,421.00M,397.00M,382.00M,360.00M,387.00M,736.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amortization Expense CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-34.00M,34.00M,,,,,22.00M,16.00M,12.00M,13.00M,16.00M,27.00M,45.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Depreciation and Amortization,794.90M,670.70M,643.60M,630.90M,622.30M,633.80M,577.20M,567.10M,535.60M,551.70M,522.00M,517.00M,431.00M,575.80M,546.50M,537.60M,525.10M,571.00M,524.90M,533.70M,509.80M,519.00M,484.00M,529.00M,432.10M,485.00M,472.00M,454.00M,465.00M,506.00M,490.00M,457.00M,534.00M,445.00M,376.00M,437.00M,543.00M,424.00M,405.00M,408.00M,419.00M,437.00M,409.00M,395.00M,376.00M,414.00M,418.00M,363.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total Depreciation, Amortization, Depletion",794.90M,670.70M,643.60M,630.90M,622.30M,633.80M,577.20M,567.10M,535.60M,551.70M,522.00M,517.00M,431.00M,575.80M,546.50M,537.60M,525.10M,571.00M,524.90M,533.70M,509.80M,519.00M,484.00M,529.00M,432.10M,485.00M,472.00M,454.00M,465.00M,506.00M,490.00M,457.00M,534.00M,445.00M,376.00M,437.00M,543.00M,424.00M,405.00M,408.00M,419.00M,437.00M,409.00M,395.00M,376.00M,414.00M,418.00M,363.00M,386.00M,396.00M,389.00M,407.00M,395.00M,395.00M,365.00M,362.00M,271.00M,351.00M,352.00M,327.00M,233.00M,398.00M,440.00M,226.00M,255.00M,428.00M,430.00M,232.00M,230.00M,427.00M,380.00M,362.00M,227.00M,415.00M,459.00M,352.00M,203.00M,379.00M,570.00M,195.00M,119.00M,379.00M,473.00M,172.00M,,,,,,,,,,,,,,,,,,,,
