Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Cash and Equivalents,246.80M,348.80M,210.50M,227.70M,234.10M,788.30M,211.20M,183.40M,214.60M,343.90M,172.40M,175.00M,210.50M,212.20M,246.80M,190.40M,176.40M,178.00M,195.00M,190.00M,162.50M,194.00M,190.00M,292.00M,118.00M,147.00M,117.00M,179.00M,279.00M,443.00M,297.00M,286.00M,221.00M,546.00M,417.00M,625.00M,294.00M,1.09B,912.00M,927.00M,490.00M,877.00M,493.00M,710.00M,497.00M,338.00M,218.00M,155.00M,178.00M,196.00M,172.00M,456.00M,726.00M,259.00M,422.00M,478.00M,528.00M,849.00M,882.00M,1.261B,595.00M,1.461B,1.066B,1.253B,1.182B,1.708B,1.176B,1.764B,1.199B,566.00M,585.00M,306.00M,333.00M,379.00M,212.00M,275.00M,342.00M,295.00M,312.00M,364.00M,653.00M,274.00M,242.00M,280.00M,173.00M,147.90M,175.30M,133.20M,91.50M,91.80M,94.20M,86.10M,57.50M,112.70M,110.40M,189.40M,80.00M,93.70M,129.20M,87.50M,62.90M,46.40M,32.30M,74.90M
Short Term Investments,202.70M,198.40M,175.70M,168.90M,159.10M,164.10M,163.10M,167.90M,161.70M,310.70M,317.60M,275.00M,138.70M,279.20M,306.90M,264.50M,386.80M,315.00M,356.00M,293.00M,385.60M,318.00M,377.00M,310.00M,353.00M,288.00M,298.00M,261.00M,324.00M,278.00M,297.00M,217.00M,294.00M,240.00M,311.00M,366.00M,416.00M,326.00M,298.00M,238.00M,363.00M,259.00M,289.00M,215.00M,327.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,449.50M,547.20M,386.20M,396.60M,393.20M,952.40M,374.30M,351.30M,376.30M,654.60M,490.00M,450.00M,349.20M,491.40M,553.70M,454.90M,563.20M,493.00M,551.00M,483.00M,548.10M,512.00M,567.00M,602.00M,471.00M,435.00M,415.00M,440.00M,603.00M,721.00M,594.00M,503.00M,515.00M,786.00M,728.00M,991.00M,710.00M,1.416B,1.21B,1.165B,853.00M,1.136B,782.00M,925.00M,824.00M,338.00M,218.00M,155.00M,178.00M,196.00M,172.00M,456.00M,726.00M,259.00M,422.00M,478.00M,528.00M,849.00M,882.00M,1.261B,595.00M,1.461B,1.066B,1.253B,1.182B,1.708B,1.176B,1.764B,1.199B,566.00M,585.00M,306.00M,333.00M,379.00M,212.00M,275.00M,342.00M,295.00M,312.00M,364.00M,653.00M,274.00M,242.00M,280.00M,173.00M,147.90M,175.30M,133.20M,91.50M,91.80M,94.20M,86.10M,57.50M,112.70M,110.40M,189.40M,80.00M,93.70M,129.20M,87.50M,62.90M,46.40M,32.30M,74.90M
Accounts Receivable,625.30M,609.00M,688.90M,696.60M,699.00M,757.90M,827.20M,635.60M,643.90M,522.70M,538.70M,601.00M,705.10M,628.40M,692.40M,651.20M,615.90M,662.00M,815.00M,725.00M,637.20M,671.00M,774.00M,785.00M,746.00M,657.00M,725.00M,679.00M,685.00M,1.645B,1.633B,1.626B,690.00M,1.721B,1.792B,1.647B,1.769B,1.722B,1.776B,1.48B,584.00M,600.00M,643.00M,584.00M,659.00M,817.00M,795.00M,707.00M,738.00M,739.00M,694.00M,785.00M,690.00M,769.00M,670.00M,685.00M,846.00M,844.00M,704.00M,869.00M,837.00M,816.00M,986.00M,1.048B,1.114B,1.535B,1.685B,2.572B,1.538B,2.546B,2.638B,2.554B,1.882B,2.824B,2.532B,3.158B,3.699B,3.022B,2.502B,993.00M,2.027B,978.00M,908.00M,854.00M,879.00M,841.70M,867.50M,714.90M,667.50M,573.70M,558.70M,577.10M,531.30M,525.60M,545.00M,546.00M,492.30M,498.10M,452.70M,436.90M,420.50M,424.50M,475.10M,506.30M
Other Receivables,901.10M,992.20M,972.60M,1.019B,1.055B,1.159B,1.277B,1.042B,1.055B,1.068B,1.040B,1.004B,1.091B,1.125B,1.061B,943.00M,1.022B,1.071B,1.068B,1.083B,1.073B,1.096B,1.12B,1.081B,1.017B,1.089B,1.149B,1.017B,1.027B,,,,1.07B,,,,,,,98.00M,,63.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Receivables,1.705B,1.825B,1.781B,1.882B,1.926B,2.118B,2.271B,1.852B,1.891B,1.741B,1.662B,1.711B,1.917B,2.095B,2.088B,1.876B,1.640B,1.853B,1.92B,1.889B,1.835B,1.855B,1.926B,1.943B,1.86B,1.856B,1.931B,1.869B,1.871B,1.904B,1.808B,1.717B,1.834B,1.938B,2.197B,2.05B,2.312B,1.981B,2.50B,2.116B,1.597B,1.029B,1.037B,962.00M,1.112B,1.187B,1.195B,1.05B,1.117B,1.115B,1.072B,1.089B,1.04B,1.083B,1.017B,1.00B,1.22B,1.21B,1.058B,1.125B,1.502B,1.333B,1.546B,1.521B,1.71B,1.535B,1.685B,2.572B,2.089B,2.546B,2.638B,2.554B,1.882B,2.824B,2.532B,3.158B,3.699B,3.022B,2.502B,993.00M,2.027B,1.191B,1.132B,1.037B,1.093B,1.032B,1.065B,878.20M,856.70M,723.10M,726.20M,731.00M,706.30M,670.70M,716.60M,709.50M,700.20M,637.20M,608.00M,576.80M,588.00M,558.80M,627.90M,638.60M
Inventories,1.169B,1.051B,1.034B,946.60M,921.10M,847.90M,915.60M,922.80M,953.20M,916.50M,982.20M,955.30M,967.30M,1.025B,1.362B,1.352B,1.339B,1.105B,1.16B,1.192B,1.317B,1.205B,1.219B,1.214B,1.423B,1.44B,1.574B,1.52B,1.519B,1.462B,1.494B,1.418B,1.292B,1.173B,1.305B,1.328B,1.448B,1.409B,1.577B,1.566B,1.661B,1.567B,1.486B,1.29B,1.173B,1.018B,1.049B,947.00M,967.00M,961.00M,1.038B,942.00M,913.00M,810.00M,865.00M,776.00M,726.00M,649.00M,729.00M,636.00M,852.00M,1.074B,1.192B,961.00M,889.00M,1.197B,1.178B,966.00M,938.00M,1.227B,1.146B,963.00M,,,,,,806.00M,823.00M,571.00M,896.00M,604.00M,628.00M,544.00M,496.00M,474.30M,519.60M,481.80M,488.60M,476.80M,499.20M,461.30M,487.20M,502.30M,522.30M,494.10M,523.00M,490.00M,562.80M,537.70M,523.40M,497.30M,492.80M,420.80M
Prepaid Expenses,302.50M,316.60M,320.90M,336.70M,350.20M,295.40M,358.40M,434.40M,415.90M,456.20M,315.50M,246.70M,405.40M,204.60M,217.70M,217.30M,279.70M,241.00M,297.00M,277.00M,370.40M,259.00M,307.00M,276.00M,316.00M,334.00M,417.00M,315.00M,317.00M,209.00M,179.00M,185.00M,283.00M,173.00M,172.00M,157.00M,145.00M,155.00M,152.00M,239.00M,211.00M,243.00M,232.00M,203.00M,126.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restricted Cash,185.80M,141.00M,179.10M,135.40M,210.00M,149.20M,176.10M,133.10M,198.00M,,,,193.00M,,,,,,,,,,,,,,,,,,,,,62.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Assets,92.90M,98.50M,109.90M,123.30M,150.10M,137.50M,280.40M,352.30M,292.50M,153.50M,189.00M,158.50M,156.60M,107.40M,106.50M,102.30M,115.20M,105.00M,125.00M,137.00M,126.60M,145.00M,158.00M,175.00M,80.00M,81.00M,98.00M,91.00M,88.00M,103.00M,126.00M,75.00M,65.00M,78.00M,93.00M,,401.00M,181.00M,354.00M,430.00M,434.00M,204.00M,687.00M,320.00M,540.00M,1.441B,1.544B,1.209B,764.00M,839.00M,981.00M,676.00M,909.00M,1.023B,951.00M,995.00M,1.471B,1.962B,861.00M,1.381B,1.047B,1.115B,1.061B,1.095B,1.046B,1.915B,1.893B,2.142B,1.092B,9.258B,10.74B,10.46B,10.35B,14.80B,13.41B,10.80B,16.86B,4.482B,5.579B,1.647B,1.498B,759.00M,983.00M,729.00M,456.00M,266.70M,881.30M,92.40M,81.30M,87.40M,132.20M,129.40M,103.90M,111.10M,143.70M,150.80M,98.70M,118.60M,146.60M,147.40M,94.80M,96.90M,132.20M,139.40M
