Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03
Operating Revenue,20.57B,18.32B,18.05B,17.16B,19.85B,17.44B,17.46B,17.11B,18.98B,16.17B,15.93B,15.51B,17.64B,14.93B,14.63B,14.42B,16.05B,14.24B,14.10B,13.98B,15.90B,14.29B,14.27B,13.78B,14.98B,13.52B,13.51B,13.43B,14.57B,13.07B,13.35B,13.14B,14.17B,13.17B,13.19B,12.58B,13.42B,12.19B,12.20B,11.73B,12.38B,11.15B,10.83B,10.94B,12.70B,13.11B,13.00B,12.68B,13.39B,12.20B,12.19B,11.91B,12.63B,11.66B,11.74B,11.52B,11.95B,10.55B,10.19B,9.886B,9.84B,8.952B,8.871B,8.919B,8.932B,8.312B,8.226B,8.015B,8.257B,7.754B,7.682B,7.579B,7.997B,7.398B,7.491B,7.51B,7.90B,7.367B,7.284B,7.22B,7.446B,6.715B,6.56B,6.331B
Revenue,20.57B,18.32B,18.05B,17.16B,19.85B,17.44B,17.46B,17.11B,18.98B,16.17B,15.93B,15.51B,17.64B,14.93B,14.63B,14.42B,16.05B,14.24B,14.10B,13.98B,15.90B,14.29B,14.27B,13.78B,14.98B,13.52B,13.51B,13.43B,14.57B,13.07B,13.35B,13.14B,14.17B,13.17B,13.19B,12.58B,13.42B,12.19B,12.20B,11.73B,12.38B,11.15B,10.83B,10.94B,12.70B,13.11B,13.00B,12.68B,13.39B,12.20B,12.19B,11.91B,12.63B,11.66B,11.74B,11.52B,11.95B,10.55B,10.19B,9.886B,9.84B,8.952B,8.871B,8.919B,8.932B,8.312B,8.226B,8.015B,8.257B,7.754B,7.682B,7.579B,7.997B,7.398B,7.491B,7.51B,7.627B,7.367B,7.284B,7.22B,7.446B,6.715B,6.56B,6.331B
Cost of Goods Sold,16.61B,14.82B,14.53B,14.43B,16.29B,14.38B,14.37B,14.33B,15.39B,13.16B,12.73B,12.72B,14.50B,11.80B,11.50B,11.51B,12.70B,11.13B,11.02B,11.21B,13.78B,11.31B,12.40B,11.24B,11.93B,10.71B,10.70B,10.79B,16.21B,11.28B,10.47B,10.58B,33.72B,3.135B,3.136B,2.871B,32.30B,2.662B,2.611B,2.453B,2.637B,2.198B,1.727B,1.984B,2.708B,3.178B,3.149B,2.843B,2.918B,2.48B,2.383B,1.946B,,,,,,,,,4.26B,1.75B,2.482B,2.534B,,,,2.362B,2.062B,1.911B,1.857B,1.832B,,899.00M,,1.997B,2.13B,1.84B,1.791B,1.779B,,,,
Gross Profit,3.959B,3.502B,3.522B,2.734B,3.558B,3.064B,3.085B,2.782B,3.584B,3.015B,3.195B,2.79B,3.139B,3.13B,3.133B,2.905B,3.353B,3.106B,3.08B,2.765B,2.117B,2.979B,1.87B,2.54B,3.049B,2.815B,2.803B,2.644B,-1.64B,1.792B,2.88B,2.561B,-19.56B,10.03B,10.06B,9.711B,-18.88B,9.53B,9.593B,9.275B,9.74B,8.955B,9.102B,8.954B,9.989B,9.935B,9.852B,9.832B,10.47B,9.725B,9.806B,9.96B,,,,,,,,,5.58B,7.202B,6.389B,6.385B,,,,5.653B,6.195B,5.843B,5.825B,5.747B,,6.499B,,5.513B,5.497B,5.527B,5.493B,5.441B,,,,
General and Administrative Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.876B,7.867B,7.798B,,7.466B,7.742B,7.782B,8.031B,7.585B,7.508B,7.806B,8.732B,7.847B,7.946B,7.887B,14.28B,7.582B,7.61B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG&A Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.876B,7.867B,7.798B,,7.466B,7.742B,7.782B,8.031B,7.585B,7.508B,7.806B,8.732B,7.847B,7.946B,7.887B,14.28B,7.582B,7.61B,,,,,,,,,,5.53B,5.561B,5.079B,5.168B,,,,4.708B,4.54B,4.52B,4.435B,4.449B,4.571B,4.306B,4.269B,4.251B,4.357B,4.072B,4.042B,4.075B,,,,
Income Statement Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.00M,412.00M,,,,383.00M,,,,,,,378.00M,373.00M,362.00M,351.00M,,361.00M,,318.00M,309.00M,294.00M,287.00M,283.00M,,,,
Special Income and Charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00M,9.00M,11.00M,,,-18.00M,-4.00M,13.00M,6.00M,-22.00M,13.00M,17.00M,-13.00M,14.00M,57.00M,43.00M,14.00M,28.00M,14.00M,15.00M,25.00M,23.00M,23.00M,8.00M,28.00M,38.00M,30.00M,25.00M,26.00M,14.00M,17.00M,79.00M,23.00M,10.00M,-38.00M,936.00M,20.00M,12.00M,12.00M,2.858B,-855.00M,-2.142B,53.00M,93.00M,51.00M,60.00M,323.00M,,,,
Operating Interest Expense,166.00M,159.00M,159.00M,169.00M,148.00M,155.00M,149.00M,153.00M,129.00M,111.00M,111.00M,102.00M,100.00M,94.00M,94.00M,93.00M,85.00M,83.00M,86.00M,87.00M,87.00M,87.00M,89.00M,90.00M,94.00M,92.00M,98.00M,96.00M,109.00M,98.00M,92.00M,94.00M,96.00M,84.00M,83.00M,85.00M,94.00M,91.00M,84.00M,85.00M,89.00M,93.00M,181.00M,82.00M,100.00M,104.00M,104.00M,134.00M,83.00M,53.00M,61.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Operating Interest Income,-166.00M,-159.00M,-159.00M,-169.00M,-148.00M,-155.00M,-149.00M,-153.00M,-129.00M,-111.00M,-111.00M,-102.00M,-100.00M,-94.00M,-94.00M,-93.00M,-85.00M,-83.00M,-86.00M,-87.00M,-87.00M,-87.00M,-89.00M,-90.00M,-94.00M,-92.00M,-98.00M,-96.00M,-109.00M,-98.00M,-92.00M,-94.00M,-96.00M,-84.00M,-83.00M,-85.00M,-94.00M,-91.00M,-84.00M,-85.00M,-89.00M,-93.00M,-181.00M,-82.00M,-100.00M,-104.00M,-104.00M,-134.00M,-83.00M,-53.00M,-61.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
