Cash Flow - Operations (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03
Net Income,-106.00M,1.75B,1.685B,1.111B,453.00M,1.508B,1.485B,1.345B,1.096B,1.259B,1.384B,1.166B,-248.00M,1.27B,1.269B,1.131B,1.331B,1.257B,1.23B,1.026B,453.00M,1.214B,454.00M,911.00M,1.167B,1.097B,1.071B,1.037B,-1.748B,469.00M,1.116B,970.00M,725.00M,1.072B,1.092B,915.00M,969.00M,991.00M,845.00M,533.00M,757.00M,549.00M,445.00M,401.00M,254.00M,970.00M,873.00M,906.00M,-2.641B,1.076B,1.104B,843.00M,1.128B,1.038B,1.061B,975.00M,1.049B,953.00M,986.00M,882.00M,866.00M,890.00M,818.00M,759.00M,856.00M,739.00M,692.00M,611.00M,1.502B,506.00M,683.00M,491.00M,645.00M,568.00M,630.00M,556.00M,724.00M,702.00M,695.00M,813.00M
Pension and Employee Expense,2.575B,190.00M,188.00M,188.00M,1.781B,153.00M,154.00M,154.00M,992.00M,188.00M,231.00M,232.00M,2.921B,267.00M,270.00M,267.00M,382.00M,268.00M,269.00M,270.00M,1.03B,211.00M,-712.00M,240.00M,280.00M,273.00M,279.00M,283.00M,5.044B,236.00M,235.00M,238.00M,2.429B,108.00M,165.00M,-1.042B,1.533B,-33.00M,68.00M,-432.00M,47.00M,-360.00M,67.00M,194.00M,57.00M,155.00M,125.00M,143.00M,70.00M,-440.00M,196.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Gains Losses,2.575B,190.00M,188.00M,188.00M,1.781B,153.00M,154.00M,154.00M,992.00M,188.00M,231.00M,232.00M,2.921B,267.00M,270.00M,267.00M,382.00M,268.00M,269.00M,270.00M,1.03B,211.00M,-712.00M,240.00M,280.00M,273.00M,279.00M,283.00M,5.044B,236.00M,235.00M,238.00M,2.269B,177.00M,233.00M,-1.019B,1.548B,-176.00M,99.00M,-335.00M,97.00M,-297.00M,138.00M,125.00M,110.00M,313.00M,390.00M,301.00M,-31.00M,-363.00M,463.00M,,,,,,-269.00M,-58.00M,327.00M,,325.00M,140.00M,201.00M,223.00M,732.00M,,-240.00M,240.00M,-686.00M,234.00M,87.00M,254.00M,106.00M,121.00M,173.00M,176.00M,122.00M,151.00M,175.00M,-115.00M
Depreciation Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.213B,412.00M,801.00M,,389.00M,383.00M,385.00M,386.00M,1.549B,,-387.00M,387.00M,378.00M,373.00M,362.00M,351.00M,379.00M,361.00M,338.00M,318.00M,309.00M,294.00M,287.00M,283.00M
Total Depreciation and Amortization,630.00M,587.00M,575.00M,568.00M,545.00M,524.00M,542.00M,596.00M,594.00M,572.00M,562.00M,554.00M,563.00M,554.00M,555.00M,552.00M,541.00M,527.00M,510.00M,506.00M,497.00M,485.00M,473.00M,468.00M,467.00M,460.00M,466.00M,474.00M,476.00M,464.00M,459.00M,459.00M,451.00M,447.00M,443.00M,441.00M,444.00M,448.00M,449.00M,451.00M,450.00M,441.00M,426.00M,430.00M,454.00M,456.00M,452.00M,452.00M,443.00M,435.00M,431.00M,436.00M,432.00M,441.00M,436.00M,439.00M,431.00M,412.00M,403.00M,398.00M,389.00M,383.00M,385.00M,386.00M,387.00M,384.00M,391.00M,387.00M,378.00M,373.00M,362.00M,351.00M,379.00M,361.00M,338.00M,318.00M,309.00M,294.00M,287.00M,283.00M
"Total Depreciation, Amortization, Depletion",630.00M,587.00M,575.00M,568.00M,545.00M,524.00M,542.00M,596.00M,594.00M,572.00M,562.00M,554.00M,563.00M,554.00M,555.00M,552.00M,541.00M,527.00M,510.00M,506.00M,497.00M,485.00M,473.00M,468.00M,467.00M,460.00M,466.00M,474.00M,476.00M,464.00M,459.00M,459.00M,451.00M,447.00M,443.00M,441.00M,444.00M,448.00M,449.00M,451.00M,450.00M,441.00M,426.00M,430.00M,454.00M,456.00M,452.00M,452.00M,443.00M,435.00M,431.00M,436.00M,432.00M,441.00M,436.00M,439.00M,431.00M,412.00M,403.00M,398.00M,389.00M,383.00M,385.00M,386.00M,387.00M,384.00M,391.00M,387.00M,378.00M,373.00M,362.00M,351.00M,379.00M,361.00M,338.00M,318.00M,309.00M,294.00M,287.00M,283.00M
Deferred Taxes,57.00M,-232.00M,197.00M,78.00M,540.00M,76.00M,36.00M,106.00M,926.00M,118.00M,81.00M,99.00M,267.00M,-119.00M,-36.00M,5.00M,738.00M,-58.00M,-91.00M,-49.00M,318.00M,259.00M,-132.00M,-60.00M,149.00M,-113.00M,-94.00M,-188.00M,-2.413B,478.00M,-56.00M,-92.00M,-73.00M,145.00M,114.00M,128.00M,943.00M,-59.00M,-104.00M,139.00M,119.00M,391.00M,34.00M,-73.00M,74.00M,164.00M,63.00M,-114.00M,-52.00M,2.00M,-199.00M,,,,,,523.00M,-22.00M,-51.00M,,76.00M,22.00M,-3.00M,194.00M,236.00M,159.00M,70.00M,-148.00M,82.00M,11.00M,93.00M,-24.00M,303.00M,67.00M,73.00M,38.00M,-72.00M,-69.00M,-19.00M,79.00M
Asset Impairment Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,181.00M,575.00M,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stock Based Compensation,199.00M,203.00M,205.00M,308.00M,127.00M,129.00M,139.00M,239.00M,121.00M,118.00M,133.00M,212.00M,120.00M,125.00M,131.00M,215.00M,122.00M,124.00M,134.00M,194.00M,106.00M,124.00M,142.00M,164.00M,107.00M,118.00M,131.00M,157.00M,126.00M,126.00M,133.00M,162.00M,122.00M,130.00M,152.00M,120.00M,170.00M,111.00M,138.00M,100.00M,118.00M,93.00M,114.00M,105.00M,142.00M,123.00M,134.00M,117.00M,112.00M,122.00M,213.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
