Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12
Cash and Equivalents,5.238B,4.04B,4.072B,4.399B,4.225B,4.097B,4.214B,3.544B,3.32B,3.418B,3.544B,2.687B,3.476B,3.299B,3.059B,3.887B,2.73B,3.441B,3.43B,4.482B,2.291B,4.204B,3.056B,5.946B,4.665B,5.182B,4.808B,6.456B,7.327B,8.43B,6.718B,5.133B,3.034B,4.133B,4.691B,4.657B,3.37B,3.02B,3.252B,2.544B,1.542B,2.242B,2.818B,3.738B,507.00M,1.239B,1.178B,1.009B,2.027B,1.245B,856.00M,871.00M,794.00M,1.139B,945.00M,1.124B,1.369B,1.708B,1.26B,679.00M,739.00M,2.823B,3.312B,2.823B,1.064B,3.108B,2.185B,2.135B,2.211B,1.452B,1.404B,1.142B,858.00M,1.303B,2.062B,1.318B,879.00M,1.67B,2.381B,2.471B,4.204B
Short Term Investments,503.00M,498.00M,725.00M,712.00M,810.00M,744.00M,720.00M,665.00M,749.00M,1.043B,1.06B,1.031B,1.091B,2.059B,2.613B,2.38B,1.996B,2.248B,2.792B,1.935B,992.00M,1.367B,1.543B,1.089B,580.00M,1.467B,1.384B,876.00M,597.00M,586.00M,604.00M,947.00M,1.241B,1.32B,946.00M,787.00M,711.00M,732.00M,755.00M,571.00M,558.00M,546.00M,529.00M,608.00M,542.00M,523.00M,511.00M,475.00M,577.00M,754.00M,1.265B,1.527B,1.189B,1.102B,1.905B,2.007B,1.672B,2.198B,4.244B,4.55B,4.458B,1.748B,1.625B,1.789B,2.888B,1.028B,1.188B,880.00M,803.00M,1.199B,1.025B,885.00M,758.00M,1.191B,1.081B,1.307B,1.073B,1.922B,2.277B,1.707B,0.00
Cash and Short Term Investments,5.741B,4.538B,4.797B,5.111B,5.035B,4.841B,4.934B,4.209B,4.069B,4.461B,4.604B,3.718B,4.567B,5.358B,5.672B,6.267B,4.726B,5.689B,6.222B,6.417B,3.283B,5.571B,4.599B,7.035B,5.245B,6.649B,6.192B,7.332B,7.924B,9.016B,7.322B,6.08B,4.275B,5.453B,5.637B,5.444B,4.081B,3.752B,4.007B,3.115B,2.10B,2.788B,3.347B,4.346B,1.049B,1.762B,1.689B,1.484B,2.604B,1.999B,2.121B,2.398B,1.983B,2.241B,2.85B,3.131B,3.041B,3.906B,5.504B,5.229B,5.197B,4.571B,4.937B,4.612B,3.952B,4.136B,3.373B,3.015B,3.014B,2.651B,2.429B,2.027B,1.616B,2.494B,3.143B,2.625B,1.952B,3.592B,4.658B,4.178B,4.204B
Accounts Receivable,9.552B,7.951B,8.071B,7.613B,8.958B,7.494B,7.363B,7.606B,8.773B,6.937B,6.553B,6.475B,7.695B,6.272B,6.111B,6.241B,7.134B,6.055B,5.618B,5.724B,6.661B,5.822B,5.845B,5.804B,6.502B,5.592B,5.438B,5.617B,6.111B,5.545B,5.541B,5.637B,6.246B,5.418B,5.602B,5.462B,5.627B,5.25B,5.11B,5.077B,5.369B,4.851B,4.569B,4.68B,5.547B,5.894B,5.946B,5.956B,6.084B,5.674B,5.544B,5.49B,5.794B,5.892B,5.711B,5.738B,5.743B,5.446B,4.887B,5.042B,5.156B,4.192B,3.964B,3.954B,4.004B,3.741B,3.675B,3.659B,3.756B,3.745B,3.722B,3.896B,4.786B,4.549B,3.932B,3.716B,4.14B,3.383B,3.216B,3.306B,3.167B
Loans Receivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.00M,192.00M,196.00M,,259.00M,266.00M,277.00M,287.00M,305.00M,325.00M,408.00M,480.00M,589.00M,524.00M,513.00M,468.00M,472.00M,423.00M,409.00M,426.00M,468.00M,476.00M,440.00M,,,,,,,,,,,,,,,,,,,,,,,,,
Other Receivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.00M,,,,,,,,,411.00M,500.00M,472.00M,864.00M,524.00M,1.33B,783.00M,832.00M,840.00M,855.00M,865.00M,930.00M,868.00M,1.011B,857.00M,640.00M,,,,,,,,,
Total Receivables,9.934B,8.155B,8.672B,8.46B,9.898B,7.814B,7.67B,7.894B,10.35B,6.937B,6.553B,6.475B,8.328B,6.272B,6.111B,6.241B,7.134B,6.055B,5.618B,5.724B,6.661B,5.822B,5.845B,5.804B,6.502B,5.592B,5.438B,5.617B,6.111B,5.545B,5.541B,5.637B,6.246B,5.584B,5.951B,5.781B,5.627B,5.629B,5.66B,5.599B,5.922B,5.156B,4.894B,5.088B,6.194B,6.711B,6.722B,6.596B,7.808B,6.146B,5.967B,5.899B,6.285B,6.36B,6.187B,6.178B,6.154B,5.946B,5.359B,5.906B,5.68B,5.522B,4.747B,4.786B,4.844B,4.596B,4.54B,4.589B,4.624B,4.756B,4.579B,4.536B,4.786B,4.549B,3.932B,3.716B,4.14B,3.383B,3.216B,3.306B,3.167B
Inventories,511.00M,,,,421.00M,,,,404.00M,,,,342.00M,,,,308.00M,,,,344.00M,,,,403.00M,,,,393.00M,,,,345.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506.00M,406.00M,460.00M,
Prepaid Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.721B,3.398B,3.441B,,3.884B,3.086B,3.123B,3.16B,3.259B,2.848B,2.885B,2.922B,2.207B,1.859B,1.896B,,1.936B,1.838B,261.00M,,1.835B,1.609B,201.00M,408.00M,1.626B,976.00M,1.136B,381.00M
Current Deferred Tax Assets,,,,,,,,,,,,,,,,,,554.00M,554.00M,411.00M,,591.00M,638.00M,685.00M,684.00M,587.00M,564.00M,582.00M,583.00M,569.00M,593.00M,635.00M,611.00M,634.00M,661.00M,695.00M,659.00M,662.00M,552.00M,563.00M,585.00M,698.00M,630.00M,503.00M,494.00M,520.00M,524.00M,641.00M,606.00M,601.00M,533.00M,489.00M,414.00M,635.00M,534.00M,500.00M,475.00M,571.00M,529.00M,526.00M,392.00M,292.00M,297.00M,320.00M,316.00M,383.00M,356.00M,406.00M,,,,,,,,,,,,,
