Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-03
Cash and Equivalents,13.77M,22.72M,1.928M,7.435M,6.534M,13.33M,31.74M,37.84M,78.56M,44.98M,42.38M,43.02M,57.51M,90.33M,67.53M,98.30M,65.45M,66.01M,84.66M,62.17M,36.45M,26.72M,23.53M,18.46M,30.53M,21.51M,32.34M,37.89M,33.46M,53.38M
Short Term Investments,,,,,,,,,0.00,20.30M,19.89M,19.69M,,,,0.00,8.071M,4.686M,3.993M,3.813M,6.919M,38.19M,56.47M,93.64M,,,,32.48M,,
Cash and Short Term Investments,13.77M,22.72M,1.928M,7.435M,6.534M,13.33M,31.74M,37.84M,78.56M,65.28M,62.27M,62.71M,57.51M,90.33M,67.53M,98.30M,73.52M,70.70M,88.65M,65.98M,43.37M,64.91M,80.00M,112.09M,30.53M,21.51M,32.34M,70.37M,33.46M,53.38M
Accounts Receivable,162.22M,202.43M,198.60M,273.37M,310.21M,291.56M,250.13M,252.75M,213.87M,224.44M,213.86M,216.15M,218.28M,245.78M,209.87M,231.60M,250.66M,294.70M,310.83M,296.35M,326.59M,321.33M,278.76M,386.27M,348.85M,396.03M,294.84M,310.55M,251.41M,295.22M
Other Receivables,27.20M,12.49M,28.32M,12.29M,26.30M,51.03M,33.65M,11.60M,67.71M,69.54M,51.43M,48.65M,56.51M,58.09M,60.62M,47.48M,,,,66.03M,,,,,,,,,,
Total Receivables,324.71M,346.95M,364.45M,520.30M,598.02M,558.31M,521.24M,516.63M,542.44M,481.71M,454.35M,445.51M,471.87M,480.04M,454.70M,477.38M,477.67M,510.34M,529.95M,583.04M,576.39M,556.16M,527.14M,593.49M,536.04M,511.97M,431.90M,485.86M,462.66M,450.44M
Other Inventory,3.324M,5.617M,4.615M,3.710M,1.872M,,,0.2625M,,,,,,,,,,,,,,,,8.327M,7.902M,8.280M,6.219M,5.977M,10.39M,8.795M
Inventories,19.82M,23.66M,13.24M,5.914M,28.64M,33.22M,18.04M,2.076M,23.23M,27.15M,17.40M,9.261M,18.04M,23.83M,13.23M,2.364M,10.47M,15.62M,9.608M,4.076M,23.89M,29.75M,9.491M,10.49M,35.59M,42.02M,27.95M,16.85M,41.87M,21.51M
Prepaid Expenses,16.29M,12.57M,15.88M,34.23M,27.28M,31.50M,30.45M,27.16M,46.76M,81.55M,44.91M,46.56M,44.94M,45.84M,49.07M,48.02M,32.73M,32.04M,28.99M,18.04M,26.05M,27.03M,25.48M,19.63M,19.82M,25.21M,20.67M,15.62M,11.84M,9.480M
Restricted Cash,3.244M,3.115M,3.586M,3.032M,3.202M,2.738M,2.710M,2.722M,2.718M,2.733M,2.717M,2.714M,4.643M,4.589M,5.364M,5.774M,14.92M,15.61M,13.87M,13.77M,8.904M,8.939M,8.910M,10.87M,14.56M,13.06M,13.08M,13.11M,10.98M,12.24M
