date,profit_margin
"Dec. 31, 2019",12.19%
"Sept. 30, 2019",14.66%
"June 30, 2019",1.67%
"March 31, 2019",12.78%
"Dec. 31, 2018",11.37%
"Sept. 30, 2018",12.74%
"June 30, 2018",13.10%
"March 31, 2018",11.78%
"Dec. 31, 2017",12.53%
"Sept. 30, 2017",13.09%
"June 30, 2017",13.09%
"March 31, 2017",12.32%
"Dec. 31, 2016",12.90%
"Sept. 30, 2016",13.01%
"June 30, 2016",11.52%
"March 31, 2016",11.88%
"Dec. 31, 2015",10.75%
"Sept. 30, 2015",12.20%
"June 30, 2015",11.42%
"March 31, 2015",10.08%
"Dec. 31, 2014",11.78%
"Sept. 30, 2014",12.40%
"June 30, 2014",7.59%
"March 31, 2014",10.30%
"Dec. 31, 2013",9.98%
"Sept. 30, 2013",11.07%
"June 30, 2013",10.45%
"March 31, 2013",11.43%
"Dec. 31, 2012",10.38%
"Sept. 30, 2012",11.15%
"June 30, 2012",2.72%
"March 31, 2012",9.03%
"Dec. 31, 2011",10.61%
"Sept. 30, 2011",8.07%
"June 30, 2011",7.38%
"March 31, 2011",9.24%
"Dec. 31, 2010",10.74%
"Sept. 30, 2010",8.08%
"June 30, 2010",6.47%
"March 31, 2010",6.44%
"Dec. 31, 2009",6.44%
"Sept. 30, 2009",4.96%
"June 30, 2009",6.77%
"March 31, 2009",6.13%
"Dec. 31, 2008",5.35%
"Sept. 30, 2008",4.82%
"June 30, 2008",4.36%
"March 31, 2008",3.84%
"Dec. 31, 2007",5.70%
"Sept. 30, 2007",3.45%
"June 30, 2007",3.59%
"March 31, 2007",4.49%
"Dec. 31, 2006",23.60%
"Sept. 30, 2006",7.08%
"June 30, 2006",1.42%
"March 31, 2006",-0.41%
"Dec. 31, 2005",-0.67%
"Sept. 30, 2005",-5.31%
"June 30, 2005",-1.72%
"March 31, 2005",-5.21%
"Dec. 31, 2004",2.11%
"Sept. 30, 2004",-0.40%
"June 30, 2004",1.66%
"March 31, 2004",3.74%
"Dec. 31, 2003",-0.56%
"Sept. 30, 2003",2.48%
"June 30, 2003",2.12%
"March 31, 2003",3.89%
"Dec. 31, 2002",3.91%
"Sept. 30, 2002",3.67%
"June 30, 2002",1.81%
"March 31, 2002",1.56%
"Dec. 31, 2001",3.93%
"Sept. 30, 2001",2.33%
"June 30, 2001",2.95%
"March 31, 2001",6.38%
"Dec. 31, 2000",-11.90%
"Sept. 30, 2000",4.32%
"June 30, 2000",1.14%
"March 31, 2000",5.74%
"Dec. 31, 1999",-0.91%
"Sept. 30, 1999",2.97%
"June 30, 1999",0.60%
"March 31, 1999",2.34%
"Dec. 31, 1998",-10.99%
"Sept. 30, 1998",-0.32%
"June 30, 1998",1.50%
"March 31, 1998",-1.87%
"Dec. 31, 1997",-0.68%
"Sept. 30, 1997",-5.29%
"June 30, 1997",-6.25%
"March 31, 1997",0.09%
"Dec. 31, 1996",-7.25%
"Sept. 30, 1996",1.02%
"June 30, 1996",2.28%
"March 31, 1996",7.19%
"Dec. 31, 1995",7.40%
"Sept. 30, 1995",9.96%
"June 30, 1995",6.03%
"March 31, 1995",10.63%
"Dec. 31, 1994",8.41%
"Sept. 30, 1994",8.23%
"June 30, 1994",8.41%
"March 31, 1994",11.02%
"Dec. 31, 1993",7.31%
"Sept. 30, 1993",5.43%
"June 30, 1993",2.13%
"March 31, 1993",12.12%
"Dec. 31, 1992",11.16%
"Sept. 30, 1992",7.30%
"June 30, 1992",9.24%
"March 31, 1992",10.03%
"Dec. 31, 1991",2.41%
"Sept. 30, 1991",11.27%
"June 30, 1991",9.62%
"March 31, 1991",11.39%
"Dec. 31, 1990",9.35%
"Sept. 30, 1990",10.97%
"June 30, 1990",7.73%
"March 31, 1990",11.06%
"Dec. 31, 1989",8.01%
"Sept. 30, 1989",9.96%
"June 30, 1989",7.25%
"March 31, 1989",12.53%
"Dec. 31, 1988",19.30%
"Sept. 30, 1988",11.45%
"June 30, 1988",9.11%
"March 31, 1988",12.19%
"Dec. 31, 1987",17.21%
"Sept. 30, 1987",11.10%
"June 30, 1987",10.78%
"March 31, 1987",15.73%
"Dec. 31, 1986",11.07%
"Sept. 30, 1986",13.80%
"June 30, 1986",19.73%
"March 31, 1986",14.71%
"Dec. 31, 1985",19.19%
"Sept. 30, 1985",13.92%
"June 30, 1985",14.09%
"March 31, 1985",16.31%
"Dec. 31, 1984",13.15%
"Sept. 30, 1984",15.16%
"June 30, 1984",11.28%
"March 31, 1984",15.25%
