date,sustainable_growth_rate
"Dec. 31, 2019",1.99%
"Sept. 30, 2019",1.20%
"June 30, 2019",1.82%
"March 31, 2019",3.64%
"Dec. 31, 2018",3.41%
"Sept. 30, 2018",6.58%
"June 30, 2018",1.71%
"March 31, 2018",3.45%
"Dec. 31, 2017",3.47%
"Sept. 30, 2017",3.51%
"June 30, 2017",5.47%
"March 31, 2017",3.54%
"Dec. 31, 2016",3.52%
"Sept. 30, 2016",6.05%
"June 30, 2016",5.90%
"March 31, 2016",6.07%
"Dec. 31, 2015",6.30%
"Sept. 30, 2015",3.91%
"June 30, 2015",4.07%
"March 31, 2015",3.44%
"Dec. 31, 2014",3.44%
"Sept. 30, 2014",3.00%
"June 30, 2014",2.86%
"March 31, 2014",3.38%
"Dec. 31, 2013",3.35%
"Sept. 30, 2013",3.49%
"June 30, 2013",3.53%
"March 31, 2013",2.54%
"Dec. 31, 2012",2.02%
"Sept. 30, 2012",2.34%
"June 30, 2012",1.67%
"March 31, 2012",4.44%
"Dec. 31, 2011",4.97%
"Sept. 30, 2011",5.55%
"June 30, 2011",6.01%
"March 31, 2011",6.05%
"Dec. 31, 2010",5.49%
"Sept. 30, 2010",4.44%
"June 30, 2010",3.59%
"March 31, 2010",4.03%
"Dec. 31, 2009",4.74%
"Sept. 30, 2009",4.94%
"June 30, 2009",5.64%
"March 31, 2009",5.38%
"Dec. 31, 2008",4.45%
"Sept. 30, 2008",4.44%
"June 30, 2008",3.84%
"March 31, 2008",3.72%
"Dec. 31, 2007",4.51%
"Sept. 30, 2007",14.73%
"June 30, 2007",17.73%
"March 31, 2007",17.42%
"Dec. 31, 2006",14.61%
"Sept. 30, 2006",0.40%
"June 30, 2006",-8.42%
"March 31, 2006",-10.53%
"Dec. 31, 2005",-15.21%
"Sept. 30, 2005",-13.40%
"June 30, 2005",-9.08%
"March 31, 2005",-6.58%
"Dec. 31, 2004",1.58%
"Sept. 30, 2004",-0.02%
"June 30, 2004",2.06%
"March 31, 2004",2.22%
"Dec. 31, 2003",1.94%
"Sept. 30, 2003",4.99%
"June 30, 2003",5.52%
"March 31, 2003",5.71%
"Dec. 31, 2002",3.90%
"Sept. 30, 2002",3.71%
"June 30, 2002",3.91%
"March 31, 2002",3.92%
"Dec. 31, 2001",8.25%
"Sept. 30, 2001",-2.17%
"June 30, 2001",-1.41%
"March 31, 2001",-2.07%
"Dec. 31, 2000",-3.75%
"Sept. 30, 2000",3.55%
"June 30, 2000",2.76%
"March 31, 2000",2.94%
"Dec. 31, 1999",1.02%
"Sept. 30, 1999",-2.94%
"June 30, 1999",-4.85%
"March 31, 1999",-4.53%
"Dec. 31, 1998",-6.55%
"Sept. 30, 1998",-1.95%
"June 30, 1998",-4.24%
"March 31, 1998",-7.44%
"Dec. 31, 1997",-7.99%
"Sept. 30, 1997",-12.00%
"June 30, 1997",-10.53%
"March 31, 1997",-9.46%
"Dec. 31, 1996",-7.31%
"Sept. 30, 1996",-2.39%
"June 30, 1996",0.31%
"March 31, 1996",1.62%
"Dec. 31, 1995",2.57%
"Sept. 30, 1995",3.31%
"June 30, 1995",2.07%
"March 31, 1995",3.13%
"Dec. 31, 1994",3.94%
"Sept. 30, 1994",8.15%
