Cash Flow - Operations (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03
Net Income,-3.247B,-117.00M,-316.00M,-2.00M,-350.00M,161.00M,269.00M,206.00M,518.00M,105.00M,613.00M,267.00M,-143.00M,-526.00M,-200.00M,-371.00M,-5.055B,-4.119B,2.519B,-4.504B,-6.534B,-1.085B,456.00M,851.00M,-270.00M,435.00M,1.037B,778.00M,654.00M,180.00M,356.00M,797.00M,1.189B,1.002B,1.259B,1.134B,689.00M,778.00M,860.00M,705.00M,585.20M,442.02M,444.72M,-1.757B,-3.658B,1.191B,1.445B,1.022B,1.073B,613.35M,633.54M,492.95M,520.84M,647.06M,723.62M,660.92M,788.22M,687.00M,588.03M,560.48M,508.43M,430.48M,383.53M,346.32M,261.61M,276.96M,244.38M,338.93M,180.82M,146.53M,146.31M,80.67M,78.62M,156.83M,205.74M,282.20M,245.24M,214.13M,137.38M,116.30M,97.46M,72.80M,32.80M,-2.20M,-159.19M,3.20M,9.20M,17.40M,45.50M,30.80M,25.70M,52.90M,51.20M,30.10M,24.40M,15.70M,8.50M,7.10M,-1.40M,6.00M,12.60M,10.60M,10.20M,9.40M,13.10M,1.10M,11.50M,11.60M,11.20M,8.50M,24.10M,4.00M,14.80M,1.10M,6.60M,12.10M,11.70M,9.40M,7.70M,11.50M
Gain/Loss on Sale Business,-23.00M,0.00,-17.00M,-3.00M,-13.00M,-1.00M,-2.00M,-7.00M,-11.00M,-296.00M,21.00M,-341.00M,0.00,-5.00M,-17.00M,1.00M,-77.00M,5.00M,-209.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gain (Loss) on Investment Securities,-52.00M,-14.00M,21.00M,45.00M,88.00M,16.00M,-55.00M,-49.00M,-42.00M,83.00M,-41.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Gains Losses,-75.00M,-14.00M,79.00M,42.00M,75.00M,109.00M,-57.00M,-56.00M,-53.00M,-212.00M,-20.00M,-341.00M,1.00M,-5.00M,-17.00M,1.00M,-77.00M,5.00M,-209.00M,,,,,,,,,,,,,,,,,,,,,,,,-40.27M,40.27M,-101.50M,15.08M,86.43M,,9.464M,19.55M,10.58M,9.372M,4.821M,-180.92M,4.899M,30.03M,-36.26M,34.17M,29.38M,24.98M,20.37M,24.50M,20.18M,22.03M,36.71M,29.07M,3.82M,-12.74M,24.53M,0.00,-0.334M,4.934M,10.47M,20.74M,40.88M,3.376M,29.64M,-12.79M,12.13M,-0.748M,,,,,4.883M,0.00,0.60M,0.90M,0.20M,1.50M,0.30M,-0.20M,-0.20M,0.00,-0.80M,,4.00M,0.00,0.00,-0.40M,-0.40M,2.20M,0.30M,2.60M,22.80M,0.20M,-0.40M,-0.10M,0.00,0.30M,-28.80M,2.80M,-12.90M,10.80M,1.00M,-1.30M,-2.30M,-1.20M,0.10M,-1.70M
Depreciation Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.26M,208.79M,210.79M,211.04M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amortization Expense CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.898M,-2.21M,7.057M,7.089M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Depreciation and Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-639.00M,639.00M,,,,,,,,,624.98M,600.80M,591.11M,530.91M,514.80M,487.54M,441.44M,372.58M,360.10M,357.16M,359.01M,339.41M,329.14M,313.52M,295.74M,286.23M,295.86M,292.88M,272.36M,214.35M,203.36M,211.00M,203.73M,203.95M,155.06M,217.02M,208.65M,172.53M,158.94M,156.12M,135.06M,133.43M,126.54M,120.26M,106.54M,89.50M,331.98M,95.90M,98.40M,99.70M,102.40M,100.10M,94.80M,90.60M,87.10M,82.60M,77.50M,73.00M,75.50M,75.70M,87.10M,63.90M,63.30M,62.10M,59.00M,52.10M,33.80M,58.40M,44.60M,43.40M,49.40M,43.40M,42.70M,37.90M,42.70M,39.20M,25.90M,28.00M,36.40M,28.30M,24.80M,27.30M
"Total Depreciation, Amortization, Depletion",721.00M,711.00M,602.00M,646.00M,634.00M,610.00M,608.00M,553.00M,573.00M,559.00M,572.00M,576.00M,623.00M,648.00M,669.00M,678.00M,808.00M,872.00M,-6.682B,8.302B,-667.00M,2.735B,1.252B,1.206B,1.209B,1.995B,1.35B,1.312B,1.18B,2.029B,1.932B,1.74B,1.174B,1.065B,1.029B,936.00M,928.00M,787.00M,729.00M,639.00M,614.96M,625.90M,573.36M,3.399B,6.001B,600.89M,627.67M,620.49M,624.98M,600.80M,591.11M,530.91M,514.80M,487.54M,441.44M,372.58M,360.10M,357.16M,359.01M,339.41M,329.14M,313.52M,295.74M,286.23M,295.86M,292.88M,272.36M,214.35M,203.36M,211.00M,203.73M,203.95M,155.06M,217.02M,208.65M,172.53M,158.94M,156.12M,135.06M,133.43M,126.54M,120.26M,106.54M,89.50M,331.98M,95.90M,98.40M,99.70M,102.40M,100.10M,94.80M,90.60M,87.10M,82.60M,77.50M,73.00M,75.50M,75.70M,87.10M,63.90M,63.30M,62.10M,59.00M,52.10M,33.80M,58.40M,44.60M,43.40M,49.40M,43.40M,42.70M,37.90M,42.70M,39.20M,25.90M,28.00M,36.40M,28.30M,24.80M,27.30M
Deferred Taxes,,,,,,,,,-1.18B,,-83.00M,83.00M,-78.00M,-529.00M,-225.00M,-1.00M,-1.445B,1.318B,1.617B,-2.935B,-2.483B,540.00M,-18.00M,162.00M,80.00M,-203.00M,327.00M,105.00M,480.00M,141.00M,-5.00M,38.00M,181.00M,1.065B,,,952.00M,,-159.00M,159.00M,,575.23M,123.82M,-699.04M,-1.916B,316.79M,363.11M,,186.86M,359.85M,207.66M,135.16M,216.46M,320.12M,54.21M,160.67M,186.28M,185.24M,129.23M,98.19M,226.82M,114.41M,21.53M,82.14M,193.88M,131.11M,117.94M,103.43M,54.40M,45.12M,38.50M,-0.348M,27.98M,85.08M,93.24M,98.92M,143.77M,93.96M,61.25M,51.72M,35.60M,31.47M,13.33M,-2.90M,-84.70M,-2.20M,-0.30M,5.30M,20.40M,11.40M,9.70M,26.80M,23.90M,15.40M,12.90M,9.10M,7.70M,1.90M,16.80M,3.00M,7.00M,6.40M,6.60M,5.40M,3.40M,6.20M,6.20M,4.80M,4.20M,3.40M,5.60M,0.80M,2.10M,-0.60M,-0.30M,3.00M,7.70M,3.10M,1.50M,4.30M
