Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1988-12,1987-12,1986-12,1985-12,1984-12
Cash and Equivalents,247.00M,163.00M,549.00M,327.00M,714.00M,593.00M,972.00M,1.077B,1.668B,1.846B,1.667B,1.521B,1.377B,1.23B,1.201B,1.004B,1.467B,1.655B,2.95B,229.00M,769.00M,510.00M,524.00M,1.643B,1.906B,1.251B,184.00M,248.00M,160.00M,318.00M,361.00M,245.00M,295.00M,586.00M,1.107B,356.00M,134.00M,1.211B,1.805B,2.126B,2.048B,1.357B,771.56M,589.69M,1.181B,1.645B,1.008B,383.04M,125.82M,111.42M,188.64M,116.47M,140.52M,160.92M,41.93M,504.02M,228.86M,96.68M,79.26M,121.35M,111.09M,105.52M,97.48M,61.15M,33.50M,42.64M,41.00M,39.96M,51.89M,167.47M,131.98M,33.52M,35.62M,67.85M,129.32M,106.84M,37.17M,27.28M,19.00M,24.51M,13.17M,16.70M,22.40M,19.10M,14.50M,59.30M,88.90M,119.90M,9.70M,25.60M,14.20M,19.90M,13.20M,13.20M,16.20M,19.60M,13.60M,16.50M,17.30M,5.20M,15.10M,13.10M,16.70M,17.30M,17.10M,10.90M,14.00M,73.40M,26.10M,15.60M,11.60M,5.30M,6.40M,28.50M,105.40M,73.10M,85.20M,57.90M,55.70M,56.90M,75.20M,34.90M,53.30M,17.70M,29.10M,29.70M
Short Term Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,0.00,0.00,789.14M,792.00M,,,,,,,,,,,,,,,,,,,,,,,,,84.81M,85.36M,85.91M,102.95M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,247.00M,163.00M,549.00M,327.00M,714.00M,593.00M,972.00M,1.077B,1.668B,1.846B,1.667B,1.521B,1.377B,1.23B,1.201B,1.004B,1.467B,1.655B,2.95B,229.00M,769.00M,510.00M,524.00M,1.643B,1.906B,1.251B,184.00M,248.00M,160.00M,318.00M,361.00M,245.00M,295.00M,586.00M,1.107B,356.00M,134.00M,1.211B,1.805B,2.126B,2.048B,1.357B,771.56M,1.379B,1.973B,1.645B,1.008B,383.04M,125.82M,111.42M,188.64M,116.47M,140.52M,160.92M,41.93M,504.02M,228.86M,96.68M,79.26M,121.35M,111.09M,105.52M,97.48M,61.15M,33.50M,42.64M,41.00M,39.96M,51.89M,252.28M,217.34M,119.44M,138.58M,67.85M,129.32M,106.84M,37.17M,27.28M,19.00M,24.51M,13.17M,16.70M,22.40M,19.10M,14.50M,59.30M,88.90M,119.90M,9.70M,25.60M,14.20M,19.90M,13.20M,13.20M,16.20M,19.60M,13.60M,16.50M,17.30M,5.20M,15.10M,13.10M,16.70M,17.30M,17.10M,10.90M,14.00M,73.40M,26.10M,15.60M,11.60M,5.30M,6.40M,28.50M,105.40M,73.10M,85.20M,57.90M,55.70M,56.90M,75.20M,34.90M,53.30M,17.70M,29.10M,29.70M
Accounts Receivable,1.062B,1.07B,1.098B,1.185B,1.194B,1.457B,1.446B,1.409B,1.345B,1.145B,1.015B,1.171B,1.128B,1.064B,1.016B,1.12B,1.253B,1.332B,1.589B,1.767B,2.024B,2.287B,2.407B,2.479B,2.952B,3.086B,2.914B,3.106B,3.086B,2.976B,,,3.079B,,,,,,,,,,,1.291B,,1.680B,2.266B,1.972B,1.937B,1.701B,1.687B,1.616B,1.652B,1.566B,1.506B,1.447B,1.445B,1.258B,1.139B,1.117B,939.74M,783.68M,811.63M,704.45M,639.06M,619.51M,698.12M,761.34M,527.69M,477.80M,429.84M,433.73M,404.79M,436.60M,569.82M,553.67M,506.72M,,,,259.53M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Receivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.84M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Receivables,1.062B,1.07B,1.098B,1.185B,1.194B,1.457B,1.446B,1.409B,1.345B,1.145B,1.015B,1.171B,1.128B,1.064B,1.016B,1.12B,1.253B,1.332B,1.589B,1.767B,2.024B,2.287B,2.407B,2.479B,2.952B,3.086B,2.914B,3.106B,3.086B,2.976B,2.625B,3.163B,3.079B,2.56B,2.495B,2.49B,2.134B,1.757B,1.648B,1.818B,1.546B,1.591B,1.537B,1.291B,1.357B,1.680B,2.266B,1.972B,1.937B,1.701B,1.687B,1.616B,1.652B,1.566B,1.506B,1.447B,1.445B,1.258B,1.139B,1.117B,939.74M,783.68M,811.63M,704.45M,639.06M,619.51M,698.12M,761.34M,527.69M,477.80M,429.84M,433.73M,456.64M,436.60M,569.82M,553.67M,506.72M,429.36M,367.84M,286.75M,259.53M,273.00M,228.10M,156.80M,159.80M,169.00M,205.00M,180.70M,224.00M,220.80M,201.40M,199.20M,234.60M,182.80M,191.60M,179.30M,175.90M,163.10M,156.80M,107.90M,101.80M,96.80M,102.10M,97.50M,91.80M,98.00M,80.90M,84.70M,75.80M,76.60M,71.20M,66.60M,77.60M,54.30M,34.90M,40.40M,44.80M,45.10M,43.40M,46.50M,45.40M,64.10M,55.90M,74.90M,45.80M,36.10M
Inventories,502.00M,475.00M,453.00M,438.00M,401.00M,362.00M,361.00M,386.00M,368.00M,396.00M,416.00M,454.00M,476.00M,513.00M,530.00M,547.00M,570.00M,667.00M,629.00M,666.00M,708.00M,713.00M,794.00M,727.00M,891.00M,889.00M,973.00M,885.00M,908.00M,774.00M,745.00M,607.00M,655.00M,566.00M,633.00M,593.00M,564.00M,528.72M,508.70M,497.75M,533.00M,539.44M,571.61M,522.43M,498.57M,479.72M,468.35M,490.42M,461.21M,418.75M,406.02M,373.71M,320.39M,285.00M,257.99M,226.76M,209.67M,198.44M,186.95M,172.54M,157.29M,137.45M,127.84M,118.69M,125.87M,126.18M,118.27M,113.66M,109.20M,106.06M,106.07M,102.00M,102.54M,86.60M,77.45M,72.58M,54.76M,54.93M,51.55M,47.67M,45.11M,44.90M,47.50M,42.20M,40.90M,35.60M,36.00M,37.90M,36.00M,30.20M,17.70M,16.00M,14.00M,15.70M,13.60M,11.90M,9.80M,12.20M,13.00M,12.40M,8.90M,8.70M,7.80M,7.30M,7.20M,9.10M,5.30M,6.70M,6.20M,6.20M,6.00M,4.90M,4.40M,7.20M,4.30M,4.90M,4.70M,6.40M,7.80M,8.40M,9.40M,9.20M,9.20M,75.80M,12.80M,9.80M
Prepaid Expenses,150.00M,245.00M,312.00M,337.00M,378.00M,373.00M,360.00M,381.00M,344.00M,286.00M,318.00M,280.00M,260.00M,465.00M,545.00M,551.00M,462.00M,262.00M,241.00M,671.00M,517.00M,842.00M,623.00M,614.00M,483.00M,787.00M,600.00M,593.00M,777.00M,872.00M,676.00M,655.00M,470.00M,864.00M,665.00M,562.00M,481.00M,535.30M,544.94M,596.73M,459.00M,502.82M,537.35M,431.72M,621.98M,271.56M,207.65M,94.00M,94.51M,170.11M,141.52M,160.19M,159.10M,223.97M,169.45M,67.59M,132.96M,131.87M,86.91M,1.041M,57.77M,51.30M,58.46M,42.77M,42.58M,49.50M,51.74M,40.38M,32.71M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restricted Cash,,,,,,,,,,96.00M,,,,,,,,,,,,74.00M,778.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.05M,,444.73M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Tax Assets,,,,,,,,,,,,,,,,,,84.00M,84.00M,769.00M,769.00M,,,,134.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
