Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Operating Revenue,1.625B,1.438B,1.598B,1.654B,1.703B,1.976B,1.936B,1.733B,1.64B,1.389B,1.346B,1.512B,1.455B,1.439B,1.386B,1.087B,1.254B,1.606B,1.991B,1.638B,2.752B,3.181B,3.471B,3.647B,2.46B,4.288B,4.001B,4.021B,3.874B,4.141B,3.956B,4.457B,4.295B,4.282B,4.338B,3.925B,3.525B,3.013B,2.972B,2.673B,2.555B,2.332B,2.093B,1.634B,1.937B,3.365B,3.900B,3.188B,2.996B,2.499B,2.444B,2.023B,1.966B,2.073B,2.085B,1.950B,2.004B,2.052B,1.775B,1.662B,1.535B,1.407B,1.241B,1.150B,1.065B,1.105B,1.054B,966.61M,730.25M,645.19M,656.32M,528.00M,505.01M,659.92M,800.44M,795.14M,725.15M,625.06M,486.41M,446.12M,291.85M,385.40M,246.42M,187.70M,82.67M,211.70M,220.10M,245.90M,323.30M,276.70M,258.00M,322.50M,305.10M,242.20M,222.80M,205.90M,203.40M,178.10M,202.90M,157.20M,143.50M,140.10M,133.20M,121.00M,124.40M,119.90M,111.10M,107.80M,119.50M,111.20M,102.10M,90.30M,116.40M,111.90M,60.50M,68.00M,80.90M,65.00M,58.50M,69.00M,65.70M,60.50M,58.80M,60.40M,54.00M,28.90M,28.80M,29.80M,22.60M,25.30M,27.50M,25.00M,73.10M,44.50M,21.50M,32.60M,34.10M,28.40M,32.30M,33.70M,31.90M,26.40M,29.00M,28.20M
Revenue,1.625B,1.438B,1.598B,1.654B,1.703B,1.976B,1.936B,1.733B,1.64B,1.389B,1.346B,1.512B,1.455B,1.439B,1.386B,1.087B,1.254B,1.606B,1.991B,1.638B,2.752B,3.181B,3.471B,3.647B,2.46B,4.288B,4.001B,4.021B,3.874B,4.141B,3.956B,4.457B,4.295B,4.282B,4.338B,3.925B,3.525B,3.013B,2.972B,2.673B,2.555B,2.332B,2.093B,1.634B,1.937B,3.365B,3.900B,3.188B,2.996B,2.499B,2.444B,2.023B,1.966B,2.073B,2.085B,1.950B,2.102B,2.061B,1.775B,1.662B,1.535B,1.407B,1.241B,1.150B,1.065B,1.105B,1.054B,966.61M,730.25M,645.19M,656.32M,528.00M,505.01M,659.92M,800.44M,795.14M,725.15M,625.06M,486.41M,446.12M,291.85M,385.40M,246.42M,187.70M,82.67M,211.70M,220.10M,245.90M,323.30M,276.70M,258.00M,322.50M,305.10M,242.20M,222.80M,205.90M,203.40M,178.10M,202.90M,157.20M,143.50M,140.10M,133.20M,121.00M,124.40M,119.90M,111.10M,107.80M,119.50M,111.20M,102.10M,90.30M,116.40M,111.90M,60.50M,68.00M,80.90M,65.00M,58.50M,69.00M,65.70M,60.50M,58.80M,60.40M,54.00M,28.90M,28.80M,29.80M,22.60M,25.30M,27.50M,25.00M,73.10M,44.50M,21.50M,32.60M,34.10M,28.40M,32.30M,33.70M,31.90M,26.40M,29.00M,28.20M
Cost of Goods Sold,1.14B,1.127B,1.067B,1.099B,1.074B,1.084B,1.046B,988.00M,942.00M,956.00M,992.00M,969.00M,1.043B,1.081B,1.08B,1.108B,1.312B,1.38B,1.31B,8.839B,-55.00M,3.39B,1.984B,1.873B,1.641B,2.848B,2.208B,2.107B,1.846B,2.916B,2.708B,2.49B,1.908B,1.798B,73.00M,76.00M,5.167B,43.00M,43.00M,480.00M,39.95M,36.23M,438.75M,430.83M,553.46M,530.54M,486.50M,40.98M,467.82M,452.91M,449.00M,420.53M,400.57M,386.60M,338.21M,317.72M,298.61M,303.57M,281.61M,256.95M,269.55M,229.27M,219.94M,227.87M,201.19M,211.52M,201.42M,146.00M,128.56M,127.16M,123.20M,120.54M,88.20M,110.79M,101.42M,90.11M,32.68M,82.53M,58.49M,70.43M,-71.82M,105.10M,51.12M,71.00M,-62.96M,78.30M,79.00M,87.80M,114.70M,97.50M,96.60M,119.30M,108.40M,86.70M,84.30M,84.90M,83.70M,70.70M,82.20M,63.60M,48.50M,47.20M,45.00M,42.20M,61.90M,41.10M,35.60M,33.60M,37.30M,40.00M,36.00M,33.50M,37.50M,41.10M,17.00M,14.80M,29.30M,14.70M,15.60M,18.00M,,,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,485.00M,311.00M,531.00M,555.00M,629.00M,892.00M,890.00M,745.00M,698.00M,433.00M,354.00M,543.00M,412.00M,358.00M,306.00M,-21.00M,-58.00M,226.00M,681.00M,-7.201B,2.807B,-209.00M,1.487B,1.774B,819.00M,1.44B,1.793B,1.914B,2.028B,1.225B,1.248B,1.967B,2.387B,2.484B,4.265B,3.849B,-1.642B,2.97B,2.929B,2.193B,2.515B,2.296B,1.655B,1.203B,1.383B,2.834B,3.414B,3.147B,2.528B,2.046B,1.995B,1.603B,1.565B,1.686B,1.747B,1.633B,1.803B,1.757B,1.493B,1.405B,1.265B,1.178B,1.021B,922.07M,863.60M,893.02M,852.94M,820.61M,601.69M,518.02M,533.12M,407.46M,416.81M,549.12M,699.02M,705.04M,692.46M,542.53M,427.92M,375.69M,363.68M,280.30M,195.30M,116.70M,145.63M,133.40M,141.10M,158.10M,208.60M,179.20M,161.40M,203.20M,196.70M,155.50M,138.50M,121.00M,119.70M,107.40M,120.70M,93.60M,95.00M,92.90M,88.20M,78.80M,62.50M,78.80M,75.50M,74.20M,82.20M,71.20M,66.10M,56.80M,78.90M,70.80M,43.50M,53.20M,51.60M,50.30M,42.90M,51.00M,,,,,,,,,,,,,,,,,,,,,,,,
General and Administrative Expense,83.00M,98.00M,102.00M,123.00M,101.00M,99.00M,117.00M,114.00M,88.00M,98.00M,106.00M,103.00M,112.00M,102.00M,103.00M,93.00M,96.00M,89.00M,111.00M,82.00M,121.00M,111.00M,113.00M,103.00M,122.00M,120.00M,126.00M,112.00M,131.00M,124.00M,132.00M,128.00M,132.00M,112.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG&A Expense,83.00M,98.00M,102.00M,123.00M,101.00M,99.00M,117.00M,114.00M,88.00M,98.00M,106.00M,103.00M,112.00M,102.00M,103.00M,93.00M,96.00M,89.00M,111.00M,82.00M,121.00M,111.00M,113.00M,103.00M,122.00M,120.00M,126.00M,112.00M,131.00M,124.00M,132.00M,128.00M,132.00M,112.00M,103.00M,112.00M,120.00M,89.00M,84.00M,87.00M,85.56M,82.49M,90.90M,85.05M,69.94M,57.56M,78.87M,82.42M,75.00M,61.40M,70.80M,67.86M,59.69M,53.78M,52.19M,45.67M,45.81M,50.05M,52.00M,50.41M,49.37M,38.58M,39.18M,46.06M,45.43M,34.69M,30.57M,27.83M,25.76M,25.46M,28.02M,25.35M,22.35M,22.79M,23.19M,20.38M,26.28M,18.09M,16.59M,14.65M,16.09M,15.20M,12.13M,10.30M,6.731M,13.90M,10.20M,10.00M,11.40M,8.70M,8.90M,9.10M,9.90M,8.90M,8.20M,8.90M,8.80M,7.70M,10.40M,9.10M,8.80M,8.20M,9.30M,8.60M,8.00M,8.30M,8.10M,8.80M,9.30M,8.60M,8.90M,8.10M,11.30M,19.30M,6.70M,5.90M,6.50M,5.50M,5.20M,4.30M,,,,,,,,,,,,,,,,,,,,,,,,
Special Income and Charges,-2.71B,-16.00M,-304.00M,-1.00M,-496.00M,-111.00M,-10.00M,7.00M,9.00M,276.00M,-25.00M,342.00M,-98.00M,-843.00M,-165.00M,-16.00M,-3.08B,-3.947B,-351.00M,-54.00M,-8.711B,-34.00M,-14.00M,-18.00M,-17.00M,0.00,0.00,0.00,-2.00M,-7.00M,-16.00M,-6.00M,-5.00M,-4.00M,-6.00M,-5.00M,-167.00M,-8.00M,-8.00M,0.00,0.00,0.00,0.00,-26.74M,,-24.97M,-25.68M,-455.49M,-8.34M,-48.28M,-24.63M,-73.85M,-28.31M,143.14M,-65.33M,7.514M,29.89M,-4.219M,-41.96M,-26.32M,-13.34M,-11.07M,-153.32M,-10.76M,-46.95M,-22.68M,-20.89M,-10.63M,-60.37M,10.03M,,-9.20M,-44.39M,15.52M,-130.00M,15.08M,43.11M,-0.446M,,1.025M,,,,0.40M,,,1.60M,0.80M,-3.20M,0.40M,1.60M,-0.30M,0.50M,0.30M,1.60M,1.30M,-7.20M,3.90M,-15.80M,2.10M,4.90M,0.70M,1.90M,0.70M,0.40M,2.30M,0.20M,0.90M,0.50M,0.10M,29.20M,2.00M,3.20M,1.60M,1.30M,1.70M,,0.80M,0.90M,0.90M,,,,,,,,,,,,,,,,,,,,,,,,
Non Income Taxes,66.00M,44.00M,46.00M,51.00M,53.00M,58.00M,49.00M,55.00M,34.00M,46.00M,29.00M,42.00M,41.00M,9.00M,65.00M,11.00M,50.00M,104.00M,55.00M,74.00M,95.00M,124.00M,177.00M,181.00M,198.00M,176.00M,170.00M,229.00M,191.00M,167.00M,203.00M,257.00M,236.00M,244.00M,255.00M,164.00M,168.00M,158.00M,187.00M,177.00M,192.79M,183.93M,115.94M,87.34M,139.40M,304.28M,298.55M,242.58M,244.16M,125.20M,131.02M,97.27M,165.41M,117.70M,168.40M,146.41M,144.08M,150.39M,86.59M,72.19M,16.06M,47.15M,21.60M,8.948M,22.91M,41.59M,32.74M,24.55M,17.70M,15.08M,17.34M,14.20M,11.63M,16.66M,20.25M,21.29M,,,11.12M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Interest Expense,96.00M,98.00M,100.00M,99.00M,98.00M,102.00M,97.00M,100.00M,101.00M,101.00M,102.00M,102.00M,104.00M,103.00M,104.00M,105.00M,112.00M,117.00M,118.00M,70.00M,257.00M,59.00M,52.00M,29.00M,84.00M,51.00M,53.00M,56.00M,48.00M,42.00M,46.00M,42.00M,37.00M,40.00M,46.00M,48.00M,52.00M,57.00M,57.00M,60.00M,66.57M,61.68M,63.16M,64.31M,144.69M,42.84M,43.52M,47.73M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Interest Income,1.00M,5.00M,3.00M,4.00M,6.00M,6.00M,4.00M,6.00M,6.00M,3.00M,5.00M,5.00M,2.00M,3.00M,2.00M,1.00M,3.00M,2.00M,3.00M,3.00M,2.00M,1.00M,1.00M,4.00M,-2.00M,3.00M,3.00M,3.00M,3.00M,4.00M,3.00M,3.00M,3.00M,4.00M,6.00M,4.00M,4.00M,5.00M,2.00M,2.00M,,,2.00M,5.726M,4.772M,9.55M,5.297M,4.328M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
