date,sustainable_growth_rate
"Dec. 31, 2019",24.08%
"Sept. 30, 2019",30.48%
"June 30, 2019",32.58%
"March 31, 2019",26.63%
"Dec. 31, 2018",19.78%
"Sept. 30, 2018",5.63%
"June 30, 2018",1.29%
"March 31, 2018",0.57%
"Dec. 31, 2017",0.82%
"Sept. 30, 2017",-7.93%
"June 30, 2017",-8.31%
"March 31, 2017",-10.65%
"Dec. 31, 2016",-17.09%
"Sept. 30, 2016",-10.56%
"June 30, 2016",-11.36%
"March 31, 2016",-10.46%
"Dec. 31, 2015",-6.94%
"Sept. 30, 2015",-11.76%
"June 30, 2015",-6.29%
"March 31, 2015",0.20%
"Dec. 31, 2014",3.13%
"Sept. 30, 2014",16.02%
"June 30, 2014",14.79%
"March 31, 2014",14.03%
"Dec. 31, 2013",11.49%
"Sept. 30, 2013",10.10%
"June 30, 2013",8.94%
"March 31, 2013",6.57%
"Dec. 31, 2012",5.43%
"Sept. 30, 2012",4.83%
"June 30, 2012",4.56%
"March 31, 2012",5.64%
"Dec. 31, 2011",5.57%
"Sept. 30, 2011",6.90%
"June 30, 2011",5.73%
"March 31, 2011",4.05%
"Dec. 31, 2010",4.94%
"Sept. 30, 2010",
"June 30, 2010",6.17%
"March 31, 2010",6.36%
"Dec. 31, 2009",7.44%
"Sept. 30, 2009",7.97%
"June 30, 2009",10.12%
"March 31, 2009",13.04%
"Dec. 31, 2008",14.45%
"Sept. 30, 2008",16.93%
"June 30, 2008",16.08%
"March 31, 2008",15.84%
"Dec. 31, 2007",16.57%
"Sept. 30, 2007",15.15%
"June 30, 2007",33.26%
"March 31, 2007",36.74%
"Dec. 31, 2006",40.83%
"Sept. 30, 2006",49.96%
"June 30, 2006",30.68%
"March 31, 2006",31.38%
"Dec. 31, 2005",27.83%
"Sept. 30, 2005",24.70%
"June 30, 2005",22.50%
"March 31, 2005",20.31%
"Dec. 31, 2004",20.88%
"Sept. 30, 2004",18.69%
"June 30, 2004",20.95%
"March 31, 2004",21.70%
"Dec. 31, 2003",4.77%
"Sept. 30, 2003",1.48%
"June 30, 2003",-3.46%
"March 31, 2003",-8.13%
"Dec. 31, 2002",3.18%
"Sept. 30, 2002",-3.78%
"June 30, 2002",-2.70%
"March 31, 2002",0.71%
"Dec. 31, 2001",13.62%
"Sept. 30, 2001",26.30%
"June 30, 2001",27.92%
"March 31, 2001",23.14%
"Dec. 31, 2000",8.96%
"Sept. 30, 2000",3.32%
"June 30, 2000",2.27%
"March 31, 2000",4.82%
"Dec. 31, 1999",0.64%
"Sept. 30, 1999",-3.06%
"June 30, 1999",-5.76%
"March 31, 1999",-4.55%
"Dec. 31, 1998",-1.18%
"Sept. 30, 1998",4.67%
"June 30, 1998",6.78%
"March 31, 1998",6.82%
"Dec. 31, 1997",10.99%
"Sept. 30, 1997",9.87%
"June 30, 1997",10.57%
"March 31, 1997",10.13%
"Dec. 31, 1996",7.49%
"Sept. 30, 1996",0.13%
"June 30, 1996",-45.59%
"March 31, 1996",-44.97%
"Dec. 31, 1995",-47.59%
"Sept. 30, 1995",-42.44%
"June 30, 1995",-10.23%
"March 31, 1995",-9.32%
"Dec. 31, 1994",-3.85%
"Sept. 30, 1994",-2.13%
"June 30, 1994",-1.77%
"March 31, 1994",0.13%
"Dec. 31, 1993",-0.43%
"Sept. 30, 1993",0.30%
"June 30, 1993",2.92%
"March 31, 1993",0.08%
"Dec. 31, 1992",-0.84%
"Sept. 30, 1992",-2.52%
"June 30, 1992",-4.15%
"March 31, 1992",-3.04%
"Dec. 31, 1991",-78.22%
"Sept. 30, 1991",-71.59%
"June 30, 1991",-69.92%
"March 31, 1991",-67.53%
"Dec. 31, 1990",12.52%
"Sept. 30, 1990",10.87%
"June 30, 1990",15.27%
