date,payout_ratio
"Dec. 31, 2019",21.37%
"Sept. 30, 2019",16.67%
"June 30, 2019",14.78%
"March 31, 2019",16.13%
"Dec. 31, 2018",19.99%
"Sept. 30, 2018",43.91%
"June 30, 2018",76.03%
"March 31, 2018",86.84%
"Dec. 31, 2017",78.53%
"Sept. 30, 2017",-43.95%
"June 30, 2017",-29.12%
"March 31, 2017",-14.30%
"Dec. 31, 2016",-8.68%
"Sept. 30, 2016",-14.93%
"June 30, 2016",-14.18%
"March 31, 2016",-16.12%
"Dec. 31, 2015",-29.05%
"Sept. 30, 2015",-14.73%
"June 30, 2015",-30.61%
"March 31, 2015",88.11%
"Dec. 31, 2014",31.85%
"Sept. 30, 2014",8.27%
"June 30, 2014",8.98%
"March 31, 2014",8.54%
"Dec. 31, 2013",9.02%
"Sept. 30, 2013",8.66%
"June 30, 2013",8.02%
"March 31, 2013",10.74%
"Dec. 31, 2012",12.72%
"Sept. 30, 2012",13.38%
"June 30, 2012",13.41%
"March 31, 2012",10.61%
"Dec. 31, 2011",10.22%
"Sept. 30, 2011",8.61%
"June 30, 2011",10.36%
"March 31, 2011",14.25%
"Dec. 31, 2010",12.06%
"Sept. 30, 2010",13.74%
"June 30, 2010",9.91%
"March 31, 2010",9.61%
"Dec. 31, 2009",8.38%
"Sept. 30, 2009",7.98%
"June 30, 2009",6.75%
"March 31, 2009",5.75%
"Dec. 31, 2008",5.71%
"Sept. 30, 2008",0.58%
"June 30, 2008",0.58%
"March 31, 2008",0.60%
"Dec. 31, 2007",0.00%
"Sept. 30, 2007",6.13%
"June 30, 2007",2.79%
"March 31, 2007",2.44%
"Dec. 31, 2006",2.41%
"Sept. 30, 2006",2.24%
"June 30, 2006",4.07%
"March 31, 2006",4.32%
"Dec. 31, 2005",4.86%
"Sept. 30, 2005",5.36%
"June 30, 2005",5.55%
"March 31, 2005",5.82%
"Dec. 31, 2004",5.89%
"Sept. 30, 2004",6.84%
"June 30, 2004",6.41%
"March 31, 2004",6.38%
"Dec. 31, 2003",23.86%
"Sept. 30, 2003",50.24%
"June 30, 2003",-76.62%
"March 31, 2003",-22.79%
"Dec. 31, 2002",31.54%
"Sept. 30, 2002",-62.22%
"June 30, 2002",-117.4%
"March 31, 2002",67.74%
"Dec. 31, 2001",10.20%
"Sept. 30, 2001",5.89%
"June 30, 2001",6.16%
"March 31, 2001",9.92%
"Dec. 31, 2000",25.72%
"Sept. 30, 2000",52.45%
"June 30, 2000",64.67%
"March 31, 2000",45.72%
"Dec. 31, 1999",86.45%
"Sept. 30, 1999",281.0%
"June 30, 1999",-235.7%
"March 31, 1999",-740.0%
"Dec. 31, 1998",142.3%
"Sept. 30, 1998",44.16%
"June 30, 1998",40.87%
"March 31, 1998",42.38%
"Dec. 31, 1997",33.22%
"Sept. 30, 1997",35.94%
"June 30, 1997",34.98%
"March 31, 1997",36.51%
"Dec. 31, 1996",44.44%
"Sept. 30, 1996",97.83%
"June 30, 1996",-13.41%
"March 31, 1996",-12.57%
"Dec. 31, 1995",-10.62%
"Sept. 30, 1995",-11.14%
"June 30, 1995",-58.71%
"March 31, 1995",-62.31%
"Dec. 31, 1994",-710.0%
"Sept. 30, 1994",295.2%
"June 30, 1994",234.8%
"March 31, 1994",95.92%
"Dec. 31, 1993",116.7%
"Sept. 30, 1993",90.00%
"June 30, 1993",47.14%
"March 31, 1993",97.06%
"Dec. 31, 1992",143.5%
"Sept. 30, 1992",1.10K%
"June 30, 1992",-194.1%
"March 31, 1992",-208.3%
"Dec. 31, 1991",7.44K%
"Sept. 30, 1991",967.0%
"June 30, 1991",847.8%
"March 31, 1991",647.3%
"Dec. 31, 1990",4.62%
"Sept. 30, 1990",0.00%
"June 30, 1990",0.00%
"March 31, 1990",0.00%
"Dec. 31, 1989",0.00%
"Sept. 30, 1989",0.00%
