date,one_year_return
"March 19, 2020",-34.86%
"March 18, 2020",-28.71%
"March 17, 2020",-26.38%
"March 16, 2020",-34.01%
"March 13, 2020",-29.29%
"March 12, 2020",-37.15%
"March 11, 2020",-34.90%
"March 10, 2020",-31.33%
"March 9, 2020",-31.54%
"March 6, 2020",-35.58%
"March 5, 2020",-42.06%
"March 4, 2020",-41.04%
"March 3, 2020",-41.40%
"March 2, 2020",-42.35%
"Feb. 28, 2020",-43.42%
"Feb. 27, 2020",-45.44%
"Feb. 26, 2020",-41.62%
"Feb. 25, 2020",-41.34%
"Feb. 24, 2020",-37.96%
"Feb. 21, 2020",-39.32%
"Feb. 20, 2020",-38.48%
"Feb. 19, 2020",-38.05%
"Feb. 18, 2020",-39.36%
"Feb. 14, 2020",-40.13%
"Feb. 13, 2020",-38.71%
"Feb. 12, 2020",-39.46%
"Feb. 11, 2020",-39.53%
"Feb. 10, 2020",-38.83%
"Feb. 7, 2020",-38.28%
"Feb. 6, 2020",-38.82%
"Feb. 5, 2020",-39.94%
"Feb. 4, 2020",-42.11%
"Feb. 3, 2020",-43.52%
"Jan. 31, 2020",-43.53%
"Jan. 30, 2020",-43.55%
"Jan. 29, 2020",-44.11%
"Jan. 28, 2020",-42.34%
"Jan. 27, 2020",-44.35%
"Jan. 24, 2020",-42.54%
"Jan. 23, 2020",-38.98%
"Jan. 22, 2020",-38.79%
"Jan. 21, 2020",-39.42%
"Jan. 17, 2020",-33.45%
"Jan. 16, 2020",-30.60%
"Jan. 15, 2020",-30.08%
"Jan. 14, 2020",-28.99%
"Jan. 13, 2020",-28.91%
"Jan. 10, 2020",-27.49%
"Jan. 9, 2020",-27.63%
"Jan. 8, 2020",-31.00%
"Jan. 7, 2020",-27.21%
"Jan. 6, 2020",-24.69%
"Jan. 3, 2020",-26.09%
"Jan. 2, 2020",-26.77%
"Dec. 31, 2019",-22.10%
"Dec. 30, 2019",-25.36%
"Dec. 27, 2019",-27.56%
"Dec. 26, 2019",-26.32%
"Dec. 24, 2019",-21.30%
"Dec. 23, 2019",-22.88%
"Dec. 20, 2019",-22.38%
"Dec. 19, 2019",-24.60%
"Dec. 18, 2019",-26.58%
"Dec. 17, 2019",-26.18%
"Dec. 16, 2019",-27.54%
"Dec. 13, 2019",-33.25%
"Dec. 12, 2019",-33.91%
"Dec. 11, 2019",-36.48%
"Dec. 10, 2019",-35.98%
"Dec. 9, 2019",-36.15%
"Dec. 6, 2019",-36.22%
"Dec. 5, 2019",-36.41%
"Dec. 4, 2019",-35.86%
"Dec. 3, 2019",-36.93%
"Dec. 2, 2019",-36.41%
"Nov. 29, 2019",-35.44%
"Nov. 27, 2019",-33.02%
"Nov. 26, 2019",-35.88%
"Nov. 25, 2019",-34.78%
"Nov. 22, 2019",-36.42%
"Nov. 21, 2019",-37.74%
"Nov. 20, 2019",-35.19%
"Nov. 19, 2019",-34.50%
"Nov. 18, 2019",-33.29%
"Nov. 15, 2019",-29.13%
"Nov. 14, 2019",-30.92%
"Nov. 13, 2019",-32.43%
"Nov. 12, 2019",-29.89%
"Nov. 11, 2019",-30.73%
"Nov. 8, 2019",-27.19%
"Nov. 7, 2019",-27.92%
"Nov. 6, 2019",-28.73%
"Nov. 5, 2019",-30.32%
"Nov. 4, 2019",-23.63%
"Nov. 1, 2019",-24.31%
"Oct. 31, 2019",-23.07%
"Oct. 30, 2019",-23.82%
"Oct. 29, 2019",-17.42%
"Oct. 28, 2019",-20.99%
"Oct. 25, 2019",-12.10%
"Oct. 24, 2019",-12.84%
"Oct. 23, 2019",-18.56%
"Oct. 22, 2019",-20.03%
"Oct. 21, 2019",-23.86%
"Oct. 18, 2019",-23.91%
"Oct. 17, 2019",-24.79%
"Oct. 16, 2019",-25.31%
"Oct. 15, 2019",-24.73%
"Oct. 14, 2019",-24.76%
"Oct. 11, 2019",-24.28%
"Oct. 10, 2019",-27.04%
"Oct. 9, 2019",-28.96%
"Oct. 8, 2019",-27.35%
"Oct. 7, 2019",-24.01%
"Oct. 4, 2019",-24.42%
"Oct. 3, 2019",-23.47%
"Oct. 2, 2019",-25.03%
"Oct. 1, 2019",-21.17%
"Sept. 30, 2019",-21.98%
"Sept. 27, 2019",-23.68%
"Sept. 26, 2019",-23.55%
"Sept. 25, 2019",-24.35%
"Sept. 24, 2019",-22.67%
"Sept. 23, 2019",-21.93%
"Sept. 20, 2019",-21.18%
"Sept. 19, 2019",-18.37%
"Sept. 18, 2019",-15.57%
"Sept. 17, 2019",-14.93%
"Sept. 16, 2019",-17.20%
"Sept. 13, 2019",-14.77%
"Sept. 12, 2019",-15.46%
"Sept. 11, 2019",-13.35%
"Sept. 10, 2019",-14.96%
"Sept. 9, 2019",-15.75%
"Sept. 6, 2019",-19.90%
"Sept. 5, 2019",-22.60%
"Sept. 4, 2019",-25.55%
"Sept. 3, 2019",-28.58%
"Aug. 30, 2019",-29.11%
"Aug. 29, 2019",-28.57%
"Aug. 28, 2019",-29.98%
"Aug. 27, 2019",-30.78%
"Aug. 26, 2019",-31.47%
"Aug. 23, 2019",-30.56%
"Aug. 22, 2019",-31.23%
"Aug. 21, 2019",-31.27%
"Aug. 20, 2019",-29.93%
"Aug. 19, 2019",-29.03%
"Aug. 16, 2019",-29.91%
"Aug. 15, 2019",-29.07%
"Aug. 14, 2019",-31.87%
"Aug. 13, 2019",-27.27%
"Aug. 12, 2019",-26.61%
"Aug. 9, 2019",-26.21%
"Aug. 8, 2019",-24.49%
"Aug. 7, 2019",-26.58%
"Aug. 6, 2019",-26.55%
"Aug. 5, 2019",-25.59%
"Aug. 2, 2019",-20.84%
"Aug. 1, 2019",-19.58%
"July 31, 2019",-18.47%
"July 30, 2019",-14.96%
"July 29, 2019",-16.13%
"July 26, 2019",-22.49%
"July 25, 2019",-12.74%
"July 24, 2019",-8.90%
"July 23, 2019",-8.35%
"July 22, 2019",-8.17%
"July 19, 2019",-8.60%
"July 18, 2019",-6.43%
"July 17, 2019",-5.37%
"July 16, 2019",-1.90%
"July 15, 2019",0.26%
"July 12, 2019",3.14%
"July 11, 2019",0.68%
"July 10, 2019",1.61%
"July 9, 2019",0.89%
"July 8, 2019",1.10%
"July 5, 2019",0.85%
"July 3, 2019",0.60%
"July 2, 2019",-2.13%
"July 1, 2019",-3.32%
"June 28, 2019",-2.96%
"June 27, 2019",-3.12%
"June 26, 2019",-3.74%
"June 25, 2019",-1.12%
"June 24, 2019",0.52%
"June 21, 2019",-3.02%
"June 20, 2019",-2.36%
"June 19, 2019",0.50%
"June 18, 2019",0.67%
"June 17, 2019",2.13%
"June 14, 2019",0.68%
"June 13, 2019",0.21%
"June 12, 2019",0.55%
"June 11, 2019",1.91%
"June 10, 2019",2.72%
"June 7, 2019",8.76%
"June 6, 2019",10.57%
"June 5, 2019",12.01%
"June 4, 2019",13.50%
"June 3, 2019",9.81%
"May 31, 2019",9.50%
"May 30, 2019",10.93%
"May 29, 2019",15.13%
"May 28, 2019",14.22%
"May 24, 2019",14.83%
"May 23, 2019",12.42%
"May 22, 2019",16.72%
"May 21, 2019",16.83%
"May 20, 2019",13.62%
"May 17, 2019",12.08%
"May 16, 2019",12.84%
"May 15, 2019",13.62%
"May 14, 2019",13.02%
"May 13, 2019",13.98%
"May 10, 2019",13.07%
"May 9, 2019",12.29%
"May 8, 2019",9.60%
"May 7, 2019",10.77%
"May 6, 2019",8.71%
"May 3, 2019",9.92%
"May 2, 2019",5.46%
"May 1, 2019",5.88%
"April 30, 2019",8.28%
"April 29, 2019",9.91%
"April 26, 2019",13.59%
"April 25, 2019",12.26%
"April 24, 2019",12.25%
"April 23, 2019",12.31%
"April 22, 2019",13.39%
"April 18, 2019",8.69%
"April 17, 2019",13.42%
"April 16, 2019",14.48%
"April 15, 2019",15.59%
"April 12, 2019",15.87%
"April 11, 2019",15.19%
"April 10, 2019",15.29%
"April 9, 2019",18.26%
"April 8, 2019",15.75%
"April 5, 2019",9.32%
"April 4, 2019",8.90%
"April 3, 2019",8.28%
"April 2, 2019",11.88%
"April 1, 2019",7.88%
"March 29, 2019",8.84%
"March 28, 2019",11.13%
"March 27, 2019",10.55%
"March 26, 2019",10.10%
"March 25, 2019",12.25%
"March 22, 2019",8.35%
"March 21, 2019",9.02%
"March 20, 2019",9.72%
"March 19, 2019",6.35%
"March 18, 2019",3.84%
"March 15, 2019",3.51%
"March 14, 2019",1.88%
"March 13, 2019",1.33%
"March 12, 2019",0.00%
"March 11, 2019",-2.43%
"March 8, 2019",-1.12%
"March 7, 2019",-1.14%
"March 6, 2019",0.87%
"March 5, 2019",1.74%
"March 4, 2019",0.32%
"March 1, 2019",1.28%
"Feb. 28, 2019",1.90%
"Feb. 27, 2019",2.15%
"Feb. 26, 2019",0.68%
"Feb. 25, 2019",1.76%
"Feb. 22, 2019",1.59%
"Feb. 21, 2019",5.55%
"Feb. 20, 2019",4.31%
"Feb. 19, 2019",5.40%
"Feb. 15, 2019",4.91%
"Feb. 14, 2019",3.00%
"Feb. 13, 2019",3.62%
"Feb. 12, 2019",3.65%
"Feb. 11, 2019",3.26%
"Feb. 8, 2019",4.09%
"Feb. 7, 2019",1.50%
"Feb. 6, 2019",-1.87%
"Feb. 5, 2019",2.82%
"Feb. 4, 2019",-1.19%
"Feb. 1, 2019",-4.31%
"Jan. 31, 2019",-5.31%
"Jan. 30, 2019",-5.02%
"Jan. 29, 2019",-5.32%
"Jan. 28, 2019",-8.34%
"Jan. 25, 2019",-6.19%
"Jan. 24, 2019",-9.36%
"Jan. 23, 2019",-11.99%
"Jan. 22, 2019",-10.32%
"Jan. 18, 2019",-7.07%
"Jan. 17, 2019",-9.72%
"Jan. 16, 2019",-10.70%
"Jan. 15, 2019",-14.13%
"Jan. 14, 2019",-14.61%
