date,net_income_cs_rev
"Dec. 31, 2019",31.85%
"Sept. 30, 2019",21.06%
"June 30, 2019",33.89%
"March 31, 2019",40.95%
"Dec. 31, 2018",38.40%
"Sept. 30, 2018",22.44%
"June 30, 2018",9.36%
"March 31, 2018",24.77%
"Dec. 31, 2017",-11.10%
"Sept. 30, 2017",4.56%
"June 30, 2017",4.68%
"March 31, 2017",20.42%
"Dec. 31, 2016",-92.50%
"Sept. 30, 2016",-3.31%
"June 30, 2016",-25.49%
"March 31, 2016",-18.16%
"Dec. 31, 2015",-39.58%
"Sept. 30, 2015",-5.08%
"June 30, 2015",-8.98%
"March 31, 2015",8.66%
"Dec. 31, 2014",-35.88%
"Sept. 30, 2014",19.68%
"June 30, 2014",22.21%
"March 31, 2014",20.99%
"Dec. 31, 2013",15.99%
"Sept. 30, 2013",16.04%
"June 30, 2013",19.82%
"March 31, 2013",11.47%
"Dec. 31, 2012",11.05%
"Sept. 30, 2012",12.33%
"June 30, 2012",13.53%
"March 31, 2012",6.73%
"Dec. 31, 2011",9.84%
"Sept. 30, 2011",10.87%
"June 30, 2011",22.72%
"March 31, 2011",6.16%
"Dec. 31, 2010",22.08%
"Sept. 30, 2010",1.74%
"June 30, 2010",10.83%
"March 31, 2010",13.26%
"Dec. 31, 2009",15.57%
"Sept. 30, 2009",18.79%
"June 30, 2009",12.45%
"March 31, 2009",20.34%
"Dec. 31, 2008",18.80%
"Sept. 30, 2008",27.36%
"June 30, 2008",21.95%
"March 31, 2008",20.93%
"Dec. 31, 2007",21.68%
"Sept. 30, 2007",20.75%
"June 30, 2007",23.53%
"March 31, 2007",25.34%
"Dec. 31, 2006",18.95%
"Sept. 30, 2006",102.3%
"June 30, 2006",24.56%
"March 31, 2006",24.75%
"Dec. 31, 2005",25.99%
"Sept. 30, 2005",20.87%
"June 30, 2005",23.32%
"March 31, 2005",14.41%
"Dec. 31, 2004",20.84%
"Sept. 30, 2004",14.92%
"June 30, 2004",16.13%
"March 31, 2004",13.92%
"Dec. 31, 2003",16.32%
"Sept. 30, 2003",18.07%
"June 30, 2003",14.12%
"March 31, 2003",-28.86%
"Dec. 31, 2002",8.36%
"Sept. 30, 2002",7.16%
"June 30, 2002",2.37%
"March 31, 2002",-1.06%
"Dec. 31, 2001",-19.42%
"Sept. 30, 2001",9.62%
"June 30, 2001",12.63%
"March 31, 2001",25.22%
"Dec. 31, 2000",14.86%
"Sept. 30, 2000",7.12%
"June 30, 2000",-3.74%
"March 31, 2000",6.28%
"Dec. 31, 1999",3.15%
"Sept. 30, 1999",9.96%
"June 30, 1999",2.39%
"March 31, 1999",-7.02%
"Dec. 31, 1998",0.00%
"Sept. 30, 1998",-4.55%
"June 30, 1998",7.43%
"March 31, 1998",9.77%
"Dec. 31, 1997",19.58%
"Sept. 30, 1997",9.07%
"June 30, 1997",8.38%
"March 31, 1997",21.02%
"Dec. 31, 1996",15.27%
"Sept. 30, 1996",12.39%
"June 30, 1996",5.90%
"March 31, 1996",16.02%
"Dec. 31, 1995",-7.09%
"Sept. 30, 1995",-149.8%
"June 30, 1995",-7.59%
"March 31, 1995",-11.70%
"Dec. 31, 1994",-3.05%
"Sept. 30, 1994",-5.38%
"June 30, 1994",-2.48%
"March 31, 1994",7.90%
"Dec. 31, 1993",2.66%
"Sept. 30, 1993",-8.36%
"June 30, 1993",3.21%
"March 31, 1993",8.97%
"Dec. 31, 1992",3.51%
"Sept. 30, 1992",0.62%
"June 30, 1992",-8.16%
"March 31, 1992",7.63%
"Dec. 31, 1991",-0.70%
"Sept. 30, 1991",-7.20%
"June 30, 1991",-6.74%
"March 31, 1991",11.94%
"Dec. 31, 1990",17.32%
"Sept. 30, 1990",-2.30%
"June 30, 1990",5.65%
"March 31, 1990",18.66%
"Dec. 31, 1989",15.75%
"Sept. 30, 1989",17.11%
"June 30, 1989",17.11%
"March 31, 1989",17.16%
"Dec. 31, 1988",17.16%
