date,revenues_growth
"Dec. 31, 2019",-35.59%
"Sept. 30, 2019",-21.29%
"June 30, 2019",17.79%
"March 31, 2019",35.60%
"Dec. 31, 2018",78.85%
"Sept. 30, 2018",41.45%
"June 30, 2018",-1.52%
"March 31, 2018",-8.62%
"Dec. 31, 2017",26.54%
"Sept. 30, 2017",24.16%
"June 30, 2017",86.56%
"March 31, 2017",83.67%
"Dec. 31, 2016",12.71%
"Sept. 30, 2016",1.68%
"June 30, 2016",-19.42%
"March 31, 2016",-39.34%
"Dec. 31, 2015",-54.56%
"Sept. 30, 2015",-40.37%
"June 30, 2015",-42.55%
"March 31, 2015",-8.83%
"Dec. 31, 2014",26.78%
"Sept. 30, 2014",17.48%
"June 30, 2014",18.57%
"March 31, 2014",36.57%
"Dec. 31, 2013",31.79%
"Sept. 30, 2013",46.81%
"June 30, 2013",69.27%
"March 31, 2013",37.17%
"Dec. 31, 2012",38.00%
"Sept. 30, 2012",13.26%
"June 30, 2012",10.37%
"March 31, 2012",30.19%
"Dec. 31, 2011",20.48%
"Sept. 30, 2011",16.98%
"June 30, 2011",20.20%
"March 31, 2011",-3.38%
"Dec. 31, 2010",-4.73%
"Sept. 30, 2010",8.23%
"June 30, 2010",-2.24%
"March 31, 2010",-7.52%
"Dec. 31, 2009",0.44%
"Sept. 30, 2009",-15.44%
"June 30, 2009",-17.69%
"March 31, 2009",6.50%
"Dec. 31, 2008",19.88%
"Sept. 30, 2008",43.30%
"June 30, 2008",41.53%
"March 31, 2008",14.66%
"Dec. 31, 2007",12.95%
"Sept. 30, 2007",-7.52%
"June 30, 2007",-7.84%
"March 31, 2007",-10.80%
"Dec. 31, 2006",-23.72%
"Sept. 30, 2006",14.21%
"June 30, 2006",25.62%
"March 31, 2006",49.07%
"Dec. 31, 2005",45.55%
"Sept. 30, 2005",35.45%
"June 30, 2005",26.84%
"March 31, 2005",5.47%
"Dec. 31, 2004",27.54%
"Sept. 30, 2004",-4.82%
"June 30, 2004",-5.53%
"March 31, 2004",0.51%
"Dec. 31, 2003",17.09%
"Sept. 30, 2003",46.67%
"June 30, 2003",41.49%
"March 31, 2003",81.05%
"Dec. 31, 2002",28.92%
"Sept. 30, 2002",-17.92%
"June 30, 2002",-16.75%
"March 31, 2002",-51.53%
"Dec. 31, 2001",-30.07%
"Sept. 30, 2001",20.86%
"June 30, 2001",30.51%
"March 31, 2001",81.97%
"Dec. 31, 2000",-34.15%
"Sept. 30, 2000",90.79%
"June 30, 2000",104.9%
"March 31, 2000",148.9%
"Dec. 31, 1999",32.62%
"Sept. 30, 1999",20.86%
"June 30, 1999",-3.51%
"March 31, 1999",-12.08%
"Dec. 31, 1998",152.4%
"Sept. 30, 1998",-8.33%
"June 30, 1998",5.84%
"March 31, 1998",-26.33%
"Dec. 31, 1997",6.11%
"Sept. 30, 1997",14.93%
"June 30, 1997",5.63%
"March 31, 1997",28.16%
"Dec. 31, 1996",-12.94%
"Sept. 30, 1996",-26.04%
"June 30, 1996",-27.43%
"March 31, 1996",-29.09%
"Dec. 31, 1995",-4.41%
"Sept. 30, 1995",-13.98%
"June 30, 1995",-9.03%
"March 31, 1995",-11.70%
"Dec. 31, 1994",20.65%
"Sept. 30, 1994",66.57%
"June 30, 1994",51.07%
"March 31, 1994",51.26%
"Dec. 31, 1993",1.03%
"Sept. 30, 1993",4.36%
"June 30, 1993",27.21%
"March 31, 1993",18.53%
"Dec. 31, 1992",13.08%
"Sept. 30, 1992",28.40%
"June 30, 1992",4.26%
"March 31, 1992",-17.34%
"Dec. 31, 1991",-11.75%
"Sept. 30, 1991",15.21%
"June 30, 1991",-0.35%
"March 31, 1991",6.22%
"Dec. 31, 1990",33.98%
"Sept. 30, 1990",-41.98%
"June 30, 1990",-24.33%
"March 31, 1990",12.06%
"Dec. 31, 1989",-2.95%
