date,ebitda_margin_ttm
"Dec. 31, 2019",1.03%
"Sept. 30, 2019",41.78%
"June 30, 2019",42.79%
"March 31, 2019",49.92%
"Dec. 31, 2018",51.17%
"Sept. 30, 2018",59.35%
"June 30, 2018",59.11%
"March 31, 2018",56.14%
"Dec. 31, 2017",61.22%
"Sept. 30, 2017",57.26%
"June 30, 2017",40.99%
"March 31, 2017",37.41%
"Dec. 31, 2016",25.19%
"Sept. 30, 2016",-71.33%
"June 30, 2016",-129.6%
"March 31, 2016",-125.8%
"Dec. 31, 2015",-108.3%
"Sept. 30, 2015",-138.3%
"June 30, 2015",-54.28%
"March 31, 2015",-26.33%
"Dec. 31, 2014",-8.36%
"Sept. 30, 2014",69.66%
"June 30, 2014",65.61%
"March 31, 2014",69.01%
"Dec. 31, 2013",67.83%
"Sept. 30, 2013",69.93%
"June 30, 2013",72.13%
"March 31, 2013",70.69%
"Dec. 31, 2012",72.43%
"Sept. 30, 2012",72.52%
"June 30, 2012",73.47%
"March 31, 2012",74.25%
"Dec. 31, 2011",74.04%
"Sept. 30, 2011",71.96%
"June 30, 2011",71.25%
"March 31, 2011",70.86%
"Dec. 31, 2010",69.89%
"Sept. 30, 2010",71.97%
"June 30, 2010",70.71%
"March 31, 2010",69.31%
"Dec. 31, 2009",67.26%
"Sept. 30, 2009",65.48%
"June 30, 2009",67.95%
"March 31, 2009",71.31%
"Dec. 31, 2008",73.14%
"Sept. 30, 2008",74.54%
"June 30, 2008",74.92%
"March 31, 2008",73.75%
"Dec. 31, 2007",73.27%
"Sept. 30, 2007",71.99%
"June 30, 2007",71.55%
"March 31, 2007",71.42%
"Dec. 31, 2006",72.10%
"Sept. 30, 2006",74.24%
"June 30, 2006",74.86%
"March 31, 2006",75.63%
"Dec. 31, 2005",76.42%
"Sept. 30, 2005",76.73%
"June 30, 2005",77.31%
"March 31, 2005",77.63%
"Dec. 31, 2004",77.29%
"Sept. 30, 2004",76.42%
"June 30, 2004",75.45%
"March 31, 2004",74.77%
"Dec. 31, 2003",75.69%
"Sept. 30, 2003",76.06%
"June 30, 2003",76.41%
"March 31, 2003",76.49%
"Dec. 31, 2002",73.96%
"Sept. 30, 2002",73.58%
"June 30, 2002",74.41%
"March 31, 2002",76.84%
"Dec. 31, 2001",80.11%
"Sept. 30, 2001",81.71%
"June 30, 2001",83.24%
"March 31, 2001",83.47%
"Dec. 31, 2000",82.99%
"Sept. 30, 2000",86.65%
"June 30, 2000",83.34%
"March 31, 2000",82.09%
"Dec. 31, 1999",78.27%
"Sept. 30, 1999",73.71%
"June 30, 1999",71.29%
"March 31, 1999",66.52%
"Dec. 31, 1998",66.91%
"Sept. 30, 1998",59.51%
"June 30, 1998",60.67%
"March 31, 1998",60.55%
"Dec. 31, 1997",60.52%
"Sept. 30, 1997",60.57%
"June 30, 1997",60.30%
"March 31, 1997",60.20%
"Dec. 31, 1996",59.00%
"Sept. 30, 1996",57.18%
"June 30, 1996",55.91%
"March 31, 1996",55.69%
"Dec. 31, 1995",55.62%
"Sept. 30, 1995",56.89%
"June 30, 1995",57.92%
"March 31, 1995",58.24%
"Dec. 31, 1994",59.50%
"Sept. 30, 1994",55.58%
"June 30, 1994",55.00%
"March 31, 1994",55.14%
"Dec. 31, 1993",55.68%
"Sept. 30, 1993",60.29%
"June 30, 1993",59.68%
"March 31, 1993",58.58%
"Dec. 31, 1992",57.06%
"Sept. 30, 1992",56.21%
"June 30, 1992",53.48%
"March 31, 1992",53.97%
"Dec. 31, 1991",56.95%
"Sept. 30, 1991",56.24%
"June 30, 1991",63.41%
"March 31, 1991",64.21%
"Dec. 31, 1990",63.75%
"Sept. 30, 1990",-7.75%
"June 30, 1990",-1.69%
"March 31, 1990",6.61%
"Dec. 31, 1989",12.43%
"Sept. 30, 1989",48.61%
"June 30, 1989",40.57%
"March 31, 1989",30.22%
"Dec. 31, 1988",15.12%
"Sept. 30, 1988",-108.0%
"June 30, 1988",-115.0%
"March 31, 1988",-117.7%
"Dec. 31, 1987",-128.1%
"Sept. 30, 1987",-17.16%
"June 30, 1987",-3.94%
"March 31, 1987",-7.74%
"Dec. 31, 1986",-2.97%
"Sept. 30, 1986",14.54%
"June 30, 1986",2.74%
"March 31, 1986",10.99%
"Dec. 31, 1985",11.75%
"Sept. 30, 1985",40.78%
"June 30, 1985",39.82%
"March 31, 1985",38.18%
"Dec. 31, 1984",35.24%
