date,six_month_return
"March 19, 2020",-80.78%
"March 18, 2020",-82.54%
"March 17, 2020",-82.86%
"March 16, 2020",-80.81%
"March 13, 2020",-66.84%
"March 12, 2020",-67.45%
"March 11, 2020",-65.61%
"March 10, 2020",-54.47%
"March 9, 2020",-59.62%
"March 6, 2020",-7.38%
"March 5, 2020",7.37%
"March 4, 2020",14.02%
"March 3, 2020",16.72%
"March 2, 2020",18.31%
"Feb. 28, 2020",15.21%
"Feb. 27, 2020",19.61%
"Feb. 26, 2020",16.33%
"Feb. 25, 2020",23.25%
"Feb. 24, 2020",29.29%
"Feb. 21, 2020",30.69%
"Feb. 20, 2020",31.40%
"Feb. 19, 2020",30.00%
"Feb. 18, 2020",34.88%
"Feb. 14, 2020",36.26%
"Feb. 13, 2020",27.37%
"Feb. 12, 2020",32.07%
"Feb. 11, 2020",28.22%
"Feb. 10, 2020",27.31%
"Feb. 7, 2020",27.83%
"Feb. 6, 2020",26.27%
"Feb. 5, 2020",24.30%
"Feb. 4, 2020",16.33%
"Feb. 3, 2020",13.93%
"Jan. 31, 2020",12.37%
"Jan. 30, 2020",16.93%
"Jan. 29, 2020",20.40%
"Jan. 28, 2020",20.06%
"Jan. 27, 2020",20.56%
"Jan. 24, 2020",20.94%
"Jan. 23, 2020",24.52%
"Jan. 22, 2020",29.38%
"Jan. 21, 2020",32.08%
"Jan. 17, 2020",33.46%
"Jan. 16, 2020",31.14%
"Jan. 15, 2020",27.29%
"Jan. 14, 2020",24.82%
"Jan. 13, 2020",18.95%
"Jan. 10, 2020",17.87%
"Jan. 9, 2020",20.96%
"Jan. 8, 2020",23.51%
"Jan. 7, 2020",19.61%
"Jan. 6, 2020",-5.67%
"Jan. 3, 2020",-5.83%
"Jan. 2, 2020",-7.45%
"Dec. 31, 2019",-11.67%
"Dec. 30, 2019",-11.98%
"Dec. 27, 2019",-8.80%
"Dec. 26, 2019",-9.51%
"Dec. 24, 2019",-9.98%
"Dec. 23, 2019",-10.49%
"Dec. 20, 2019",-23.35%
"Dec. 19, 2019",-20.65%
"Dec. 18, 2019",-20.60%
"Dec. 17, 2019",-19.29%
"Dec. 16, 2019",-19.72%
"Dec. 13, 2019",-24.72%
"Dec. 12, 2019",-21.31%
"Dec. 11, 2019",-26.24%
"Dec. 10, 2019",-27.53%
"Dec. 9, 2019",-28.74%
"Dec. 6, 2019",-30.69%
"Dec. 5, 2019",-33.74%
"Dec. 4, 2019",-34.02%
"Dec. 3, 2019",-31.65%
