date,operating_margin_ttm
"Dec. 31, 2019",6.49%
"Sept. 30, 2019",13.72%
"June 30, 2019",20.03%
"March 31, 2019",24.31%
"Dec. 31, 2018",26.57%
"Sept. 30, 2018",28.14%
"June 30, 2018",21.50%
"March 31, 2018",15.32%
"Dec. 31, 2017",12.79%
"Sept. 30, 2017",9.56%
"June 30, 2017",9.68%
"March 31, 2017",7.11%
"Dec. 31, 2016",-2.68%
"Sept. 30, 2016",-46.21%
"June 30, 2016",-51.17%
"March 31, 2016",-41.01%
"Dec. 31, 2015",-147.6%
"Sept. 30, 2015",-88.63%
"June 30, 2015",-76.06%
"March 31, 2015",-58.00%
"Dec. 31, 2014",18.93%
"Sept. 30, 2014",17.23%
"June 30, 2014",27.46%
"March 31, 2014",28.54%
"Dec. 31, 2013",28.23%
"Sept. 30, 2013",36.04%
"June 30, 2013",35.12%
"March 31, 2013",31.58%
"Dec. 31, 2012",31.18%
"Sept. 30, 2012",31.88%
"June 30, 2012",38.81%
"March 31, 2012",45.48%
"Dec. 31, 2011",49.12%
"Sept. 30, 2011",48.41%
"June 30, 2011",47.63%
"March 31, 2011",47.11%
"Dec. 31, 2010",46.11%
"Sept. 30, 2010",47.35%
"June 30, 2010",45.93%
"March 31, 2010",43.79%
"Dec. 31, 2009",6.90%
"Sept. 30, 2009",-67.85%
"June 30, 2009",-49.69%
"March 31, 2009",-27.01%
"Dec. 31, 2008",13.04%
"Sept. 30, 2008",59.77%
"June 30, 2008",59.01%
"March 31, 2008",55.90%
"Dec. 31, 2007",49.70%
"Sept. 30, 2007",46.94%
"June 30, 2007",46.57%
"March 31, 2007",47.18%
"Dec. 31, 2006",49.61%
"Sept. 30, 2006",54.00%
"June 30, 2006",56.18%
"March 31, 2006",57.26%
"Dec. 31, 2005",57.79%
"Sept. 30, 2005",57.04%
"June 30, 2005",56.29%
"March 31, 2005",55.75%
"Dec. 31, 2004",54.30%
"Sept. 30, 2004",51.90%
"June 30, 2004",49.74%
"March 31, 2004",48.50%
"Dec. 31, 2003",49.98%
"Sept. 30, 2003",50.26%
"June 30, 2003",49.54%
"March 31, 2003",48.11%
"Dec. 31, 2002",40.85%
"Sept. 30, 2002",36.88%
"June 30, 2002",37.65%
"March 31, 2002",42.29%
"Dec. 31, 2001",50.29%
"Sept. 30, 2001",56.24%
"June 30, 2001",59.57%
"March 31, 2001",59.73%
"Dec. 31, 2000",57.35%
"Sept. 30, 2000",56.76%
"June 30, 2000",51.22%
"March 31, 2000",46.56%
"Dec. 31, 1999",38.42%
"Sept. 30, 1999",1.84%
"June 30, 1999",-14.35%
"March 31, 1999",-21.18%
"Dec. 31, 1998",-15.42%
"Sept. 30, 1998",19.91%
"June 30, 1998",23.09%
"March 31, 1998",24.59%
"Dec. 31, 1997",27.66%
"Sept. 30, 1997",28.51%
"June 30, 1997",28.82%
"March 31, 1997",29.29%
"Dec. 31, 1996",26.19%
"Sept. 30, 1996",21.88%
"June 30, 1996",18.67%
"March 31, 1996",16.30%
"Dec. 31, 1995",14.87%
"Sept. 30, 1995",14.35%
"June 30, 1995",14.98%
"March 31, 1995",14.97%
"Dec. 31, 1994",15.51%
"Sept. 30, 1994",15.65%
"June 30, 1994",14.20%
"March 31, 1994",15.49%
"Dec. 31, 1993",16.77%
"Sept. 30, 1993",17.56%
"June 30, 1993",19.46%
"March 31, 1993",17.98%
"Dec. 31, 1992",16.07%
"Sept. 30, 1992",16.52%
"June 30, 1992",14.76%
"March 31, 1992",15.43%
"Dec. 31, 1991",18.78%
"Sept. 30, 1991",15.81%
"June 30, 1991",20.19%
"March 31, 1991",21.07%
"Dec. 31, 1990",21.03%
"Sept. 30, 1990",-38.88%
"June 30, 1990",-22.23%
"March 31, 1990",-4.13%
"Dec. 31, 1989",12.43%
"Sept. 30, 1989",48.61%
"June 30, 1989",40.57%
"March 31, 1989",30.22%
"Dec. 31, 1988",15.12%
"Sept. 30, 1988",-108.0%
"June 30, 1988",-115.0%
"March 31, 1988",-117.7%
"Dec. 31, 1987",-128.1%
"Sept. 30, 1987",-17.16%
"June 30, 1987",-3.94%
"March 31, 1987",-7.74%
"Dec. 31, 1986",-2.97%
"Sept. 30, 1986",14.54%
"June 30, 1986",2.74%
"March 31, 1986",10.99%
"Dec. 31, 1985",11.75%
"Sept. 30, 1985",40.78%
"June 30, 1985",39.82%
"March 31, 1985",38.18%
"Dec. 31, 1984",35.24%
