date,revenues_growth
"Dec. 31, 2019",-4.58%
"Sept. 30, 2019",-27.23%
"June 30, 2019",-17.46%
"March 31, 2019",-4.56%
"Dec. 31, 2018",3.84%
"Sept. 30, 2018",42.26%
"June 30, 2018",43.83%
"March 31, 2018",14.62%
"Dec. 31, 2017",12.71%
"Sept. 30, 2017",-3.47%
"June 30, 2017",-2.89%
"March 31, 2017",39.10%
"Dec. 31, 2016",16.03%
"Sept. 30, 2016",-10.40%
"June 30, 2016",-30.39%
"March 31, 2016",-33.64%
"Dec. 31, 2015",-54.43%
"Sept. 30, 2015",-49.51%
"June 30, 2015",-42.64%
"March 31, 2015",-55.09%
"Dec. 31, 2014",11.87%
"Sept. 30, 2014",-25.82%
"June 30, 2014",-13.25%
"March 31, 2014",-9.30%
"Dec. 31, 2013",-36.50%
"Sept. 30, 2013",3.55%
"June 30, 2013",1.14%
"March 31, 2013",-9.78%
"Dec. 31, 2012",-9.80%
"Sept. 30, 2012",-3.29%
"June 30, 2012",-8.81%
"March 31, 2012",13.55%
"Dec. 31, 2011",21.84%
"Sept. 30, 2011",42.12%
"June 30, 2011",45.96%
"March 31, 2011",46.84%
"Dec. 31, 2010",37.94%
"Sept. 30, 2010",29.18%
"June 30, 2010",41.97%
"March 31, 2010",63.60%
"Dec. 31, 2009",31.93%
"Sept. 30, 2009",-30.68%
"June 30, 2009",-46.33%
"March 31, 2009",-48.75%
"Dec. 31, 2008",-35.36%
"Sept. 30, 2008",34.67%
"June 30, 2008",59.58%
"March 31, 2008",57.57%
"Dec. 31, 2007",52.40%
"Sept. 30, 2007",20.54%
"June 30, 2007",17.21%
"March 31, 2007",3.73%
"Dec. 31, 2006",-6.45%
"Sept. 30, 2006",0.57%
"June 30, 2006",17.50%
"March 31, 2006",17.33%
"Dec. 31, 2005",36.93%
"Sept. 30, 2005",46.49%
"June 30, 2005",43.02%
"March 31, 2005",44.55%
"Dec. 31, 2004",44.15%
"Sept. 30, 2004",27.38%
"June 30, 2004",17.68%
"March 31, 2004",18.97%
"Dec. 31, 2003",45.81%
"Sept. 30, 2003",71.20%
"June 30, 2003",60.65%
"March 31, 2003",83.07%
"Dec. 31, 2002",44.60%
"Sept. 30, 2002",-2.23%
"June 30, 2002",-18.01%
"March 31, 2002",-33.60%
"Dec. 31, 2001",-30.36%
"Sept. 30, 2001",5.58%
"June 30, 2001",64.56%
"March 31, 2001",78.24%
"Dec. 31, 2000",148.5%
"Sept. 30, 2000",62.18%
"June 30, 2000",97.39%
"March 31, 2000",137.7%
"Dec. 31, 1999",253.0%
"Sept. 30, 1999",82.05%
"June 30, 1999",11.96%
"March 31, 1999",-23.67%
"Dec. 31, 1998",-74.43%
"Sept. 30, 1998",-23.49%
"June 30, 1998",-14.69%
"March 31, 1998",-23.75%
"Dec. 31, 1997",5.97%
"Sept. 30, 1997",14.24%
"June 30, 1997",15.80%
"March 31, 1997",56.63%
"Dec. 31, 1996",50.00%
"Sept. 30, 1996",35.99%
"June 30, 1996",9.81%
"March 31, 1996",30.98%
"Dec. 31, 1995",41.74%
"Sept. 30, 1995",27.12%
"June 30, 1995",52.33%
"March 31, 1995",29.92%
"Dec. 31, 1994",15.35%
"Sept. 30, 1994",16.85%
"June 30, 1994",19.89%
"March 31, 1994",12.24%
"Dec. 31, 1993",4.10%
"Sept. 30, 1993",7.82%
"June 30, 1993",8.81%
"March 31, 1993",19.38%
"Dec. 31, 1992",2.66%
"Sept. 30, 1992",-0.63%
"June 30, 1992",68.76%
"March 31, 1992",32.79%
"Dec. 31, 1991",43.88%
"Sept. 30, 1991",72.15%
"June 30, 1991",3.42%
"March 31, 1991",-1.45%
"Dec. 31, 1990",23.14%
"Sept. 30, 1990",7.44%
"June 30, 1990",-0.51%
"March 31, 1990",14.24%
"Dec. 31, 1989",21.67%
"Sept. 30, 1989",109.3%
"June 30, 1989",104.2%
"March 31, 1989",102.7%
"Dec. 31, 1988",138.9%
"Sept. 30, 1988",14.23%
"June 30, 1988",4.73%
"March 31, 1988",19.20%
"Dec. 31, 1987",-69.08%
"Sept. 30, 1987",-43.15%
"June 30, 1987",27.91%
"March 31, 1987",-23.31%
"Dec. 31, 1986",114.4%
"Sept. 30, 1986",56.69%
"June 30, 1986",-33.44%
"March 31, 1986",-3.26%
"Dec. 31, 1985",6.90%
"Sept. 30, 1985",7.58%
"June 30, 1985",11.38%
"March 31, 1985",19.50%
