Cash Flow - Operations (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03
Net Income,83.00M,66.00M,55.00M,109.00M,-72.00M,114.00M,94.00M,-78.00M,222.00M,121.00M,-29.00M,12.00M,-99.00M,33.00M,60.00M,62.00M,-21.55M,34.71M,93.53M,49.31M,9.595M,10.13M,9.523M,9.597M,9.68M,8.227M,8.576M,3.617M,3.703M,1.674M,10.60M,-5.387M,5.387M,
Gain and Loss on Sale of PPE,22.00M,-4.00M,2.00M,48.00M,22.00M,-8.00M,2.00M,3.00M,12.00M,8.00M,92.00M,2.00M,226.00M,0.00,-2.00M,1.00M,0.106M,0.747M,0.178M,-0.031M,-0.036M,0.00,0.118M,0.112M,0.072M,0.022M,0.112M,0.193M,-0.075M,0.111M,,,,
Operating Gains Losses,23.00M,-4.00M,-4.00M,51.00M,22.00M,-8.00M,2.00M,112.00M,12.00M,8.00M,92.00M,2.00M,226.00M,0.00,-2.00M,1.00M,0.106M,0.747M,0.178M,-0.031M,-0.036M,0.00,0.118M,0.112M,0.072M,0.022M,0.112M,0.193M,-0.075M,0.111M,0.008M,0.069M,0.053M,0.091M
"Total Depreciation, Amortization, Depletion",46.00M,45.00M,47.00M,45.00M,50.00M,42.00M,41.00M,49.00M,45.00M,34.00M,36.00M,54.00M,91.00M,31.00M,-24.00M,78.00M,-52.93M,65.98M,70.20M,66.74M,3.333M,3.326M,2.597M,2.432M,1.837M,1.821M,1.238M,2.017M,1.892M,1.884M,2.127M,1.48M,1.294M,1.189M
Deferred Taxes,16.00M,3.00M,0.00,-13.00M,-15.00M,0.00,-8.00M,29.00M,-249.00M,0.00,-45.00M,-14.00M,-23.00M,14.00M,11.00M,-10.00M,20.15M,24.82M,-14.66M,0.696M,0.014M,-0.029M,-0.354M,0.26M,0.012M,0.152M,0.152M,1.652M,0.663M,-0.039M,0.703M,0.001M,0.301M,0.245M
Amortization of Securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,
Stock Based Compensation,3.00M,4.00M,3.00M,3.00M,2.00M,4.00M,3.00M,3.00M,6.00M,9.00M,5.00M,4.00M,4.00M,3.00M,3.00M,3.00M,2.114M,2.132M,2.396M,1.358M,0.777M,0.707M,0.584M,0.545M,0.401M,0.405M,0.095M,0.247M,0.569M,0.00,0.707M,0.00,,
Other Noncash Items,-9.00M,28.00M,-2.00M,-92.00M,138.00M,7.00M,-31.00M,-23.00M,-13.00M,-46.00M,33.00M,17.00M,-34.00M,-56.00M,3.00M,1.00M,79.71M,1.089M,0.821M,0.381M,0.13M,0.096M,0.095M,0.096M,0.095M,0.095M,0.096M,-0.563M,0.569M,0.00,-7.817M,8.524M,-1.861M,1.861M
Change in Receivables,18.00M,122.00M,-78.00M,-81.00M,235.00M,-23.00M,-81.00M,85.00M,-84.00M,-44.00M,-91.00M,87.00M,-160.00M,25.00M,-67.00M,-8.00M,75.28M,-29.59M,-76.08M,15.40M,32.02M,-39.08M,-19.32M,11.85M,7.348M,-6.299M,-54.66M,-33.92M,16.90M,-22.43M,2.69M,3.516M,-5.293M,-21.62M
Change in Inventories,11.00M,-38.00M,-14.00M,67.00M,-41.00M,-17.00M,30.00M,17.00M,-10.00M,45.00M,-54.00M,40.00M,-40.00M,74.00M,-139.00M,123.00M,-134.22M,135.06M,-117.68M,66.85M,-3.166M,-24.68M,4.352M,7.259M,1.639M,-21.03M,-0.219M,-3.832M,0.837M,-4.698M,1.819M,1.551M,5.505M,-9.966M
Change in Payables and Accrued Expense,-44.00M,-86.00M,125.00M,-61.00M,-144.00M,-69.00M,-212.00M,232.00M,10.00M,183.00M,95.00M,-251.00M,357.00M,23.00M,67.00M,-76.00M,-3.336M,41.48M,66.75M,-160.90M,3.45M,15.91M,4.03M,-22.17M,0.866M,33.29M,35.86M,48.96M,-17.79M,23.89M,3.026M,-8.959M,-2.379M,25.08M
Change in Other Working Cap,-6.00M,-30.00M,15.00M,9.00M,-3.00M,-30.00M,-23.00M,14.00M,36.00M,-1.00M,-9.00M,35.00M,-28.00M,-35.00M,-14.00M,-12.00M,34.09M,-47.73M,70.04M,-14.40M,-0.085M,-0.597M,0.197M,1.369M,-1.533M,0.406M,-0.704M,-0.452M,-0.204M,0.567M,-0.29M,1.104M,-0.429M,0.449M
Changes in Working Capital,-21.00M,-32.00M,48.00M,-66.00M,47.00M,-139.00M,-286.00M,348.00M,-48.00M,183.00M,-59.00M,-89.00M,129.00M,87.00M,-153.00M,27.00M,-28.19M,99.22M,-56.97M,-93.06M,32.22M,-48.45M,-10.74M,-1.692M,8.32M,6.373M,-19.72M,10.76M,-0.253M,-2.674M,7.245M,-2.788M,-2.596M,-6.062M
Other Cash from Operations,0.00,0.00,0.00,0.00,-4.00M,-2.00M,7.00M,-485.00M,-24.00M,8.00M,10.00M,142.00M,-75.00M,29.00M,139.00M,,,,,,,,,,,,,,,,,,,
