Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12
Cash and Equivalents,21.00M,13.00M,36.00M,23.00M,56.00M,15.00M,19.00M,98.00M,28.00M,86.00M,97.00M,74.00M,103.00M,80.56M,83.18M,76.53M,73.00M,47.77M,62.77M,50.97M,125.43M,10.60M,6.769M,5.957M,8.15M,17.92M,16.49M,9.325M,6.752M,14.81M,1.145M,0.002M,0.24M
Short Term Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.68M,,,
Cash and Short Term Investments,21.00M,13.00M,36.00M,23.00M,56.00M,15.00M,19.00M,98.00M,28.00M,86.00M,97.00M,74.00M,103.00M,80.56M,83.18M,76.53M,73.00M,47.77M,62.77M,50.97M,125.43M,10.60M,6.769M,5.957M,8.15M,17.92M,16.49M,9.325M,6.752M,195.49M,1.145M,0.002M,0.24M
Accounts Receivable,337.00M,335.00M,400.00M,350.00M,299.00M,453.00M,388.00M,289.00M,285.00M,258.00M,244.00M,242.00M,361.00M,266.50M,239.81M,173.12M,161.00M,223.16M,202.75M,56.99M,193.20M,69.44M,74.12M,98.08M,68.47M,63.04M,40.16M,41.47M,32.91M,17.16M,40.40M,45.02M,30.96M
Other Receivables,64.00M,117.00M,175.00M,142.00M,77.00M,176.00M,143.00M,164.00M,258.00M,195.00M,158.00M,203.00M,181.00M,130.38M,155.49M,148.32M,151.00M,98.73M,27.87M,10.12M,67.85M,0.539M,0.619M,0.247M,0.855M,0.447M,0.372M,0.268M,0.205M,21.19M,0.23M,115.72M,0.964M
Total Receivables,411.00M,454.00M,575.00M,492.00M,411.00M,761.00M,692.00M,611.00M,696.00M,591.00M,546.00M,455.00M,542.00M,394.29M,392.82M,319.13M,316.00M,343.06M,260.12M,99.22M,262.01M,117.08M,125.94M,157.96M,118.88M,99.56M,91.50M,98.85M,92.55M,38.19M,143.28M,160.74M,138.31M
Raw Materials Inventory,,,,,,,,,,,,12.00M,,11.50M,11.85M,10.51M,13.00M,12.74M,,,11.21M,,,,,,,,,,10.30M,11.10M,
Finished Goods Inventory,412.00M,415.00M,402.00M,380.00M,363.00M,462.00M,445.00M,423.00M,387.00M,347.00M,344.00M,489.00M,412.00M,468.52M,474.34M,325.62M,446.00M,334.64M,362.04M,51.76M,425.74M,26.13M,38.06M,34.93M,10.26M,14.70M,21.70M,23.30M,2.30M,,,,6.485M
Other Inventory,7.00M,7.00M,8.00M,12.00M,11.00M,7.00M,11.00M,11.00M,39.00M,12.00M,12.00M,11.00M,11.00M,8.755M,10.64M,8.327M,8.00M,3.239M,0.425M,0.924M,3.348M,0.923M,0.911M,0.879M,0.859M,0.778M,0.672M,0.703M,0.681M,,0.58M,0.623M,0.538M
Inventories,419.00M,422.00M,410.00M,392.00M,374.00M,469.00M,456.00M,434.00M,426.00M,359.00M,356.00M,512.00M,423.00M,488.78M,496.83M,344.46M,467.00M,350.61M,362.47M,52.68M,440.29M,27.05M,38.97M,35.80M,11.12M,15.47M,22.37M,24.01M,2.981M,2.834M,10.88M,11.72M,7.023M
Prepaid Expenses,,,,,,,,,,,,,,,0.00,386.33M,366.00M,242.64M,198.65M,,396.38M,,,,,,,,,,,,
Other Current Assets,73.00M,86.00M,77.00M,75.00M,64.00M,80.00M,62.00M,71.00M,81.00M,79.00M,91.00M,162.00M,73.00M,97.62M,57.66M,70.81M,46.00M,65.78M,21.64M,9.051M,60.18M,2.123M,0.71M,0.329M,0.066M,0.243M,1.416M,0.147M,0.821M,0.003M,0.886M,0.629M,1.836M
Total Current Assets,924.00M,975.00M,1.098B,1.01B,905.00M,1.331B,1.235B,1.22B,4.544B,5.262B,5.284B,1.203B,1.318B,1.061B,1.030B,1.197B,1.268B,1.050B,905.65M,211.92M,1.284B,156.86M,172.39M,200.05M,138.22M,133.19M,131.78M,132.33M,103.10M,236.51M,156.19M,173.10M,147.41M
Land and Improvements,515.00M,,,,518.00M,517.00M,529.00M,523.00M,516.00M,544.00M,531.00M,1.129B,547.00M,1.054B,1.053B,1.051B,1.032B,756.03M,590.49M,317.68M,667.32M,68.54M,83.00M,76.41M,68.21M,64.62M,51.18M,40.74M,34.12M,24.70M,19.55M,19.55M,19.55M
Buildings and Improvements,754.00M,,,,727.00M,724.00M,716.00M,716.00M,714.00M,417.00M,413.00M,1.487B,666.00M,1.256B,1.202B,1.174B,1.151B,957.93M,516.39M,347.18M,866.06M,139.67M,113.52M,98.60M,83.33M,76.99M,53.77M,37.64M,23.59M,8.737M,8.534M,8.318M,8.315M
"Machine, Furniture & Equipment",830.00M,,,,810.00M,729.00M,722.00M,660.00M,623.00M,450.00M,449.00M,1.141B,544.00M,1.310B,1.248B,1.217B,1.214B,708.26M,338.97M,297.55M,541.40M,70.27M,50.54M,39.88M,34.70M,33.68M,24.88M,22.90M,16.05M,5.549M,31.23M,28.74M,27.94M
Other Properties,29.00M,2.673B,2.61B,2.608B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction in Progress,35.00M,,,,78.00M,77.00M,77.00M,120.00M,159.00M,120.00M,85.00M,267.00M,185.00M,217.54M,185.05M,117.16M,97.00M,53.28M,48.16M,11.66M,96.02M,7.467M,10.80M,7.096M,7.322M,5.952M,3.838M,2.907M,2.905M,2.308M,3.311M,1.292M,1.116M
Gross PP&E,2.163B,2.673B,2.61B,2.608B,2.133B,2.047B,2.044B,2.019B,2.012B,1.531B,1.478B,4.024B,1.942B,3.837B,3.689B,3.559B,3.494B,2.475B,1.494B,974.07M,2.171B,285.94M,257.86M,221.99M,193.57M,181.24M,133.68M,104.19M,76.66M,41.29M,62.62M,57.90M,56.93M
Accumulated D&A,-692.00M,-663.00M,-635.00M,-604.00M,-587.00M,-553.00M,-524.00M,-497.00M,-455.00M,-340.00M,-323.00M,-725.00M,-358.00M,-514.76M,-460.16M,-396.94M,-339.00M,-177.49M,-117.53M,-46.31M,-89.68M,-1.135M,-18.27M,-15.85M,-13.44M,-11.94M,-10.43M,-9.437M,-8.492M,-7.073M,-19.57M,-18.91M,-17.88M
Net PP&E,1.471B,2.01B,1.975B,2.004B,1.546B,1.494B,1.52B,1.522B,1.557B,1.191B,1.155B,3.299B,1.584B,3.323B,3.228B,3.162B,3.155B,2.298B,1.376B,927.76M,2.081B,284.80M,239.59M,206.14M,180.13M,169.30M,123.25M,94.75M,68.17M,34.22M,43.05M,38.99M,39.05M
Goodwill,1.555B,1.557B,1.558B,1.56B,1.559B,1.534B,1.469B,1.43B,1.43B,1.031B,1.032B,2.612B,1.55B,3.236B,3.154B,3.109B,3.111B,1.799B,814.82M,864.09M,1.854B,613.72M,22.82M,22.82M,22.82M,22.43M,12.94M,12.94M,12.94M,12.94M,20.66M,20.66M,20.66M
