Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03
Operating Revenue,4.098B,4.331B,4.475B,3.692B,3.877B,4.761B,4.607B,3.749B,3.505B,2.871B,2.707B,2.771B,3.492B,2.131B,2.092B,3.165B,-1.958B,4.859B,5.080B,4.308B,,,1.374B,1.215B,1.113B,1.166B,1.120B,1.089B,1.051B,1.107B,1.085B,1.071B,1.012B,991.86M,1.011B,851.73M
Revenue,4.098B,4.331B,4.475B,3.692B,3.877B,4.761B,4.607B,3.749B,2.959B,3.064B,2.892B,2.808B,4.068B,2.167B,2.123B,3.215B,-1.954B,4.907B,5.126B,4.342B,,,1.376B,1.217B,1.114B,1.167B,1.121B,1.090B,1.053B,1.110B,1.087B,1.073B,1.020B,991.86M,1.011B,851.73M
Cost of Goods Sold,3.813B,4.039B,4.206B,3.322B,3.694B,4.428B,4.297B,3.453B,2.682B,2.748B,2.633B,2.552B,3.54B,1.975B,1.896B,2.704B,-1.415B,4.382B,4.581B,3.901B,,,1.354B,1.194B,1.094B,1.148B,1.104B,1.075B,1.038B,1.097B,1.072B,1.063B,1.010B,980.33M,999.16M,842.90M
Gross Profit,285.00M,292.00M,269.00M,370.00M,183.00M,333.00M,310.00M,296.00M,277.00M,316.00M,259.00M,256.00M,528.00M,192.00M,227.00M,511.00M,-539.20M,524.76M,545.21M,441.09M,,,22.20M,22.12M,20.05M,18.40M,16.96M,15.56M,14.61M,12.83M,14.18M,9.883M,10.46M,11.54M,12.19M,8.835M
General and Administrative Expense,51.00M,55.00M,50.00M,41.00M,56.00M,54.00M,53.00M,50.00M,61.00M,50.00M,58.00M,52.00M,72.00M,57.00M,48.00M,91.00M,-68.31M,97.99M,101.73M,78.26M,,,5.656M,5.119M,5.186M,4.59M,3.949M,4.103M,3.446M,4.113M,4.263M,3.719M,3.911M,3.669M,3.896M,3.405M
SG&A Expense,51.00M,55.00M,50.00M,41.00M,56.00M,54.00M,53.00M,50.00M,61.00M,50.00M,58.00M,52.00M,72.00M,57.00M,48.00M,91.00M,-68.31M,97.99M,101.73M,78.26M,,,5.656M,5.119M,5.186M,4.59M,3.949M,4.103M,3.446M,4.113M,4.263M,3.719M,3.911M,3.669M,3.896M,3.405M
Rent and Landing Expense,16.00M,15.00M,16.00M,14.00M,18.00M,20.00M,19.00M,15.00M,19.00M,20.00M,22.00M,20.00M,45.00M,12.00M,12.00M,33.00M,-26.56M,36.45M,35.79M,33.33M,,,0.284M,0.249M,0.249M,0.261M,0.30M,0.204M,0.269M,1.078M,1.11M,1.07M,1.051M,1.096M,1.085M,1.09M
Special Income and Charges,-25.00M,4.00M,4.00M,-51.00M,-22.00M,8.00M,-2.00M,-112.00M,-12.00M,-8.00M,-92.00M,-2.00M,-226.00M,0.00,0.00,-1.00M,-0.106M,-0.747M,-0.178M,0.031M,,,0.036M,0.00,-0.118M,-0.112M,-0.072M,-0.022M,-0.112M,-0.194M,0.075M,-0.111M,-0.008M,-0.07M,-1.40M,-0.091M
Operating Interest Expense,42.00M,43.00M,41.00M,42.00M,36.00M,35.00M,36.00M,34.00M,44.00M,47.00M,57.00M,55.00M,43.00M,46.00M,44.00M,27.00M,7.499M,27.92M,20.67M,8.911M,,,1.667M,1.429M,1.038M,0.874M,0.748M,0.696M,0.585M,0.136M,0.111M,0.107M,0.099M,0.107M,0.103M,0.103M
Operating Interest Income,1.00M,1.00M,0.00,1.00M,-1.00M,1.00M,1.00M,2.00M,1.00M,0.00,7.00M,1.00M,-4.00M,3.00M,3.00M,0.00,-0.10M,0.49M,0.295M,1.315M,,,0.023M,0.023M,0.032M,0.048M,0.077M,0.108M,0.165M,0.029M,0.019M,0.02M,0.021M,0.02M,0.021M,0.026M
