date,cash_dividend_payout_ratio
"Dec. 31, 2019",-16.47%
"Sept. 30, 2019",-9.28%
"June 30, 2019",-10.54%
"March 31, 2019",-26.46%
"Dec. 31, 2018",-26.64%
"Sept. 30, 2018",59.17%
"June 30, 2018",-106.1%
"March 31, 2018",51.51%
"Dec. 31, 2017",74.85%
"Sept. 30, 2017",60.58%
"June 30, 2017",53.92%
"March 31, 2017",-279.2%
"Dec. 31, 2016",-63.36%
"Sept. 30, 2016",-22.46%
"June 30, 2016",-22.66%
"March 31, 2016",-20.40%
"Dec. 31, 2015",-17.74%
"Sept. 30, 2015",-24.76%
"June 30, 2015",-22.76%
"March 31, 2015",-34.85%
"Dec. 31, 2014",-35.26%
"Sept. 30, 2014",-47.14%
"June 30, 2014",-154.1%
"March 31, 2014",-97.82%
"Dec. 31, 2013",488.4%
"Sept. 30, 2013",-162.1%
"June 30, 2013",-103.4%
"March 31, 2013",-75.15%
"Dec. 31, 2012",-147.2%
"Sept. 30, 2012",-59.34%
"June 30, 2012",393.1%
"March 31, 2012",166.9%
"Dec. 31, 2011",-73.95%
"Sept. 30, 2011",66.62%
"June 30, 2011",94.55%
"March 31, 2011",33.55%
"Dec. 31, 2010",22.38%
"Sept. 30, 2010",23.44%
"June 30, 2010",26.28%
"March 31, 2010",65.31%
"Dec. 31, 2009",-132.3%
"Sept. 30, 2009",-33.39%
"June 30, 2009",-114.0%
"March 31, 2009",24.38%
"Dec. 31, 2008",20.73%
"Sept. 30, 2008",13.32%
"June 30, 2008",36.79%
"March 31, 2008",-64.69%
"Dec. 31, 2007",-60.99%
"Sept. 30, 2007",-35.93%
"June 30, 2007",167.2%
"March 31, 2007",-52.26%
"Dec. 31, 2006",-42.87%
"Sept. 30, 2006",-53.72%
"June 30, 2006",-25.88%
"March 31, 2006",-130.5%
"Dec. 31, 2005",-396.6%
"Sept. 30, 2005",-89.89%
"June 30, 2005",-67.69%
"March 31, 2005",-1.79K%
"Dec. 31, 2004",49.32%
"Sept. 30, 2004",89.44%
"June 30, 2004",394.7%
"March 31, 2004",-54.25%
"Dec. 31, 2003",-33.92%
"Sept. 30, 2003",-154.4%
"June 30, 2003",-111.2%
"March 31, 2003",-228.4%
"Dec. 31, 2002",-30.43%
"Sept. 30, 2002",-14.98%
"June 30, 2002",-17.90%
"March 31, 2002",-16.84%
"Dec. 31, 2001",-38.15%
"Sept. 30, 2001",845.7%
"June 30, 2001",65.94%
"March 31, 2001",25.90%
"Dec. 31, 2000",27.74%
"Sept. 30, 2000",32.17%
"June 30, 2000",37.27%
"March 31, 2000",53.15%
"Dec. 31, 1999",-355.9%
"Sept. 30, 1999",-60.54%
"June 30, 1999",-49.14%
"March 31, 1999",-47.44%
"Dec. 31, 1998",-92.91%
"Sept. 30, 1998",-104.8%
"June 30, 1998",-378.9%
"March 31, 1998",-68.78%
"Dec. 31, 1997",-91.54%
"Sept. 30, 1997",-1.65K%
"June 30, 1997",-125.3%
"March 31, 1997",2.16K%
"Dec. 31, 1996",103.7%
"Sept. 30, 1996",95.73%
"June 30, 1996",2.53K%
"March 31, 1996",80.30%
"Dec. 31, 1995",219.2%
"Sept. 30, 1995",-91.37%
"June 30, 1995",-5.82K%
"March 31, 1995",-42.43%
"Dec. 31, 1994",-76.28%
"Sept. 30, 1994",-96.04%
"June 30, 1994",-55.23%
"March 31, 1994",-54.70%
"Dec. 31, 1993",-26.98%
"Sept. 30, 1993",-31.26%
"June 30, 1993",-36.36%
"March 31, 1993",-688.4%
"Dec. 31, 1992",104.6%
"Sept. 30, 1992",40.12%
"June 30, 1992",44.54%
"March 31, 1992",118.3%
"Dec. 31, 1991",387.4%
"Sept. 30, 1991",1.24K%
"June 30, 1991",107.9%
"March 31, 1991",249.1%
"Dec. 31, 1990",72.81%
