date,operating_earning_yield
"March 19, 2020",51.47%
"March 18, 2020",61.26%
"March 17, 2020",51.65%
"March 16, 2020",43.70%
"March 13, 2020",37.72%
"March 12, 2020",44.65%
"March 11, 2020",38.22%
"March 10, 2020",30.73%
"March 9, 2020",31.43%
"March 6, 2020",18.08%
"March 5, 2020",15.79%
"March 4, 2020",15.10%
"March 3, 2020",15.28%
"March 2, 2020",15.04%
"Feb. 28, 2020",15.21%
"Feb. 27, 2020",16.11%
"Feb. 26, 2020",15.22%
"Feb. 25, 2020",14.40%
"Feb. 24, 2020",13.62%
"Feb. 21, 2020",13.03%
"Feb. 20, 2020",12.83%
"Feb. 19, 2020",12.82%
"Feb. 18, 2020",12.83%
"Feb. 14, 2020",13.00%
"Feb. 13, 2020",12.82%
"Feb. 12, 2020",12.68%
"Feb. 11, 2020",13.11%
"Feb. 10, 2020",13.31%
"Feb. 7, 2020",13.06%
"Feb. 6, 2020",12.83%
"Feb. 5, 2020",12.69%
"Feb. 4, 2020",13.29%
"Feb. 3, 2020",13.48%
"Jan. 31, 2020",13.68%
"Jan. 30, 2020",13.51%
"Jan. 29, 2020",12.71%
"Jan. 28, 2020",12.32%
"Jan. 27, 2020",12.44%
"Jan. 24, 2020",12.05%
"Jan. 23, 2020",11.84%
"Jan. 22, 2020",11.63%
"Jan. 21, 2020",11.68%
"Jan. 17, 2020",11.32%
"Jan. 16, 2020",10.89%
"Jan. 15, 2020",10.28%
"Jan. 14, 2020",10.24%
"Jan. 13, 2020",10.50%
"Jan. 10, 2020",10.56%
"Jan. 9, 2020",10.47%
"Jan. 8, 2020",10.58%
"Jan. 7, 2020",10.34%
"Jan. 6, 2020",10.46%
"Jan. 3, 2020",10.50%
"Jan. 2, 2020",10.80%
"Dec. 31, 2019",10.70%
"Dec. 30, 2019",9.67%
"Dec. 27, 2019",9.60%
"Dec. 26, 2019",9.60%
"Dec. 24, 2019",9.59%
"Dec. 23, 2019",9.57%
"Dec. 20, 2019",9.88%
"Dec. 19, 2019",9.99%
"Dec. 18, 2019",10.00%
"Dec. 17, 2019",9.99%
"Dec. 16, 2019",10.07%
"Dec. 13, 2019",10.17%
"Dec. 12, 2019",9.81%
"Dec. 11, 2019",10.24%
"Dec. 10, 2019",10.22%
"Dec. 9, 2019",10.19%
"Dec. 6, 2019",10.42%
"Dec. 5, 2019",10.71%
"Dec. 4, 2019",10.55%
"Dec. 3, 2019",10.91%
"Dec. 2, 2019",10.85%
"Nov. 29, 2019",11.06%
