date,ni_per_employee_annual
"Dec. 31, 2019",1.191M
"Dec. 31, 2018",367704.8
"Dec. 31, 2017",-257464.1
"Dec. 31, 2016",-216277.4
"Dec. 31, 2015",-1.529M
"Dec. 31, 2014",504940.6
"Dec. 31, 2013",203159.7
"Dec. 31, 2012",109117.8
"Dec. 31, 2011",99148.15
"Dec. 31, 2010",91928.93
"Dec. 31, 2009",100639.3
"Dec. 31, 2008",220028.6
"Dec. 31, 2007",103340.6
"Dec. 31, 2006",95196.25
"Dec. 31, 2005",140210.7
"Dec. 31, 2004",132136.6
"Dec. 31, 2003",66870.55
"Dec. 31, 2002",28632.17
"Dec. 31, 2001",96081.01
"Dec. 31, 2000",112819.5
"Dec. 31, 1999",64372.14
"Dec. 31, 1998",-9917.36
"Dec. 31, 1997",98916.70
"Dec. 31, 1996",88030.64
"Dec. 31, 1995",-66610.50
"Dec. 31, 1994",59719.89
"Dec. 31, 1993",56880.22
"Dec. 31, 1992",36552.44
"Dec. 31, 1991",-210.31
"Dec. 31, 1990",1903.68
