date,revenues_growth
"Dec. 31, 2019",59.01%
"Sept. 30, 2019",57.81%
"June 30, 2019",51.40%
"March 31, 2019",49.00%
"Dec. 31, 2018",
"Sept. 30, 2018",-6.99%
"June 30, 2018",-10.64%
"March 31, 2018",-22.14%
"Dec. 31, 2017",
"Sept. 30, 2017",5.12%
"June 30, 2017",16.13%
"March 31, 2017",18.63%
"Dec. 31, 2016",-17.97%
"Sept. 30, 2016",-26.94%
"June 30, 2016",-42.78%
"March 31, 2016",-42.72%
"Dec. 31, 2015",-46.36%
"Sept. 30, 2015",-53.49%
"June 30, 2015",-47.08%
"March 31, 2015",-41.53%
"Dec. 31, 2014",-8.48%
"Sept. 30, 2014",4.73%
"June 30, 2014",3.22%
"March 31, 2014",-1.36%
"Dec. 31, 2013",
"Sept. 30, 2013",-48.54%
"June 30, 2013",-81.59%
"March 31, 2013",-81.32%
"Dec. 31, 2012",
"Sept. 30, 2012",-63.22%
"June 30, 2012",-3.52%
"March 31, 2012",10.98%
"Dec. 31, 2011",
"Sept. 30, 2011",38.84%
"June 30, 2011",32.47%
"March 31, 2011",20.96%
"Dec. 31, 2010",-4.35%
"Sept. 30, 2010",0.32%
"June 30, 2010",22.74%
"March 31, 2010",50.34%
"Dec. 31, 2009",30.05%
"Sept. 30, 2009",-36.53%
"June 30, 2009",-45.40%
"March 31, 2009",-47.07%
"Dec. 31, 2008",-21.56%
"Sept. 30, 2008",71.12%
"June 30, 2008",80.82%
"March 31, 2008",89.92%
"Dec. 31, 2007",67.19%
"Sept. 30, 2007",14.92%
"June 30, 2007",21.50%
"March 31, 2007",14.59%
"Dec. 31, 2006",12.19%
"Sept. 30, 2006",25.22%
"June 30, 2006",28.75%
"March 31, 2006",23.87%
"Dec. 31, 2005",33.84%
"Sept. 30, 2005",44.63%
"June 30, 2005",40.09%
"March 31, 2005",46.53%
"Dec. 31, 2004",76.16%
"Sept. 30, 2004",77.06%
"June 30, 2004",72.12%
"March 31, 2004",24.64%
"Dec. 31, 2003",32.46%
"Sept. 30, 2003",23.62%
"June 30, 2003",18.22%
"March 31, 2003",75.09%
"Dec. 31, 2002",254.7%
"Sept. 30, 2002",-6.02%
"June 30, 2002",-20.21%
"March 31, 2002",-36.50%
"Dec. 31, 2001",1.90%
"Sept. 30, 2001",-10.61%
"June 30, 2001",18.73%
"March 31, 2001",16.55%
"Dec. 31, 2000",-80.57%
"Sept. 30, 2000",97.23%
"June 30, 2000",142.8%
"March 31, 2000",236.9%
"Dec. 31, 1999",33.64%
"Sept. 30, 1999",46.32%
"June 30, 1999",0.48%
"March 31, 1999",-31.11%
"Dec. 31, 1998",81.12%
"Sept. 30, 1998",-22.15%
"June 30, 1998",-11.55%
"March 31, 1998",-13.31%
"Dec. 31, 1997",-12.50%
"Sept. 30, 1997",16.17%
"June 30, 1997",1.30%
"March 31, 1997",20.36%
"Dec. 31, 1996",48.06%
"Sept. 30, 1996",13.70%
"June 30, 1996",11.74%
"March 31, 1996",3.34%
"Dec. 31, 1995",8.68%
"Sept. 30, 1995",-14.71%
"June 30, 1995",2.87%
"March 31, 1995",-0.42%
"Dec. 31, 1994",3.40%
"Sept. 30, 1994",17.33%
"June 30, 1994",1.05%
"March 31, 1994",2.76%
"Dec. 31, 1993",-18.35%
"Sept. 30, 1993",3.75%
"June 30, 1993",4.98%
"March 31, 1993",8.88%
"Dec. 31, 1992",159.3%
"Sept. 30, 1992",-13.80%
"June 30, 1992",-14.09%
"March 31, 1992",-22.28%
"Dec. 31, 1991",-65.99%
"Sept. 30, 1991",-18.68%
"June 30, 1991",9.20%
"March 31, 1991",2.46%
"Dec. 31, 1990",26.91%
"Sept. 30, 1990",41.96%
"June 30, 1990",0.46%
"March 31, 1990",18.88%
"Dec. 31, 1989",16.59%
"Sept. 30, 1989",6.55%
"June 30, 1989",17.26%
"March 31, 1989",8.32%
"Dec. 31, 1988",5.54%
"Sept. 30, 1988",-10.63%
"June 30, 1988",0.68%
"March 31, 1988",7.02%
"Dec. 31, 1987",5.25%
"Sept. 30, 1987",30.40%
"June 30, 1987",12.45%
"March 31, 1987",1.80%
"Dec. 31, 1986",-35.36%
"Sept. 30, 1986",-43.12%
"June 30, 1986",-42.76%
"March 31, 1986",-33.90%
"Dec. 31, 1985",-5.83%
"Sept. 30, 1985",2.77%
"June 30, 1985",19.88%
"March 31, 1985",-9.60%
