Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03
Cash and Equivalents,4.292B,2.646B,2.173B,2.093B,3.608B,2.073B,3.094B,2.748B,3.103B,2.311B,2.167B,2.186B,3.303B,2.342B,2.016B,1.934B,2.328B,2.453B,1.828B,2.906B,3.222B,2.634B,3.261B,3.036B,3.296B,2.942B,2.467B,3.125B,3.188B,3.032B,2.35B,3.541B,4.00B,2.405B,2.116B,2.66B,3.638B,2.149B,2.385B,2.613B,2.642B,2.442B,2.199B,2.21B,2.259B,2.761B,2.554B,2.287B,2.655B,2.609B,3.045B,1.66B,2.46B,1.162B,925.00M,944.00M,1.202B,820.00M,454.00M,457.00M,556.00M,1.049B,1.004B,340.00M,661.00M,203.00M,364.00M,387.00M,544.00M,619.00M,1.642B,1.484B,1.214B,579.00M,529.00M,483.00M,871.00M,171.00M,389.00M,181.00M,230.00M,113.00M,108.00M,58.00M,421.00M,111.00M,317.00M,332.00M
Short Term Investments,,,,,,0.00,,0.00,297.00M,0.00,410.00M,399.00M,100.00M,462.00M,703.00M,711.00M,872.00M,608.00M,666.00M,1.234B,1.497B,1.48B,915.00M,1.495B,1.001B,955.00M,995.00M,887.00M,856.00M,614.00M,556.00M,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.00M,74.00M,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,4.292B,2.646B,2.173B,2.093B,3.608B,2.073B,3.094B,2.748B,3.40B,2.311B,2.577B,2.585B,3.403B,2.804B,2.719B,2.645B,3.20B,3.061B,2.494B,4.14B,4.719B,4.114B,4.176B,4.531B,4.297B,3.897B,3.462B,4.012B,4.044B,3.646B,2.906B,3.541B,4.00B,2.405B,2.116B,2.66B,3.638B,2.149B,2.385B,2.613B,2.642B,2.442B,2.199B,2.21B,2.259B,2.761B,2.554B,2.287B,2.655B,2.609B,3.045B,1.66B,2.46B,1.162B,925.00M,944.00M,1.202B,820.00M,454.00M,457.00M,556.00M,1.123B,1.078B,340.00M,661.00M,203.00M,364.00M,387.00M,544.00M,619.00M,1.642B,1.484B,1.214B,579.00M,529.00M,483.00M,871.00M,171.00M,389.00M,181.00M,230.00M,113.00M,108.00M,58.00M,421.00M,111.00M,317.00M,332.00M
Accounts Receivable,1.364B,1.473B,1.607B,1.424B,1.648B,1.527B,1.317B,1.639B,1.324B,1.393B,1.56B,1.319B,1.163B,,,,1.174B,,,,1.042B,,,,1.223B,,,,1.131B,4.789B,5.054B,4.838B,1.183B,4.987B,4.964B,4.933B,4.414B,4.606B,4.592B,4.855B,4.493B,4.312B,4.608B,4.363B,3.898B,4.486B,113.00M,4.196B,3.947B,4.049B,4.097B,4.069B,3.741B,367.00M,402.00M,379.00M,3.668B,452.00M,410.00M,387.00M,3.992B,452.00M,424.00M,446.00M,3.787B,543.00M,571.00M,537.00M,3.691B,440.00M,461.00M,375.00M,3.684B,515.00M,555.00M,4.398B,4.566B,,,,,,,,,,,
Other Receivables,6.122B,6.498B,6.13B,5.971B,5.594B,5.715B,5.642B,5.444B,5.247B,5.892B,5.728B,5.555B,5.041B,6.469B,6.249B,5.882B,4.395B,5.649B,5.514B,5.223B,3.947B,5.34B,5.366B,5.211B,3.651B,5.248B,5.156B,4.808B,3.416B,,,,3.35B,,,,,,,,,,,,,,,,,,,,,3.799B,3.755B,3.686B,,3.676B,3.689B,3.952B,,2.871B,3.058B,3.441B,,3.255B,3.49B,3.629B,,3.478B,3.563B,3.609B,,,3.981B,,,,,,,,,,,,,
Total Receivables,7.486B,7.971B,7.737B,7.395B,7.242B,7.242B,6.959B,7.083B,6.571B,7.285B,7.288B,6.874B,6.204B,6.469B,6.249B,5.882B,5.564B,5.649B,5.514B,5.223B,4.985B,5.34B,5.366B,5.211B,4.87B,5.248B,5.156B,4.808B,4.543B,4.789B,5.054B,4.838B,4.526B,4.987B,4.964B,4.933B,4.414B,4.606B,4.592B,4.855B,4.493B,4.312B,4.621B,4.376B,4.339B,4.486B,113.00M,4.196B,4.045B,4.049B,4.097B,4.069B,3.741B,4.166B,4.157B,4.065B,3.668B,4.128B,4.099B,4.339B,3.992B,3.323B,3.482B,3.887B,3.787B,3.798B,4.061B,4.166B,3.691B,3.918B,4.024B,3.984B,3.684B,515.00M,4.536B,4.398B,4.566B,5.114B,5.098B,5.282B,5.167B,785.00M,913.00M,885.00M,5.477B,935.00M,886.00M,1.116B
Raw Materials Inventory,78.00M,78.00M,76.00M,74.00M,75.00M,77.00M,76.00M,73.00M,69.00M,70.00M,67.00M,67.00M,66.00M,66.00M,68.00M,68.00M,69.00M,66.00M,67.00M,61.00M,70.00M,75.00M,88.00M,75.00M,73.00M,81.00M,78.00M,78.00M,74.00M,93.00M,88.00M,83.00M,60.00M,64.00M,65.00M,64.00M,63.00M,61.00M,55.00M,53.00M,60.00M,57.00M,57.00M,56.00M,56.00M,,58.00M,61.00M,63.00M,98.00M,96.00M,91.00M,,275.00M,270.00M,274.00M,49.00M,228.00M,231.00M,224.00M,254.00M,,,,306.00M,313.00M,,363.00M,393.00M,,372.00M,394.00M,424.00M,449.00M,464.00M,,529.00M,,,,,,,,,,,
Work in Process Inventory,574.00M,700.00M,834.00M,785.00M,662.00M,707.00M,628.00M,545.00M,504.00M,608.00M,500.00M,520.00M,532.00M,571.00M,587.00M,552.00M,551.00M,535.00M,434.00M,429.00M,326.00M,434.00M,330.00M,278.00M,279.00M,315.00M,359.00M,351.00M,291.00M,373.00M,348.00M,298.00M,264.00M,342.00M,346.00M,336.00M,278.00M,238.00M,249.00M,241.00M,257.00M,226.00M,197.00M,181.00M,224.00M,,265.00M,286.00M,276.00M,299.00M,253.00M,236.00M,,1.251B,1.163B,1.169B,248.00M,1.224B,1.155B,1.059B,938.00M,1.08B,1.092B,1.071B,1.023B,1.105B,,1.075B,1.042B,,1.224B,1.176B,1.111B,1.419B,1.334B,,1.191B,,,,,,,,,,,
Finished Goods Inventory,19.00M,24.00M,22.00M,23.00M,21.00M,20.00M,21.00M,22.00M,21.00M,15.00M,14.00M,12.00M,10.00M,14.00M,16.00M,17.00M,15.00M,18.00M,18.00M,16.00M,18.00M,13.00M,12.00M,10.00M,11.00M,9.00M,17.00M,13.00M,16.00M,16.00M,12.00M,14.00M,12.00M,17.00M,19.00M,22.00M,22.00M,25.00M,26.00M,35.00M,27.00M,34.00M,40.00M,38.00M,45.00M,,56.00M,38.00M,47.00M,146.00M,188.00M,172.00M,,613.00M,536.00M,508.00M,163.00M,562.00M,574.00M,575.00M,553.00M,625.00M,706.00M,647.00M,669.00M,667.00M,,607.00M,597.00M,,634.00M,589.00M,642.00M,620.00M,617.00M,,327.00M,,,,,,,,,,,
Other Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.00M,270.00M,285.00M,,,,,,,,,,,,,,,,,,,,,,,,
