date,profit_margin
"Dec. 31, 2019",21.25%
"Sept. 30, 2019",15.78%
"June 30, 2019",24.83%
"March 31, 2019",16.69%
"Dec. 31, 2018",9.61%
"Sept. 30, 2018",22.76%
"June 30, 2018",19.22%
"March 31, 2018",
"Dec. 31, 2017",54.09%
"Sept. 30, 2017",17.62%
"June 30, 2017",18.01%
"March 31, 2017",39.85%
"Dec. 31, 2016",26.08%
"Sept. 30, 2016",15.67%
"June 30, 2016",14.15%
"March 31, 2016",17.03%
"Dec. 31, 2015",12.46%
"Sept. 30, 2015",17.74%
"June 30, 2015",16.43%
"March 31, 2015",15.84%
"Dec. 31, 2014",18.95%
"Sept. 30, 2014",14.18%
"June 30, 2014",12.21%
"March 31, 2014",11.70%
"Dec. 31, 2013",9.01%
"Sept. 30, 2013",15.89%
"June 30, 2013",15.91%
"March 31, 2013",8.30%
"Dec. 31, 2012",12.71%
"Sept. 30, 2012",10.80%
"June 30, 2012",16.55%
"March 31, 2012",13.68%
"Dec. 31, 2011",17.26%
"Sept. 30, 2011",9.29%
"June 30, 2011",14.64%
"March 31, 2011",8.55%
"Dec. 31, 2010",7.71%
"Sept. 30, 2010",15.35%
"June 30, 2010",11.61%
"March 31, 2010",15.35%
"Dec. 31, 2009",9.52%
"Sept. 30, 2009",11.92%
"June 30, 2009",9.71%
"March 31, 2009",9.82%
"Dec. 31, 2008",10.17%
"Sept. 30, 2008",14.37%
"June 30, 2008",5.83%
"March 31, 2008",7.25%
"Dec. 31, 2007",6.08%
"Sept. 30, 2007",11.65%
"June 30, 2007",10.31%
"March 31, 2007",4.88%
"Dec. 31, 2006",7.40%
"Sept. 30, 2006",11.23%
"June 30, 2006",6.20%
"March 31, 2006",7.00%
"Dec. 31, 2005",7.02%
"Sept. 30, 2005",9.67%
"June 30, 2005",7.41%
"March 31, 2005",5.62%
"Dec. 31, 2004",6.99%
"Sept. 30, 2004",10.73%
"June 30, 2004",9.81%
"March 31, 2004",5.92%
"Dec. 31, 2003",5.95%
"Sept. 30, 2003",11.93%
"June 30, 2003",9.72%
"March 31, 2003",8.41%
"Dec. 31, 2002",6.71%
"Sept. 30, 2002",6.37%
"June 30, 2002",11.75%
"March 31, 2002",-3.04%
"Dec. 31, 2001",7.46%
"Sept. 30, 2001",13.21%
"June 30, 2001",10.11%
"March 31, 2001",5.67%
"Dec. 31, 2000",3.50%
"Sept. 30, 2000",15.05%
"June 30, 2000",12.22%
"March 31, 2000",8.24%
"Dec. 31, 1999",7.89%
"Sept. 30, 1999",15.38%
"June 30, 1999",4.77%
"March 31, 1999",14.80%
"Dec. 31, 1998",5.70%
"Sept. 30, 1998",14.36%
"June 30, 1998",10.40%
"March 31, 1998",8.07%
"Dec. 31, 1997",6.09%
"Sept. 30, 1997",14.09%
"June 30, 1997",10.33%
"March 31, 1997",6.99%
"Dec. 31, 1996",5.91%
"Sept. 30, 1996",14.13%
"June 30, 1996",10.20%
"March 31, 1996",6.90%
"Dec. 31, 1995",5.47%
"Sept. 30, 1995",15.15%
"June 30, 1995",9.43%
"March 31, 1995",8.48%
"Dec. 31, 1994",5.91%
"Sept. 30, 1994",14.69%
"June 30, 1994",8.72%
"March 31, 1994",8.01%
"Dec. 31, 1993",6.96%
"Sept. 30, 1993",8.77%
"June 30, 1993",8.19%
"March 31, 1993",8.12%
"Dec. 31, 1992",7.96%
"Sept. 30, 1992",11.97%
"June 30, 1992",8.20%
"March 31, 1992",6.80%
"Dec. 31, 1991",3.58%
"Sept. 30, 1991",12.36%
"June 30, 1991",5.39%
"March 31, 1991",-5.52%
"Dec. 31, 1990",2.62%
"Sept. 30, 1990",-32.04%
"June 30, 1990",6.14%
"March 31, 1990",2.90%
"Dec. 31, 1989",4.77%
"Sept. 30, 1989",8.75%
"June 30, 1989",7.26%
"March 31, 1989",5.17%
"Dec. 31, 1988",4.12%
"Sept. 30, 1988",12.63%
"June 30, 1988",7.72%
"March 31, 1988",8.46%
"Dec. 31, 1987",6.50%
"Sept. 30, 1987",11.57%
"June 30, 1987",8.43%
"March 31, 1987",9.35%
"Dec. 31, 1986",6.26%
"Sept. 30, 1986",13.02%
"June 30, 1986",7.59%
"March 31, 1986",8.05%
"Dec. 31, 1985",4.74%
"Sept. 30, 1985",10.89%
"June 30, 1985",8.80%
"March 31, 1985",9.31%
"Dec. 31, 1984",7.41%
"Sept. 30, 1984",10.44%
"June 30, 1984",5.75%
"March 31, 1984",6.23%
