date,revenues_growth
"Dec. 31, 2019",4.51%
"Sept. 30, 2019",26.18%
"June 30, 2019",22.32%
"March 31, 2019",5.65%
"Dec. 31, 2018",10.08%
"Sept. 30, 2018",-8.15%
"June 30, 2018",-7.74%
"March 31, 2018",-2.90%
"Dec. 31, 2017",8.34%
"Sept. 30, 2017",0.06%
"June 30, 2017",15.38%
"March 31, 2017",3.57%
"Dec. 31, 2016",-9.54%
"Sept. 30, 2016",-3.01%
"June 30, 2016",-12.41%
"March 31, 2016",-6.55%
"Dec. 31, 2015",-12.76%
"Sept. 30, 2015",6.45%
"June 30, 2015",8.17%
"March 31, 2015",11.70%
"Dec. 31, 2014",28.48%
"Sept. 30, 2014",5.92%
"June 30, 2014",5.11%
"March 31, 2014",12.05%
"Dec. 31, 2013",7.56%
"Sept. 30, 2013",14.34%
"June 30, 2013",4.53%
"March 31, 2013",-2.73%
"Dec. 31, 2012",-12.68%
"Sept. 30, 2012",-12.30%
"June 30, 2012",-7.42%
"March 31, 2012",7.56%
"Dec. 31, 2011",13.24%
"Sept. 30, 2011",-6.59%
"June 30, 2011",10.30%
"March 31, 2011",-13.47%
"Dec. 31, 2010",-6.62%
"Sept. 30, 2010",4.87%
"June 30, 2010",-5.77%
"March 31, 2010",-2.24%
"Dec. 31, 2009",-8.69%
"Sept. 30, 2009",-16.97%
"June 30, 2009",6.30%
"March 31, 2009",7.89%
"Dec. 31, 2008",8.66%
"Sept. 30, 2008",17.75%
"June 30, 2008",-8.76%
"March 31, 2008",11.67%
"Dec. 31, 2007",1.68%
"Sept. 30, 2007",-2.54%
"June 30, 2007",3.15%
"March 31, 2007",-14.20%
"Dec. 31, 2006",14.51%
"Sept. 30, 2006",33.96%
"June 30, 2006",38.96%
"March 31, 2006",47.07%
"Dec. 31, 2005",22.21%
"Sept. 30, 2005",17.47%
"June 30, 2005",4.66%
"March 31, 2005",4.55%
"Dec. 31, 2004",6.32%
"Sept. 30, 2004",7.50%
"June 30, 2004",6.51%
"March 31, 2004",11.96%
"Dec. 31, 2003",26.69%
"Sept. 30, 2003",17.93%
"June 30, 2003",15.55%
"March 31, 2003",12.97%
"Dec. 31, 2002",21.57%
"Sept. 30, 2002",-6.96%
"June 30, 2002",-1.75%
"March 31, 2002",-5.05%
"Dec. 31, 2001",-14.86%
"Sept. 30, 2001",21.18%
"June 30, 2001",29.70%
"March 31, 2001",32.22%
"Dec. 31, 2000",22.17%
"Sept. 30, 2000",10.31%
"June 30, 2000",3.47%
"March 31, 2000",3.97%
"Dec. 31, 1999",-6.81%
"Sept. 30, 1999",-5.35%
"June 30, 1999",-4.61%
"March 31, 1999",5.53%
"Dec. 31, 1998",10.35%
"Sept. 30, 1998",7.53%
"June 30, 1998",6.62%
"March 31, 1998",-7.40%
"Dec. 31, 1997",2.95%
"Sept. 30, 1997",5.05%
"June 30, 1997",7.66%
"March 31, 1997",6.43%
"Dec. 31, 1996",5.49%
"Sept. 30, 1996",11.51%
"June 30, 1996",0.50%
"March 31, 1996",15.31%
"Dec. 31, 1995",5.51%
"Sept. 30, 1995",4.94%
"June 30, 1995",1.68%
"March 31, 1995",-0.08%
"Dec. 31, 1994",4.73%
"Sept. 30, 1994",-5.64%
"June 30, 1994",6.85%
"March 31, 1994",4.05%
"Dec. 31, 1993",-3.12%
"Sept. 30, 1993",2.14%
"June 30, 1993",6.97%
"March 31, 1993",3.57%
"Dec. 31, 1992",7.62%
"Sept. 30, 1992",3.35%
"June 30, 1992",-8.99%
"March 31, 1992",-5.99%
"Dec. 31, 1991",-25.32%
"Sept. 30, 1991",-14.44%
"June 30, 1991",-11.97%
"March 31, 1991",-14.32%
"Dec. 31, 1990",7.50%
"Sept. 30, 1990",-2.10%
"June 30, 1990",2.95%
"March 31, 1990",-0.61%
"Dec. 31, 1989",-33.80%
"Sept. 30, 1989",30.89%
"June 30, 1989",30.32%
"March 31, 1989",27.39%
"Dec. 31, 1988",102.0%
"Sept. 30, 1988",5.84%
"June 30, 1988",10.52%
"March 31, 1988",10.72%
"Dec. 31, 1987",12.36%
"Sept. 30, 1987",11.80%
"June 30, 1987",6.33%
"March 31, 1987",2.68%
"Dec. 31, 1986",-5.15%
"Sept. 30, 1986",-7.34%
"June 30, 1986",-5.97%
"March 31, 1986",-4.84%
"Dec. 31, 1985",14.18%
"Sept. 30, 1985",3.78%
"June 30, 1985",9.81%
"March 31, 1985",16.29%
