date,operating_margin_ttm
"Dec. 31, 2019",13.18%
"Sept. 30, 2019",13.89%
"June 30, 2019",13.84%
"March 31, 2019",13.96%
"Dec. 31, 2018",14.60%
"Sept. 30, 2018",14.53%
"June 30, 2018",14.93%
"March 31, 2018",16.09%
"Dec. 31, 2017",16.11%
"Sept. 30, 2017",15.72%
"June 30, 2017",15.11%
"March 31, 2017",15.67%
"Dec. 31, 2016",17.36%
"Sept. 30, 2016",19.42%
"June 30, 2016",21.87%
"March 31, 2016",21.23%
"Dec. 31, 2015",20.96%
"Sept. 30, 2015",19.46%
"June 30, 2015",16.86%
"March 31, 2015",15.49%
"Dec. 31, 2014",12.64%
"Sept. 30, 2014",11.34%
"June 30, 2014",10.30%
"March 31, 2014",8.52%
"Dec. 31, 2013",7.71%
"Sept. 30, 2013",6.11%
"June 30, 2013",4.90%
"March 31, 2013",4.98%
"Dec. 31, 2012",4.73%
"Sept. 30, 2012",5.20%
"June 30, 2012",5.50%
"March 31, 2012",4.42%
"Dec. 31, 2011",5.28%
"Sept. 30, 2011",5.91%
"June 30, 2011",7.20%
"March 31, 2011",8.53%
"Dec. 31, 2010",8.23%
"Sept. 30, 2010",-3.54%
"June 30, 2010",-2.42%
"March 31, 2010",-0.55%
"Dec. 31, 2009",2.51%
"Sept. 30, 2009",18.55%
"June 30, 2009",18.12%
"March 31, 2009",17.92%
"Dec. 31, 2008",18.85%
"Sept. 30, 2008",19.33%
"June 30, 2008",21.04%
"March 31, 2008",22.51%
"Dec. 31, 2007",18.98%
"Sept. 30, 2007",16.21%
"June 30, 2007",12.84%
"March 31, 2007",9.94%
"Dec. 31, 2006",10.29%
"Sept. 30, 2006",50.47%
"June 30, 2006",52.42%
"March 31, 2006",53.92%
"Dec. 31, 2005",56.22%
"Sept. 30, 2005",-49.23%
"June 30, 2005",-52.29%
"March 31, 2005",-54.95%
"Dec. 31, 2004",-72.95%
"Sept. 30, 2004",35.91%
"June 30, 2004",20.75%
"March 31, 2004",4.78%
"Dec. 31, 2003",22.44%
"Sept. 30, 2003",-64.81%
"June 30, 2003",-60.00%
"March 31, 2003",-51.98%
"Dec. 31, 2002",-62.10%
"Sept. 30, 2002",5.28%
"June 30, 2002",5.59%
"March 31, 2002",-0.12%
"Dec. 31, 2001",-4.16%
"Sept. 30, 2001",18.14%
"June 30, 2001",15.10%
"March 31, 2001",17.28%
"Dec. 31, 2000",18.09%
"Sept. 30, 2000",-61.94%
"June 30, 2000",-57.99%
"March 31, 2000",-53.46%
"Dec. 31, 1999",-46.06%
"Sept. 30, 1999",-42.51%
"June 30, 1999",-43.20%
"March 31, 1999",-44.93%
"Dec. 31, 1998",-46.93%
"Sept. 30, 1998",-49.22%
"June 30, 1998",-51.37%
"March 31, 1998",-53.58%
"Dec. 31, 1997",-54.64%
"Sept. 30, 1997",-57.67%
"June 30, 1997",-60.11%
"March 31, 1997",-60.66%
"Dec. 31, 1996",-62.68%
"Sept. 30, 1996",-28.53%
"June 30, 1996",-27.54%
"March 31, 1996",-28.84%
"Dec. 31, 1995",-29.63%
"Sept. 30, 1995",-30.66%
"June 30, 1995",-30.65%
"March 31, 1995",-30.20%
"Dec. 31, 1994",-17.72%
"Sept. 30, 1994",-5.25%
"June 30, 1994",3.81%
"March 31, 1994",13.13%
"Dec. 31, 1993",12.71%
"Sept. 30, 1993",13.08%
"June 30, 1993",12.07%
"March 31, 1993",11.12%
"Dec. 31, 1992",10.85%
"Sept. 30, 1992",9.59%
"June 30, 1992",8.66%
"March 31, 1992",7.45%
"Dec. 31, 1991",4.80%
"Sept. 30, 1991",2.93%
"June 30, 1991",3.47%
"March 31, 1991",5.24%
"Dec. 31, 1990",6.91%
"Sept. 30, 1990",8.82%
"June 30, 1990",8.85%
"March 31, 1990",8.02%
"Dec. 31, 1989",9.61%
"Sept. 30, 1989",-47.25%
"June 30, 1989",-27.04%
"March 31, 1989",-7.77%
"Dec. 31, 1988",9.98%
"Sept. 30, 1988",8.27%
"June 30, 1988",3.73%
"March 31, 1988",2.27%
"Dec. 31, 1987",2.25%
"Sept. 30, 1987",11.20%
"June 30, 1987",11.99%
"March 31, 1987",10.67%
"Dec. 31, 1986",10.07%
"Sept. 30, 1986",20.23%
"June 30, 1986",19.36%
"March 31, 1986",16.66%
"Dec. 31, 1985",12.08%
"Sept. 30, 1985",26.80%
"June 30, 1985",19.25%
"March 31, 1985",14.49%
"Dec. 31, 1984",12.80%
