date,three_month_return
"March 19, 2020",-42.94%
"March 18, 2020",-34.42%
"March 17, 2020",-29.40%
"March 16, 2020",-30.97%
"March 13, 2020",-23.77%
"March 12, 2020",-33.80%
"March 11, 2020",-21.31%
"March 10, 2020",-17.03%
"March 9, 2020",-21.36%
"March 6, 2020",-18.25%
"March 5, 2020",-18.51%
"March 4, 2020",-15.87%
"March 3, 2020",-19.17%
"March 2, 2020",-17.22%
"Feb. 28, 2020",-20.02%
"Feb. 27, 2020",-19.26%
"Feb. 26, 2020",-15.09%
"Feb. 25, 2020",-13.72%
"Feb. 24, 2020",-5.09%
"Feb. 21, 2020",-0.11%
"Feb. 20, 2020",0.19%
"Feb. 19, 2020",-0.76%
"Feb. 18, 2020",-0.31%
"Feb. 14, 2020",0.59%
"Feb. 13, 2020",1.65%
"Feb. 12, 2020",1.09%
"Feb. 11, 2020",-0.57%
"Feb. 10, 2020",-1.31%
"Feb. 7, 2020",-1.68%
"Feb. 6, 2020",-0.24%
"Feb. 5, 2020",-1.61%
"Feb. 4, 2020",-2.28%
"Feb. 3, 2020",-1.85%
"Jan. 31, 2020",-2.05%
"Jan. 30, 2020",-2.12%
"Jan. 29, 2020",-0.56%
"Jan. 28, 2020",-0.07%
"Jan. 27, 2020",-0.86%
"Jan. 24, 2020",0.46%
"Jan. 23, 2020",4.06%
"Jan. 22, 2020",1.06%
"Jan. 21, 2020",0.58%
"Jan. 17, 2020",2.14%
"Jan. 16, 2020",3.04%
"Jan. 15, 2020",1.61%
"Jan. 14, 2020",0.85%
"Jan. 13, 2020",0.13%
"Jan. 10, 2020",0.50%
"Jan. 9, 2020",1.51%
"Jan. 8, 2020",2.53%
"Jan. 7, 2020",2.36%
"Jan. 6, 2020",2.54%
"Jan. 3, 2020",4.00%
"Jan. 2, 2020",5.38%
"Dec. 31, 2019",-0.06%
"Dec. 30, 2019",0.13%
"Dec. 27, 2019",-0.04%
"Dec. 26, 2019",0.59%
"Dec. 24, 2019",0.38%
"Dec. 23, 2019",1.41%
"Dec. 20, 2019",0.26%
"Dec. 19, 2019",-1.82%
"Dec. 18, 2019",-4.68%
"Dec. 17, 2019",-2.78%
"Dec. 16, 2019",-2.62%
"Dec. 13, 2019",-2.94%
"Dec. 12, 2019",-0.89%
"Dec. 11, 2019",-1.30%
"Dec. 10, 2019",2.87%
"Dec. 9, 2019",4.50%
"Dec. 6, 2019",7.29%
"Dec. 5, 2019",5.73%
"Dec. 4, 2019",7.06%
"Dec. 3, 2019",8.86%
"Dec. 2, 2019",8.41%
"Nov. 29, 2019",10.21%
"Nov. 27, 2019",14.38%
"Nov. 26, 2019",13.61%
"Nov. 25, 2019",13.84%
"Nov. 22, 2019",11.37%
"Nov. 21, 2019",11.86%
"Nov. 20, 2019",13.61%
"Nov. 19, 2019",13.65%
"Nov. 18, 2019",16.05%
"Nov. 15, 2019",19.87%
"Nov. 14, 2019",18.19%
"Nov. 13, 2019",15.36%
"Nov. 12, 2019",15.58%
"Nov. 11, 2019",15.48%
"Nov. 8, 2019",15.23%
"Nov. 7, 2019",16.64%
"Nov. 6, 2019",16.40%
"Nov. 5, 2019",18.22%
"Nov. 4, 2019",12.56%
"Nov. 1, 2019",10.40%
"Oct. 31, 2019",8.93%
"Oct. 30, 2019",8.54%
"Oct. 29, 2019",8.19%
"Oct. 28, 2019",8.24%
"Oct. 25, 2019",3.33%
