date,three_year_return
"March 19, 2020",-41.97%
"March 18, 2020",-33.90%
"March 17, 2020",-28.07%
"March 16, 2020",-30.71%
"March 13, 2020",-24.24%
"March 12, 2020",-35.45%
"March 11, 2020",-23.96%
"March 10, 2020",-18.47%
"March 9, 2020",-22.60%
"March 6, 2020",-20.55%
"March 5, 2020",-23.12%
"March 4, 2020",-20.27%
"March 3, 2020",-23.19%
"March 2, 2020",-18.45%
"Feb. 28, 2020",-20.09%
"Feb. 27, 2020",-20.20%
"Feb. 26, 2020",-16.47%
"Feb. 25, 2020",-15.17%
"Feb. 24, 2020",-7.57%
"Feb. 21, 2020",-2.30%
"Feb. 20, 2020",-0.66%
"Feb. 19, 2020",-0.37%
"Feb. 18, 2020",0.49%
"Feb. 14, 2020",4.81%
"Feb. 13, 2020",5.04%
"Feb. 12, 2020",6.89%
"Feb. 11, 2020",5.89%
"Feb. 10, 2020",4.95%
"Feb. 7, 2020",7.96%
"Feb. 6, 2020",8.76%
"Feb. 5, 2020",7.70%
"Feb. 4, 2020",5.30%
"Feb. 3, 2020",4.43%
"Jan. 31, 2020",5.10%
"Jan. 30, 2020",6.65%
"Jan. 29, 2020",7.95%
"Jan. 28, 2020",9.30%
"Jan. 27, 2020",6.74%
"Jan. 24, 2020",13.90%
"Jan. 23, 2020",10.93%
"Jan. 22, 2020",4.68%
"Jan. 21, 2020",4.80%
"Jan. 17, 2020",9.49%
"Jan. 16, 2020",8.11%
"Jan. 15, 2020",7.59%
"Jan. 14, 2020",6.53%
"Jan. 13, 2020",5.55%
"Jan. 10, 2020",5.06%
"Jan. 9, 2020",7.95%
"Jan. 8, 2020",8.89%
"Jan. 7, 2020",8.73%
"Jan. 6, 2020",8.41%
"Jan. 3, 2020",8.74%
"Jan. 2, 2020",10.03%
"Dec. 31, 2019",8.31%
"Dec. 30, 2019",8.51%
"Dec. 27, 2019",7.59%
"Dec. 26, 2019",8.82%
"Dec. 24, 2019",8.90%
"Dec. 23, 2019",9.51%
"Dec. 20, 2019",7.35%
"Dec. 19, 2019",7.41%
"Dec. 18, 2019",7.35%
"Dec. 17, 2019",8.51%
"Dec. 16, 2019",8.85%
"Dec. 13, 2019",9.28%
"Dec. 12, 2019",10.37%
"Dec. 11, 2019",8.46%
"Dec. 10, 2019",10.28%
"Dec. 9, 2019",11.41%
"Dec. 6, 2019",17.32%
"Dec. 5, 2019",17.97%
"Dec. 4, 2019",16.43%
"Dec. 3, 2019",16.74%
"Dec. 2, 2019",18.39%
"Nov. 29, 2019",22.02%
"Nov. 27, 2019",21.71%
"Nov. 26, 2019",21.37%
"Nov. 25, 2019",21.31%
"Nov. 22, 2019",21.04%
"Nov. 21, 2019",19.49%
"Nov. 20, 2019",20.76%
"Nov. 19, 2019",22.29%
"Nov. 18, 2019",22.78%
"Nov. 15, 2019",24.95%
"Nov. 14, 2019",27.08%
"Nov. 13, 2019",31.36%
"Nov. 12, 2019",31.96%
"Nov. 11, 2019",32.89%
"Nov. 8, 2019",38.76%
"Nov. 7, 2019",40.10%
"Nov. 6, 2019",43.29%
"Nov. 5, 2019",43.34%
"Nov. 4, 2019",41.11%
"Nov. 1, 2019",41.78%
"Oct. 31, 2019",40.15%
"Oct. 30, 2019",45.58%
"Oct. 29, 2019",46.02%
"Oct. 28, 2019",47.12%
"Oct. 25, 2019",35.26%
"Oct. 24, 2019",32.98%
"Oct. 23, 2019",25.48%
"Oct. 22, 2019",24.72%
"Oct. 21, 2019",25.45%
"Oct. 18, 2019",28.31%
"Oct. 17, 2019",30.60%
"Oct. 16, 2019",29.89%
"Oct. 15, 2019",31.07%
"Oct. 14, 2019",30.76%
"Oct. 11, 2019",35.51%
"Oct. 10, 2019",34.95%
"Oct. 9, 2019",39.04%
"Oct. 8, 2019",37.85%
"Oct. 7, 2019",37.87%
"Oct. 4, 2019",34.81%
"Oct. 3, 2019",31.50%
"Oct. 2, 2019",33.81%
"Oct. 1, 2019",37.23%
"Sept. 30, 2019",38.88%
"Sept. 27, 2019",41.00%
"Sept. 26, 2019",48.03%
"Sept. 25, 2019",47.21%
"Sept. 24, 2019",46.97%
"Sept. 23, 2019",46.29%
"Sept. 20, 2019",47.99%
"Sept. 19, 2019",50.08%
"Sept. 18, 2019",53.68%
"Sept. 17, 2019",52.31%
"Sept. 16, 2019",52.53%
"Sept. 13, 2019",50.22%
"Sept. 12, 2019",45.37%
"Sept. 11, 2019",46.52%
"Sept. 10, 2019",42.96%
"Sept. 9, 2019",42.15%
"Sept. 6, 2019",41.11%
"Sept. 5, 2019",42.37%
"Sept. 4, 2019",41.23%
"Sept. 3, 2019",39.28%
"Aug. 30, 2019",40.72%
"Aug. 29, 2019",43.48%
"Aug. 28, 2019",41.05%
"Aug. 27, 2019",39.21%
"Aug. 26, 2019",39.76%
"Aug. 23, 2019",37.80%
"Aug. 22, 2019",41.10%
"Aug. 21, 2019",39.17%
"Aug. 20, 2019",37.61%
"Aug. 19, 2019",39.31%
"Aug. 16, 2019",36.34%
"Aug. 15, 2019",30.72%
"Aug. 14, 2019",33.52%
"Aug. 13, 2019",36.69%
"Aug. 12, 2019",37.05%
"Aug. 9, 2019",34.68%
"Aug. 8, 2019",34.82%
"Aug. 7, 2019",31.92%
"Aug. 6, 2019",31.33%
"Aug. 5, 2019",29.35%
"Aug. 2, 2019",42.43%
"Aug. 1, 2019",37.58%
"July 31, 2019",39.23%
"July 30, 2019",41.99%
"July 29, 2019",42.88%
"July 26, 2019",39.11%
"July 25, 2019",46.98%
"July 24, 2019",44.65%
"July 23, 2019",43.06%
"July 22, 2019",39.25%
"July 19, 2019",21.77%
"July 18, 2019",21.45%
"July 17, 2019",21.18%
"July 16, 2019",23.45%
"July 15, 2019",21.08%
"July 12, 2019",22.57%
"July 11, 2019",26.32%
"July 10, 2019",27.92%
"July 9, 2019",27.50%
"July 8, 2019",28.47%
"July 5, 2019",32.31%
"July 3, 2019",31.04%
"July 2, 2019",29.87%
"July 1, 2019",30.15%
"June 28, 2019",35.67%
"June 27, 2019",38.03%
"June 26, 2019",32.34%
"June 25, 2019",33.12%
"June 24, 2019",33.70%
"June 21, 2019",26.48%
"June 20, 2019",28.74%
"June 19, 2019",29.62%
"June 18, 2019",30.10%
"June 17, 2019",28.79%
"June 14, 2019",29.94%
"June 13, 2019",24.24%
"June 12, 2019",16.46%
"June 11, 2019",15.93%
"June 10, 2019",15.29%
"June 7, 2019",16.95%
"June 6, 2019",19.66%
"June 5, 2019",20.46%
"June 4, 2019",17.41%
"June 3, 2019",14.63%
"May 31, 2019",12.05%
"May 30, 2019",16.68%
"May 29, 2019",17.08%
"May 28, 2019",18.19%
"May 24, 2019",19.51%
"May 23, 2019",20.73%
"May 22, 2019",24.60%
"May 21, 2019",26.50%
"May 20, 2019",23.28%
"May 17, 2019",23.79%
"May 16, 2019",24.53%
"May 15, 2019",25.14%
"May 14, 2019",24.28%
"May 13, 2019",22.81%
"May 10, 2019",23.08%
"May 9, 2019",24.34%
"May 8, 2019",25.59%
"May 7, 2019",25.11%
"May 6, 2019",28.16%
"May 3, 2019",24.29%
"May 2, 2019",21.27%
"May 1, 2019",20.82%
"April 30, 2019",21.56%
"April 29, 2019",20.67%
"April 26, 2019",14.72%
"April 25, 2019",13.87%
"April 24, 2019",12.02%
"April 23, 2019",11.72%
"April 22, 2019",9.44%
"April 18, 2019",10.79%
"April 17, 2019",12.16%
"April 16, 2019",12.20%
"April 15, 2019",11.16%
"April 12, 2019",18.99%
"April 11, 2019",19.45%
"April 10, 2019",18.25%
"April 9, 2019",16.61%
"April 8, 2019",16.72%
"April 5, 2019",22.05%
"April 4, 2019",20.56%
"April 3, 2019",18.69%
"April 2, 2019",18.29%
"April 1, 2019",17.62%
"March 29, 2019",16.29%
"March 28, 2019",15.16%
"March 27, 2019",13.10%
"March 26, 2019",10.64%
"March 25, 2019",10.51%
"March 22, 2019",10.56%
"March 21, 2019",12.78%
"March 20, 2019",11.69%
"March 19, 2019",14.02%
"March 18, 2019",14.79%
"March 15, 2019",17.77%
"March 14, 2019",16.75%
"March 13, 2019",16.80%
"March 12, 2019",16.32%
"March 11, 2019",19.11%
"March 8, 2019",24.48%
"March 7, 2019",26.40%
"March 6, 2019",27.86%
"March 5, 2019",28.65%
"March 4, 2019",29.71%
"March 1, 2019",27.86%
"Feb. 28, 2019",32.89%
"Feb. 27, 2019",27.70%
"Feb. 26, 2019",27.32%
"Feb. 25, 2019",26.70%
"Feb. 22, 2019",31.36%
"Feb. 21, 2019",38.16%
"Feb. 20, 2019",38.41%
"Feb. 19, 2019",46.71%
"Feb. 15, 2019",59.22%
"Feb. 14, 2019",60.04%
"Feb. 13, 2019",60.04%
"Feb. 12, 2019",59.22%
"Feb. 11, 2019",64.91%
"Feb. 8, 2019",66.04%
"Feb. 7, 2019",61.05%
"Feb. 6, 2019",61.42%
"Feb. 5, 2019",62.17%
"Feb. 4, 2019",55.23%
"Feb. 1, 2019",49.13%
"Jan. 31, 2019",50.88%
"Jan. 30, 2019",52.82%
"Jan. 29, 2019",49.84%
"Jan. 28, 2019",53.41%
"Jan. 25, 2019",43.93%
"Jan. 24, 2019",39.00%
"Jan. 23, 2019",30.82%
"Jan. 22, 2019",29.59%
"Jan. 18, 2019",29.67%
"Jan. 17, 2019",27.21%
"Jan. 16, 2019",25.17%
"Jan. 15, 2019",24.74%
"Jan. 14, 2019",20.48%
"Jan. 11, 2019",15.41%
"Jan. 10, 2019",16.06%
"Jan. 9, 2019",16.28%
"Jan. 8, 2019",12.63%
"Jan. 7, 2019",14.11%
"Jan. 4, 2019",14.06%
"Jan. 3, 2019",5.92%
"Jan. 2, 2019",9.48%
"Dec. 31, 2018",7.94%
"Dec. 28, 2018",6.71%
"Dec. 27, 2018",6.61%
"Dec. 26, 2018",6.42%
"Dec. 24, 2018",1.14%
"Dec. 21, 2018",5.95%
"Dec. 20, 2018",10.13%
"Dec. 19, 2018",14.13%
"Dec. 18, 2018",16.05%
"Dec. 17, 2018",13.51%
"Dec. 14, 2018",14.44%
"Dec. 13, 2018",15.94%
"Dec. 12, 2018",17.23%
"Dec. 11, 2018",17.64%
"Dec. 10, 2018",13.02%
"Dec. 7, 2018",3.59%
"Dec. 6, 2018",8.48%
"Dec. 4, 2018",6.86%
"Dec. 3, 2018",14.97%
"Nov. 30, 2018",19.03%
"Nov. 29, 2018",16.17%
"Nov. 28, 2018",15.84%
"Nov. 27, 2018",15.21%
"Nov. 26, 2018",15.00%
"Nov. 23, 2018",10.98%
"Nov. 21, 2018",10.42%
"Nov. 20, 2018",8.98%
"Nov. 19, 2018",11.78%
"Nov. 16, 2018",14.95%
"Nov. 15, 2018",15.99%
"Nov. 14, 2018",14.36%
"Nov. 13, 2018",14.91%
"Nov. 12, 2018",11.14%
"Nov. 9, 2018",13.20%
"Nov. 8, 2018",12.53%
"Nov. 7, 2018",12.87%
"Nov. 6, 2018",10.69%
"Nov. 5, 2018",10.18%
"Nov. 2, 2018",10.87%
"Nov. 1, 2018",10.07%
"Oct. 31, 2018",6.07%
"Oct. 30, 2018",6.18%
"Oct. 29, 2018",4.56%
"Oct. 26, 2018",8.32%
"Oct. 25, 2018",10.35%
"Oct. 24, 2018",20.69%
"Oct. 23, 2018",27.08%
"Oct. 22, 2018",31.28%
"Oct. 19, 2018",40.38%
"Oct. 18, 2018",42.90%
"Oct. 17, 2018",45.96%
"Oct. 16, 2018",45.32%
"Oct. 15, 2018",39.86%
"Oct. 12, 2018",39.20%
"Oct. 11, 2018",42.79%
"Oct. 10, 2018",43.54%
"Oct. 9, 2018",48.95%
"Oct. 8, 2018",56.40%
"Oct. 5, 2018",55.34%
"Oct. 4, 2018",60.45%
"Oct. 3, 2018",60.71%
"Oct. 2, 2018",59.41%
"Oct. 1, 2018",60.64%
"Sept. 28, 2018",66.76%
"Sept. 27, 2018",64.64%
"Sept. 26, 2018",63.01%
"Sept. 25, 2018",61.85%
"Sept. 24, 2018",62.59%
"Sept. 21, 2018",61.94%
"Sept. 20, 2018",58.35%
"Sept. 19, 2018",59.89%
