date,eps_growth
"Sept. 30, 2019",16.18%
"June 30, 2019",13.45%
"March 31, 2019",-17.42%
"Dec. 31, 2018",-59.06%
"Sept. 30, 2018",20.14%
"June 30, 2018",8.23%
"March 31, 2018",16.54%
"Dec. 31, 2017",
"Sept. 30, 2017",0.00%
"June 30, 2017",10.49%
"March 31, 2017",4.72%
"Dec. 31, 2016",
"Sept. 30, 2016",3.60%
"June 30, 2016",5.93%
"March 31, 2016",13.39%
"Dec. 31, 2015",202.0%
"Sept. 30, 2015",5.30%
"June 30, 2015",175.5%
"March 31, 2015",14.29%
"Dec. 31, 2014",-60.80%
"Sept. 30, 2014",13.79%
"June 30, 2014",-56.64%
"March 31, 2014",-9.26%
"Dec. 31, 2013",
"Sept. 30, 2013",141.7%
"June 30, 2013",-1.74%
"March 31, 2013",8.00%
"Dec. 31, 2012",
"Sept. 30, 2012",-55.96%
"June 30, 2012",5.50%
"March 31, 2012",9.89%
"Dec. 31, 2011",-22.68%
"Sept. 30, 2011",10.10%
"June 30, 2011",29.76%
"March 31, 2011",71.70%
"Dec. 31, 2010",29.33%
"Sept. 30, 2010",80.00%
"June 30, 2010",90.91%
"March 31, 2010",32.50%
"Dec. 31, 2009",177.8%
"Sept. 30, 2009",-42.71%
"June 30, 2009",-48.24%
"March 31, 2009",-54.02%
"Dec. 31, 2008",
"Sept. 30, 2008",-5.88%
"June 30, 2008",-18.27%
"March 31, 2008",11.54%
"Dec. 31, 2007",
"Sept. 30, 2007",6.25%
"June 30, 2007",7.22%
"March 31, 2007",-12.36%
"Dec. 31, 2006",9.47%
"Sept. 30, 2006",11.63%
"June 30, 2006",10.23%
"March 31, 2006",14.10%
"Dec. 31, 2005",25.00%
"Sept. 30, 2005",10.26%
"June 30, 2005",22.22%
"March 31, 2005",16.42%
"Dec. 31, 2004",1.33%
"Sept. 30, 2004",20.00%
"June 30, 2004",18.03%
"March 31, 2004",24.07%
"Dec. 31, 2003",-43.61%
"Sept. 30, 2003",27.45%
"June 30, 2003",12.96%
"March 31, 2003",25.58%
"Dec. 31, 2002",129.3%
"Sept. 30, 2002",2.00%
"June 30, 2002",-1.82%
"March 31, 2002",-10.42%
"Dec. 31, 2001",-7.94%
"Sept. 30, 2001",-16.67%
"June 30, 2001",-8.33%
"March 31, 2001",-28.36%
"Dec. 31, 2000",10.53%
"Sept. 30, 2000",13.21%
"June 30, 2000",15.38%
"March 31, 2000",45.65%
