date,sustainable_growth_rate
"Dec. 31, 2019",31.60%
"Sept. 30, 2019",47.34%
"June 30, 2019",50.68%
"March 31, 2019",56.61%
"Dec. 31, 2018",82.52%
"Sept. 30, 2018",134.2%
"June 30, 2018",154.7%
"March 31, 2018",200.3%
"Dec. 31, 2017",227.7%
"Sept. 30, 2017",63.70%
"June 30, 2017",57.39%
"March 31, 2017",44.78%
"Dec. 31, 2016",36.40%
"Sept. 30, 2016",97.67%
"June 30, 2016",105.2%
"March 31, 2016",112.6%
"Dec. 31, 2015",112.4%
"Sept. 30, 2015",54.95%
"June 30, 2015",43.21%
"March 31, 2015",17.30%
"Dec. 31, 2014",12.78%
"Sept. 30, 2014",25.55%
"June 30, 2014",25.78%
"March 31, 2014",40.86%
"Dec. 31, 2013",47.11%
"Sept. 30, 2013",-16.51%
"June 30, 2013",-24.99%
"March 31, 2013",-20.69%
"Dec. 31, 2012",-19.29%
"Sept. 30, 2012",15.80%
"June 30, 2012",23.92%
"March 31, 2012",23.67%
"Dec. 31, 2011",23.03%
"Sept. 30, 2011",25.74%
"June 30, 2011",25.21%
"March 31, 2011",23.18%
"Dec. 31, 2010",19.25%
"Sept. 30, 2010",17.22%
"June 30, 2010",12.20%
"March 31, 2010",7.21%
"Dec. 31, 2009",5.73%
"Sept. 30, 2009",-1.33%
"June 30, 2009",3.67%
"March 31, 2009",7.69%
"Dec. 31, 2008",7.44%
"Sept. 30, 2008",-13.65%
"June 30, 2008",-11.89%
"March 31, 2008",-9.40%
"Dec. 31, 2007",-8.95%
"Sept. 30, 2007",15.52%
"June 30, 2007",15.19%
"March 31, 2007",14.85%
"Dec. 31, 2006",15.76%
"Sept. 30, 2006",15.13%
"June 30, 2006",15.01%
"March 31, 2006",14.94%
"Dec. 31, 2005",14.99%
"Sept. 30, 2005",14.12%
"June 30, 2005",14.31%
"March 31, 2005",13.83%
"Dec. 31, 2004",13.83%
"Sept. 30, 2004",12.81%
"June 30, 2004",12.39%
"March 31, 2004",12.43%
"Dec. 31, 2003",14.46%
"Sept. 30, 2003",20.54%
"June 30, 2003",20.72%
"March 31, 2003",21.36%
"Dec. 31, 2002",21.44%
"Sept. 30, 2002",14.22%
"June 30, 2002",14.40%
"March 31, 2002",14.93%
"Dec. 31, 2001",15.74%
"Sept. 30, 2001",17.09%
"June 30, 2001",18.87%
"March 31, 2001",20.18%
"Dec. 31, 2000",21.60%
"Sept. 30, 2000",22.78%
"June 30, 2000",22.91%
