date,ps_ratio
"March 19, 2020",1.129
"March 18, 2020",1.164
"March 17, 2020",1.136
"March 16, 2020",1.021
"March 13, 2020",1.106
"March 12, 2020",1.011
"March 11, 2020",1.032
"March 10, 2020",1.089
"March 9, 2020",1.023
"March 6, 2020",1.103
"March 5, 2020",1.091
"March 4, 2020",1.124
"March 3, 2020",1.071
"March 2, 2020",1.088
"Feb. 28, 2020",1.062
"Feb. 27, 2020",1.059
"Feb. 26, 2020",1.100
"Feb. 25, 2020",1.102
"Feb. 24, 2020",1.156
"Feb. 21, 2020",1.208
"Feb. 20, 2020",1.249
"Feb. 19, 2020",1.252
"Feb. 18, 2020",1.248
"Feb. 14, 2020",1.243
"Feb. 13, 2020",1.235
"Feb. 12, 2020",1.238
"Feb. 11, 2020",1.230
"Feb. 10, 2020",1.209
"Feb. 7, 2020",1.210
"Feb. 6, 2020",1.250
"Feb. 5, 2020",1.244
"Feb. 4, 2020",1.213
"Feb. 3, 2020",1.197
"Jan. 31, 2020",1.214
"Jan. 30, 2020",1.267
"Jan. 29, 2020",1.358
"Jan. 28, 2020",1.354
"Jan. 27, 2020",1.348
"Jan. 24, 2020",1.369
"Jan. 23, 2020",1.372
"Jan. 22, 2020",1.376
"Jan. 21, 2020",1.377
"Jan. 17, 2020",1.391
"Jan. 16, 2020",1.392
"Jan. 15, 2020",1.384
"Jan. 14, 2020",1.376
"Jan. 13, 2020",1.370
"Jan. 10, 2020",1.359
"Jan. 9, 2020",1.372
"Jan. 8, 2020",1.369
"Jan. 7, 2020",1.361
"Jan. 6, 2020",1.363
"Jan. 3, 2020",1.369
"Jan. 2, 2020",1.370
"Dec. 31, 2019",1.373
"Dec. 30, 2019",1.380
"Dec. 27, 2019",1.410
"Dec. 26, 2019",1.411
"Dec. 24, 2019",1.402
"Dec. 23, 2019",1.410
"Dec. 20, 2019",1.391
"Dec. 19, 2019",1.405
"Dec. 18, 2019",1.398
"Dec. 17, 2019",1.426
"Dec. 16, 2019",1.412
"Dec. 13, 2019",1.406
"Dec. 12, 2019",1.386
"Dec. 11, 2019",1.384
"Dec. 10, 2019",1.405
"Dec. 9, 2019",1.40
"Dec. 6, 2019",1.393
"Dec. 5, 2019",1.363
"Dec. 4, 2019",1.380
"Dec. 3, 2019",1.386
"Dec. 2, 2019",1.401
"Nov. 29, 2019",1.419
"Nov. 27, 2019",1.420
"Nov. 26, 2019",1.436
"Nov. 25, 2019",1.426
"Nov. 22, 2019",1.414
"Nov. 21, 2019",1.416
"Nov. 20, 2019",1.410
"Nov. 19, 2019",1.428
"Nov. 18, 2019",1.455
"Nov. 15, 2019",1.466
"Nov. 14, 2019",1.470
"Nov. 13, 2019",1.458
"Nov. 12, 2019",1.458
"Nov. 11, 2019",1.459
"Nov. 8, 2019",1.473
"Nov. 7, 2019",1.463
"Nov. 6, 2019",1.445
"Nov. 5, 2019",1.438
"Nov. 4, 2019",1.458
"Nov. 1, 2019",1.416
"Oct. 31, 2019",1.365
"Oct. 30, 2019",1.385
"Oct. 29, 2019",1.385
"Oct. 28, 2019",1.378
"Oct. 25, 2019",1.371
"Oct. 24, 2019",1.351
"Oct. 23, 2019",1.365
"Oct. 22, 2019",1.376
"Oct. 21, 2019",1.404
"Oct. 18, 2019",1.391
"Oct. 17, 2019",1.403
"Oct. 16, 2019",1.392
