date,earning_yield
"March 19, 2020",5.31%
"March 18, 2020",5.15%
"March 17, 2020",5.28%
"March 16, 2020",5.87%
"March 13, 2020",5.42%
"March 12, 2020",5.93%
"March 11, 2020",5.81%
"March 10, 2020",5.51%
"March 9, 2020",5.86%
"March 6, 2020",5.44%
"March 5, 2020",5.50%
"March 4, 2020",5.33%
"March 3, 2020",5.60%
"March 2, 2020",5.51%
"Feb. 28, 2020",5.65%
"Feb. 27, 2020",5.66%
"Feb. 26, 2020",5.45%
"Feb. 25, 2020",5.44%
"Feb. 24, 2020",5.19%
"Feb. 21, 2020",4.96%
"Feb. 20, 2020",4.80%
"Feb. 19, 2020",4.79%
"Feb. 18, 2020",4.80%
"Feb. 14, 2020",4.82%
"Feb. 13, 2020",4.86%
"Feb. 12, 2020",4.84%
"Feb. 11, 2020",4.87%
"Feb. 10, 2020",4.96%
"Feb. 7, 2020",4.96%
"Feb. 6, 2020",4.80%
"Feb. 5, 2020",4.82%
"Feb. 4, 2020",4.94%
"Feb. 3, 2020",5.01%
"Jan. 31, 2020",4.94%
"Jan. 30, 2020",4.73%
"Jan. 29, 2020",4.41%
"Jan. 28, 2020",4.43%
"Jan. 27, 2020",4.45%
"Jan. 24, 2020",4.38%
"Jan. 23, 2020",4.37%
"Jan. 22, 2020",4.36%
"Jan. 21, 2020",4.35%
"Jan. 17, 2020",4.31%
"Jan. 16, 2020",4.31%
"Jan. 15, 2020",4.33%
"Jan. 14, 2020",4.36%
"Jan. 13, 2020",4.38%
"Jan. 10, 2020",4.41%
"Jan. 9, 2020",4.37%
"Jan. 8, 2020",4.38%
"Jan. 7, 2020",4.41%
"Jan. 6, 2020",4.40%
"Jan. 3, 2020",4.38%
"Jan. 2, 2020",4.38%
"Dec. 31, 2019",4.37%
"Dec. 30, 2019",4.94%
"Dec. 27, 2019",4.83%
"Dec. 26, 2019",4.83%
"Dec. 24, 2019",4.86%
"Dec. 23, 2019",4.83%
"Dec. 20, 2019",4.90%
"Dec. 19, 2019",4.85%
"Dec. 18, 2019",4.87%
"Dec. 17, 2019",4.78%
"Dec. 16, 2019",4.83%
"Dec. 13, 2019",4.85%
"Dec. 12, 2019",4.92%
"Dec. 11, 2019",4.92%
"Dec. 10, 2019",4.85%
"Dec. 9, 2019",4.87%
"Dec. 6, 2019",4.89%
"Dec. 5, 2019",5.00%
"Dec. 4, 2019",4.94%
"Dec. 3, 2019",4.92%
"Dec. 2, 2019",4.86%
"Nov. 29, 2019",4.80%
"Nov. 27, 2019",4.80%
"Nov. 26, 2019",4.74%
"Nov. 25, 2019",4.78%
"Nov. 22, 2019",4.82%
"Nov. 21, 2019",4.81%
"Nov. 20, 2019",4.83%
"Nov. 19, 2019",4.77%
"Nov. 18, 2019",4.68%
"Nov. 15, 2019",4.65%
"Nov. 14, 2019",4.63%
"Nov. 13, 2019",4.67%
"Nov. 12, 2019",4.67%
"Nov. 11, 2019",4.67%
"Nov. 8, 2019",4.63%
"Nov. 7, 2019",4.66%
"Nov. 6, 2019",4.72%
"Nov. 5, 2019",4.74%
"Nov. 4, 2019",4.67%
"Nov. 1, 2019",4.81%
"Oct. 31, 2019",4.99%
"Oct. 30, 2019",4.92%
"Oct. 29, 2019",4.92%
"Oct. 28, 2019",4.95%
"Oct. 25, 2019",4.97%
"Oct. 24, 2019",5.04%
"Oct. 23, 2019",4.99%
"Oct. 22, 2019",4.95%
"Oct. 21, 2019",4.85%
"Oct. 18, 2019",4.90%
"Oct. 17, 2019",4.86%
"Oct. 16, 2019",4.89%
"Oct. 15, 2019",4.94%
"Oct. 14, 2019",4.96%
"Oct. 11, 2019",4.96%
"Oct. 10, 2019",4.99%
"Oct. 9, 2019",5.05%
"Oct. 8, 2019",5.10%
"Oct. 7, 2019",4.98%
"Oct. 4, 2019",4.89%
"Oct. 3, 2019",4.96%
"Oct. 2, 2019",4.99%
"Oct. 1, 2019",4.96%
"Sept. 30, 2019",4.80%
"Sept. 27, 2019",4.60%
"Sept. 26, 2019",4.62%
"Sept. 25, 2019",4.59%
"Sept. 24, 2019",4.64%
"Sept. 23, 2019",4.59%
"Sept. 20, 2019",4.53%
"Sept. 19, 2019",4.59%
"Sept. 18, 2019",4.52%
"Sept. 17, 2019",4.47%
"Sept. 16, 2019",4.46%
"Sept. 13, 2019",4.46%
"Sept. 12, 2019",4.46%
"Sept. 11, 2019",4.45%
"Sept. 10, 2019",4.47%
"Sept. 9, 2019",4.50%
"Sept. 6, 2019",4.56%
"Sept. 5, 2019",4.51%
"Sept. 4, 2019",4.58%
"Sept. 3, 2019",4.66%
"Aug. 30, 2019",4.61%
"Aug. 29, 2019",4.62%
"Aug. 28, 2019",4.70%
"Aug. 27, 2019",4.79%
"Aug. 26, 2019",4.78%
"Aug. 23, 2019",4.92%
"Aug. 22, 2019",4.75%
"Aug. 21, 2019",4.72%
"Aug. 20, 2019",4.75%
"Aug. 19, 2019",4.68%
"Aug. 16, 2019",4.74%
"Aug. 15, 2019",4.80%
"Aug. 14, 2019",4.80%
"Aug. 13, 2019",4.72%
"Aug. 12, 2019",4.76%
"Aug. 9, 2019",4.73%
"Aug. 8, 2019",4.65%
"Aug. 7, 2019",4.74%
"Aug. 6, 2019",4.76%
"Aug. 5, 2019",4.76%
"Aug. 2, 2019",4.67%
"Aug. 1, 2019",4.68%
"July 31, 2019",4.58%
"July 30, 2019",4.57%
"July 29, 2019",4.61%
"July 26, 2019",4.54%
"July 25, 2019",4.63%
"July 24, 2019",4.78%
"July 23, 2019",5.20%
"July 22, 2019",5.26%
"July 19, 2019",5.29%
"July 18, 2019",5.32%
"July 17, 2019",5.35%
"July 16, 2019",5.18%
"July 15, 2019",5.17%
"July 12, 2019",5.16%
"July 11, 2019",5.29%
"July 10, 2019",5.38%
"July 9, 2019",5.38%
"July 8, 2019",5.37%
"July 5, 2019",5.34%
"July 3, 2019",5.30%
"July 2, 2019",5.36%
"July 1, 2019",5.31%
"June 30, 2019",5.30%
"June 28, 2019",5.07%
"June 27, 2019",5.15%
"June 26, 2019",5.24%
"June 25, 2019",5.39%
"June 24, 2019",5.25%
"June 21, 2019",5.13%
"June 20, 2019",5.07%
"June 19, 2019",5.16%
"June 18, 2019",5.13%
"June 17, 2019",5.17%
"June 14, 2019",5.16%
"June 13, 2019",5.14%
"June 12, 2019",5.22%
"June 11, 2019",5.24%
"June 10, 2019",5.24%
"June 7, 2019",5.33%
"June 6, 2019",5.35%
"June 5, 2019",5.34%
"June 4, 2019",5.37%
"June 3, 2019",5.57%
"May 31, 2019",5.64%
"May 30, 2019",5.47%
"May 29, 2019",5.53%
"May 28, 2019",5.57%
"May 24, 2019",5.47%
"May 23, 2019",5.45%
"May 22, 2019",5.37%
"May 21, 2019",5.27%
"May 20, 2019",5.32%
"May 17, 2019",5.27%
"May 16, 2019",5.17%
"May 15, 2019",5.16%
"May 14, 2019",5.25%
"May 13, 2019",5.27%
"May 10, 2019",5.21%
"May 9, 2019",5.20%
"May 8, 2019",5.14%
"May 7, 2019",5.13%
"May 6, 2019",5.01%
"May 3, 2019",4.91%
"May 2, 2019",4.97%
"May 1, 2019",5.01%
"April 30, 2019",4.93%
"April 29, 2019",5.00%
"April 26, 2019",5.04%
"April 25, 2019",4.98%
"April 24, 2019",4.58%
"April 23, 2019",4.61%
"April 22, 2019",4.61%
"April 18, 2019",4.59%
"April 17, 2019",4.58%
"April 16, 2019",4.60%
"April 15, 2019",4.61%
"April 12, 2019",4.58%
"April 11, 2019",4.62%
"April 10, 2019",4.63%
"April 9, 2019",4.64%
"April 8, 2019",4.60%
"April 5, 2019",4.58%
"April 4, 2019",4.60%
"April 3, 2019",4.58%
"April 2, 2019",4.61%
"April 1, 2019",4.58%
"March 31, 2019",4.69%
"March 29, 2019",4.93%
"March 28, 2019",5.00%
"March 27, 2019",5.06%
"March 26, 2019",5.08%
"March 25, 2019",5.15%
"March 22, 2019",5.13%
"March 21, 2019",5.02%
"March 20, 2019",5.11%
"March 19, 2019",4.99%
"March 18, 2019",4.98%
"March 15, 2019",5.03%
"March 14, 2019",4.97%
"March 13, 2019",4.97%
"March 12, 2019",5.05%
"March 11, 2019",5.06%
"March 8, 2019",5.16%
"March 7, 2019",5.16%
"March 6, 2019",5.06%
"March 5, 2019",5.01%
"March 4, 2019",4.99%
"March 1, 2019",4.91%
"Feb. 28, 2019",5.00%
"Feb. 27, 2019",4.96%
"Feb. 26, 2019",4.96%
"Feb. 25, 2019",4.97%
"Feb. 22, 2019",4.99%
"Feb. 21, 2019",4.93%
"Feb. 20, 2019",4.96%
"Feb. 19, 2019",4.97%
"Feb. 15, 2019",4.97%
"Feb. 14, 2019",4.93%
"Feb. 13, 2019",4.92%
"Feb. 12, 2019",4.98%
"Feb. 11, 2019",5.06%
"Feb. 8, 2019",5.10%
"Feb. 7, 2019",5.10%
"Feb. 6, 2019",5.06%
"Feb. 5, 2019",5.12%
"Feb. 4, 2019",5.17%
"Feb. 1, 2019",5.19%
"Jan. 31, 2019",5.23%
"Jan. 30, 2019",5.45%
"Jan. 29, 2019",5.44%
"Jan. 28, 2019",5.49%
"Jan. 25, 2019",5.46%
"Jan. 24, 2019",5.53%
"Jan. 23, 2019",5.46%
"Jan. 22, 2019",5.37%
"Jan. 18, 2019",5.42%
"Jan. 17, 2019",5.53%
"Jan. 16, 2019",5.68%
"Jan. 15, 2019",5.65%
"Jan. 14, 2019",5.56%
"Jan. 11, 2019",5.63%
"Jan. 10, 2019",5.57%
"Jan. 9, 2019",5.63%
"Jan. 8, 2019",5.66%
"Jan. 7, 2019",5.66%
"Jan. 4, 2019",5.64%
"Jan. 3, 2019",5.83%
"Jan. 2, 2019",5.67%
"Dec. 31, 2018",5.65%
"Dec. 28, 2018",6.48%
"Dec. 27, 2018",6.40%
"Dec. 26, 2018",6.48%
"Dec. 24, 2018",6.96%
"Dec. 21, 2018",6.70%
"Dec. 20, 2018",6.66%
"Dec. 19, 2018",6.64%
"Dec. 18, 2018",6.44%
"Dec. 17, 2018",6.46%
"Dec. 14, 2018",6.34%
"Dec. 13, 2018",6.21%
"Dec. 12, 2018",6.19%
"Dec. 11, 2018",6.04%
"Dec. 10, 2018",6.00%
"Dec. 7, 2018",5.94%
"Dec. 6, 2018",5.79%
"Dec. 4, 2018",5.86%
"Dec. 3, 2018",5.43%
"Nov. 30, 2018",5.43%
"Nov. 29, 2018",5.53%
"Nov. 28, 2018",5.51%
"Nov. 27, 2018",5.61%
"Nov. 26, 2018",5.66%
"Nov. 23, 2018",5.76%
"Nov. 21, 2018",5.76%
"Nov. 20, 2018",5.77%
"Nov. 19, 2018",5.62%
"Nov. 16, 2018",5.69%
"Nov. 15, 2018",5.67%
"Nov. 14, 2018",5.72%
"Nov. 13, 2018",5.72%
"Nov. 12, 2018",5.81%
"Nov. 9, 2018",5.72%
"Nov. 8, 2018",5.61%
