date,one_year_return
"March 19, 2020",-67.43%
"March 18, 2020",-62.87%
"March 17, 2020",-50.43%
"March 16, 2020",-49.35%
"March 13, 2020",-55.06%
"March 12, 2020",-56.50%
"March 11, 2020",-49.27%
"March 10, 2020",-46.73%
"March 9, 2020",-53.78%
"March 6, 2020",-51.25%
"March 5, 2020",-51.73%
"March 4, 2020",-45.05%
"March 3, 2020",-48.47%
"March 2, 2020",-45.55%
"Feb. 28, 2020",-46.53%
"Feb. 27, 2020",-42.28%
"Feb. 26, 2020",-38.46%
"Feb. 25, 2020",-35.60%
"Feb. 24, 2020",-28.29%
"Feb. 21, 2020",-20.47%
"Feb. 20, 2020",-18.68%
"Feb. 19, 2020",-20.13%
"Feb. 18, 2020",-18.32%
"Feb. 14, 2020",-19.14%
"Feb. 13, 2020",-16.90%
"Feb. 12, 2020",-14.77%
"Feb. 11, 2020",-18.45%
"Feb. 10, 2020",-20.03%
"Feb. 7, 2020",-21.54%
"Feb. 6, 2020",-23.01%
"Feb. 5, 2020",-21.20%
"Feb. 4, 2020",-22.70%
"Feb. 3, 2020",-24.79%
"Jan. 31, 2020",-24.97%
"Jan. 30, 2020",-23.72%
"Jan. 29, 2020",-26.15%
"Jan. 28, 2020",-26.44%
"Jan. 27, 2020",-25.36%
"Jan. 24, 2020",-17.88%
"Jan. 23, 2020",-9.00%
"Jan. 22, 2020",-16.55%
"Jan. 21, 2020",-19.93%
"Jan. 17, 2020",-15.43%
"Jan. 16, 2020",-14.04%
"Jan. 15, 2020",-14.08%
"Jan. 14, 2020",-13.18%
"Jan. 13, 2020",-13.87%
"Jan. 10, 2020",-14.73%
"Jan. 9, 2020",-16.37%
"Jan. 8, 2020",-14.13%
"Jan. 7, 2020",-17.39%
"Jan. 6, 2020",-14.73%
"Jan. 3, 2020",-8.02%
"Jan. 2, 2020",-10.44%
"Dec. 31, 2019",-10.68%
"Dec. 30, 2019",-11.09%
"Dec. 27, 2019",-11.24%
"Dec. 26, 2019",-8.11%
"Dec. 24, 2019",-1.82%
"Dec. 23, 2019",-4.81%
"Dec. 20, 2019",-8.94%
"Dec. 19, 2019",-11.94%
"Dec. 18, 2019",-16.52%
"Dec. 17, 2019",-11.74%
"Dec. 16, 2019",-13.85%
"Dec. 13, 2019",-15.34%
"Dec. 12, 2019",-19.30%
"Dec. 11, 2019",-21.23%
"Dec. 10, 2019",-20.21%
"Dec. 9, 2019",-18.11%
"Dec. 6, 2019",-24.95%
"Dec. 5, 2019",-25.76%
"Dec. 4, 2019",-25.37%
"Dec. 3, 2019",-31.17%
"Dec. 2, 2019",-30.08%
"Nov. 29, 2019",-25.20%
"Nov. 27, 2019",-24.39%
"Nov. 26, 2019",-23.75%
"Nov. 25, 2019",-23.61%
"Nov. 22, 2019",-21.01%
"Nov. 21, 2019",-23.08%
"Nov. 20, 2019",-20.68%
"Nov. 19, 2019",-18.23%
"Nov. 18, 2019",-22.18%
"Nov. 15, 2019",-23.69%
"Nov. 14, 2019",-24.51%
"Nov. 13, 2019",-24.14%
"Nov. 12, 2019",-19.91%
"Nov. 11, 2019",-15.54%
"Nov. 8, 2019",-16.55%
"Nov. 7, 2019",-16.45%
"Nov. 6, 2019",-11.97%
"Nov. 5, 2019",-12.71%
"Nov. 4, 2019",-14.81%
"Nov. 1, 2019",-15.97%
"Oct. 31, 2019",-14.31%
"Oct. 30, 2019",-12.61%
"Oct. 29, 2019",-5.15%
"Oct. 28, 2019",-3.39%
"Oct. 25, 2019",-4.66%
"Oct. 24, 2019",-3.07%
"Oct. 23, 2019",-12.63%
"Oct. 22, 2019",-12.13%
"Oct. 21, 2019",-10.67%
"Oct. 18, 2019",-11.98%
"Oct. 17, 2019",-16.80%
"Oct. 16, 2019",-15.72%
"Oct. 15, 2019",-11.04%
"Oct. 14, 2019",-10.66%
"Oct. 11, 2019",-12.52%
"Oct. 10, 2019",-14.01%
"Oct. 9, 2019",-19.33%
"Oct. 8, 2019",-26.85%
"Oct. 7, 2019",-29.12%
"Oct. 4, 2019",-31.88%
"Oct. 3, 2019",-34.88%
"Oct. 2, 2019",-34.10%
"Oct. 1, 2019",-32.34%
"Sept. 30, 2019",-34.74%
"Sept. 27, 2019",-34.92%
"Sept. 26, 2019",-33.75%
"Sept. 25, 2019",-32.76%
"Sept. 24, 2019",-35.70%
"Sept. 23, 2019",-36.93%
"Sept. 20, 2019",-33.18%
"Sept. 19, 2019",-31.97%
"Sept. 18, 2019",-29.88%
"Sept. 17, 2019",-28.97%
"Sept. 16, 2019",-30.12%
"Sept. 13, 2019",-24.14%
"Sept. 12, 2019",-23.74%
"Sept. 11, 2019",-25.93%
"Sept. 10, 2019",-26.15%
"Sept. 9, 2019",-26.00%
"Sept. 6, 2019",-27.78%
"Sept. 5, 2019",-30.20%
"Sept. 4, 2019",-33.77%
"Sept. 3, 2019",-34.51%
"Aug. 30, 2019",-34.88%
"Aug. 29, 2019",-35.01%
"Aug. 28, 2019",-37.75%
"Aug. 27, 2019",-38.13%
"Aug. 26, 2019",-35.11%
"Aug. 23, 2019",-34.54%
"Aug. 22, 2019",-32.30%
"Aug. 21, 2019",-34.49%
"Aug. 20, 2019",-35.41%
"Aug. 19, 2019",-30.93%
"Aug. 16, 2019",-32.42%
"Aug. 15, 2019",-32.13%
"Aug. 14, 2019",-29.63%
"Aug. 13, 2019",-25.22%
"Aug. 12, 2019",-25.82%
"Aug. 9, 2019",-24.10%
"Aug. 8, 2019",-24.23%
"Aug. 7, 2019",-25.17%
"Aug. 6, 2019",-26.17%
"Aug. 5, 2019",-25.74%
"Aug. 2, 2019",-22.36%
"Aug. 1, 2019",-21.76%
"July 31, 2019",-22.84%
"July 30, 2019",-21.20%
"July 29, 2019",-22.55%
"July 26, 2019",-21.94%
"July 25, 2019",-17.07%
"July 24, 2019",-7.64%
"July 23, 2019",-11.33%
"July 22, 2019",-13.15%
"July 19, 2019",-13.24%
"July 18, 2019",-12.07%
"July 17, 2019",-11.02%
"July 16, 2019",-8.21%
"July 15, 2019",-9.46%
"July 12, 2019",-7.02%
"July 11, 2019",-8.15%
"July 10, 2019",-15.80%
"July 9, 2019",-17.68%
"July 8, 2019",-13.91%
"July 5, 2019",-14.56%
"July 3, 2019",-13.32%
"July 2, 2019",-16.08%
"July 1, 2019",-13.38%
"June 28, 2019",-14.77%
"June 27, 2019",-15.97%
"June 26, 2019",-19.52%
"June 25, 2019",-21.22%
"June 24, 2019",-23.05%
"June 21, 2019",-23.91%
"June 20, 2019",-23.51%
"June 19, 2019",-20.00%
"June 18, 2019",-23.37%
"June 17, 2019",-23.87%
"June 14, 2019",-24.14%
"June 13, 2019",-22.90%
"June 12, 2019",-28.36%
"June 11, 2019",-30.75%
"June 10, 2019",-28.65%
"June 7, 2019",-29.47%
"June 6, 2019",-31.25%
"June 5, 2019",-31.28%
"June 4, 2019",-35.09%
"June 3, 2019",-38.18%
"May 31, 2019",-37.46%
"May 30, 2019",-34.94%
"May 29, 2019",-34.82%
"May 28, 2019",-36.03%
"May 24, 2019",-33.03%
"May 23, 2019",-31.07%
"May 22, 2019",-30.22%
"May 21, 2019",-29.31%
"May 20, 2019",-28.63%
"May 17, 2019",-27.25%
"May 16, 2019",-26.65%
"May 15, 2019",-25.54%
"May 14, 2019",-23.83%
"May 13, 2019",-24.55%
"May 10, 2019",-19.15%
"May 9, 2019",-18.19%
"May 8, 2019",-21.51%
"May 7, 2019",-20.10%
"May 6, 2019",-18.92%
"May 3, 2019",-17.38%
"May 2, 2019",-19.63%
"May 1, 2019",-21.79%
"April 30, 2019",-20.38%
"April 29, 2019",-22.19%
"April 26, 2019",-21.97%
"April 25, 2019",-26.17%
"April 24, 2019",-25.61%
"April 23, 2019",-27.23%
"April 22, 2019",-28.43%
"April 18, 2019",-28.04%
"April 17, 2019",-24.85%
"April 16, 2019",-26.66%
"April 15, 2019",-26.42%
"April 12, 2019",-25.51%
"April 11, 2019",-23.33%
"April 10, 2019",-28.32%
"April 9, 2019",-33.14%
"April 8, 2019",-32.63%
"April 5, 2019",-34.68%
"April 4, 2019",-34.80%
"April 3, 2019",-34.51%
"April 2, 2019",-33.73%
"April 1, 2019",-37.74%
"March 29, 2019",-38.88%
"March 28, 2019",-39.23%
"March 27, 2019",-39.21%
"March 26, 2019",-41.75%
"March 25, 2019",-40.78%
"March 22, 2019",-41.56%
"March 21, 2019",-41.86%
"March 20, 2019",-44.03%
"March 19, 2019",-42.16%
"March 18, 2019",-43.36%
"March 15, 2019",-43.03%
"March 14, 2019",-41.88%
"March 13, 2019",-43.38%
"March 12, 2019",-45.27%
"March 11, 2019",-42.84%
"March 8, 2019",-41.76%
"March 7, 2019",-40.45%
"March 6, 2019",-38.85%
"March 5, 2019",-37.53%
