date,operating_margin_ttm
"Dec. 31, 2019",8.05%
"Sept. 30, 2019",7.85%
"June 30, 2019",7.58%
"March 31, 2019",7.36%
"Dec. 31, 2018",7.64%
"Sept. 30, 2018",7.85%
"June 30, 2018",9.04%
"March 31, 2018",10.52%
"Dec. 31, 2017",11.27%
"Sept. 30, 2017",11.47%
"June 30, 2017",12.39%
"March 31, 2017",12.79%
"Dec. 31, 2016",14.34%
"Sept. 30, 2016",15.99%
"June 30, 2016",17.10%
"March 31, 2016",17.56%
"Dec. 31, 2015",17.60%
"Sept. 30, 2015",17.12%
"June 30, 2015",15.32%
"March 31, 2015",14.13%
"Dec. 31, 2014",11.90%
"Sept. 30, 2014",10.82%
"June 30, 2014",9.98%
"March 31, 2014",7.89%
"Dec. 31, 2013",7.34%
"Sept. 30, 2013",5.87%
"June 30, 2013",4.14%
"March 31, 2013",3.03%
"Dec. 31, 2012",2.15%
"Sept. 30, 2012",1.69%
"June 30, 2012",0.80%
"March 31, 2012",-0.52%
"Dec. 31, 2011",-1.18%
"Sept. 30, 2011",-0.86%
"June 30, 2011",0.43%
"March 31, 2011",1.65%
"Dec. 31, 2010",1.39%
"Sept. 30, 2010",4.03%
"June 30, 2010",6.41%
"March 31, 2010",9.28%
"Dec. 31, 2009",14.48%
"Sept. 30, 2009",14.48%
"June 30, 2009",13.30%
"March 31, 2009",12.70%
"Dec. 31, 2008",12.22%
"Sept. 30, 2008",12.94%
"June 30, 2008",15.44%
"March 31, 2008",18.39%
"Dec. 31, 2007",20.78%
"Sept. 30, 2007",34.61%
"June 30, 2007",30.39%
"March 31, 2007",26.19%
"Dec. 31, 2006",21.44%
"Sept. 30, 2006",-16.23%
"June 30, 2006",-17.61%
"March 31, 2006",-19.32%
"Dec. 31, 2005",-36.82%
"Sept. 30, 2005",-83.26%
"June 30, 2005",-86.71%
"March 31, 2005",-106.5%
"Dec. 31, 2004",-89.46%
"Sept. 30, 2004",-32.01%
"June 30, 2004",-48.16%
"March 31, 2004",-31.67%
"Dec. 31, 2003",-37.60%
"Sept. 30, 2003",-41.46%
"June 30, 2003",-49.03%
"March 31, 2003",-63.44%
"Dec. 31, 2002",-73.20%
"Sept. 30, 2002",-76.69%
"June 30, 2002",-78.07%
"March 31, 2002",-72.88%
"Dec. 31, 2001",-66.90%
"Sept. 30, 2001",-79.75%
"June 30, 2001",-61.46%
"March 31, 2001",-63.98%
"Dec. 31, 2000",-62.82%
"Sept. 30, 2000",-57.61%
"June 30, 2000",-59.95%
"March 31, 2000",-54.95%
"Dec. 31, 1999",-57.46%
"Sept. 30, 1999",-60.04%
"June 30, 1999",-56.48%
"March 31, 1999",-52.79%
"Dec. 31, 1998",-47.36%
"Sept. 30, 1998",-24.58%
"June 30, 1998",-24.92%
"March 31, 1998",-25.64%
"Dec. 31, 1997",-26.76%
"Sept. 30, 1997",-25.44%
"June 30, 1997",-25.60%
"March 31, 1997",-25.79%
"Dec. 31, 1996",-25.77%
"Sept. 30, 1996",-47.25%
"June 30, 1996",-48.10%
"March 31, 1996",-49.14%
"Dec. 31, 1995",-50.75%
"Sept. 30, 1995",-28.44%
"June 30, 1995",-28.46%
"March 31, 1995",-28.92%
"Dec. 31, 1994",-29.50%
"Sept. 30, 1994",-22.96%
"June 30, 1994",-14.03%
"March 31, 1994",-7.38%
"Dec. 31, 1993",-0.42%
"Sept. 30, 1993",-0.76%
"June 30, 1993",-3.37%
"March 31, 1993",-2.90%
"Dec. 31, 1992",-0.17%
"Sept. 30, 1992",1.03%
"June 30, 1992",2.41%
"March 31, 1992",2.81%
"Dec. 31, 1991",0.04%
"Sept. 30, 1991",-1.59%
"June 30, 1991",-2.02%
"March 31, 1991",-0.92%
"Dec. 31, 1990",1.06%
"Sept. 30, 1990",3.88%
"June 30, 1990",4.80%
"March 31, 1990",5.40%
"Dec. 31, 1989",28.99%
"Sept. 30, 1989",-26.13%
"June 30, 1989",-5.92%
"March 31, 1989",13.88%
"Dec. 31, 1988",9.14%
"Sept. 30, 1988",19.21%
"June 30, 1988",15.64%
"March 31, 1988",11.98%
"Dec. 31, 1987",6.40%
"Sept. 30, 1987",17.71%
"June 30, 1987",12.19%
"March 31, 1987",7.66%
"Dec. 31, 1986",6.83%
"Sept. 30, 1986",6.88%
"June 30, 1986",7.10%
"March 31, 1986",9.66%
"Dec. 31, 1985",8.75%
"Sept. 30, 1985",16.83%
"June 30, 1985",14.07%
"March 31, 1985",8.95%
"Dec. 31, 1984",6.88%
