date,three_year_return
"March 19, 2020",-75.34%
"March 18, 2020",-72.08%
"March 17, 2020",-62.66%
"March 16, 2020",-62.21%
"March 13, 2020",-66.23%
"March 12, 2020",-69.36%
"March 11, 2020",-62.96%
"March 10, 2020",-61.28%
"March 9, 2020",-65.96%
"March 6, 2020",-64.75%
"March 5, 2020",-65.74%
"March 4, 2020",-60.42%
"March 3, 2020",-61.88%
"March 2, 2020",-58.75%
"Feb. 28, 2020",-58.91%
"Feb. 27, 2020",-55.53%
"Feb. 26, 2020",-51.79%
"Feb. 25, 2020",-50.04%
"Feb. 24, 2020",-45.01%
"Feb. 21, 2020",-40.57%
"Feb. 20, 2020",-39.22%
"Feb. 19, 2020",-39.61%
"Feb. 18, 2020",-38.97%
"Feb. 14, 2020",-37.30%
"Feb. 13, 2020",-36.53%
"Feb. 12, 2020",-34.40%
"Feb. 11, 2020",-35.76%
"Feb. 10, 2020",-38.02%
"Feb. 7, 2020",-37.17%
"Feb. 6, 2020",-37.53%
"Feb. 5, 2020",-34.16%
"Feb. 4, 2020",-35.68%
"Feb. 3, 2020",-38.55%
"Jan. 31, 2020",-39.34%
"Jan. 30, 2020",-38.26%
"Jan. 29, 2020",-42.92%
"Jan. 28, 2020",-42.70%
"Jan. 27, 2020",-44.39%
"Jan. 24, 2020",-41.86%
"Jan. 23, 2020",-38.65%
"Jan. 22, 2020",-43.08%
"Jan. 21, 2020",-43.33%
"Jan. 17, 2020",-39.25%
"Jan. 16, 2020",-40.76%
"Jan. 15, 2020",-42.12%
"Jan. 14, 2020",-42.22%
"Jan. 13, 2020",-42.52%
"Jan. 10, 2020",-43.65%
"Jan. 9, 2020",-40.63%
"Jan. 8, 2020",-39.75%
"Jan. 7, 2020",-41.10%
"Jan. 6, 2020",-40.88%
"Jan. 3, 2020",-40.28%
"Jan. 2, 2020",-37.70%
"Dec. 31, 2019",-38.57%
"Dec. 30, 2019",-39.39%
"Dec. 27, 2019",-41.49%
"Dec. 26, 2019",-38.80%
"Dec. 24, 2019",-39.81%
"Dec. 23, 2019",-39.56%
"Dec. 20, 2019",-41.00%
"Dec. 19, 2019",-41.23%
"Dec. 18, 2019",-41.21%
"Dec. 17, 2019",-40.63%
"Dec. 16, 2019",-41.38%
"Dec. 13, 2019",-42.56%
"Dec. 12, 2019",-41.75%
"Dec. 11, 2019",-45.89%
"Dec. 10, 2019",-45.61%
"Dec. 9, 2019",-44.62%
"Dec. 6, 2019",-40.29%
"Dec. 5, 2019",-40.42%
"Dec. 4, 2019",-40.61%
"Dec. 3, 2019",-40.80%
"Dec. 2, 2019",-39.09%
"Nov. 29, 2019",-38.71%
"Nov. 27, 2019",-38.17%
"Nov. 26, 2019",-37.95%
"Nov. 25, 2019",-38.08%
"Nov. 22, 2019",-37.76%
"Nov. 21, 2019",-39.39%
"Nov. 20, 2019",-38.98%
"Nov. 19, 2019",-36.68%
"Nov. 18, 2019",-38.18%
"Nov. 15, 2019",-35.52%
"Nov. 14, 2019",-33.71%
"Nov. 13, 2019",-33.24%
"Nov. 12, 2019",-31.24%
"Nov. 11, 2019",-28.74%
"Nov. 8, 2019",-26.24%
"Nov. 7, 2019",-25.55%
"Nov. 6, 2019",-22.09%
"Nov. 5, 2019",-21.54%
"Nov. 4, 2019",-22.12%
"Nov. 1, 2019",-23.22%
"Oct. 31, 2019",-25.96%
"Oct. 30, 2019",-24.39%
"Oct. 29, 2019",-22.82%
"Oct. 28, 2019",-21.72%
"Oct. 25, 2019",-22.25%
"Oct. 24, 2019",-26.16%
"Oct. 23, 2019",-29.10%
"Oct. 22, 2019",-29.17%
"Oct. 21, 2019",-28.27%
"Oct. 18, 2019",-28.28%
"Oct. 17, 2019",-27.60%
"Oct. 16, 2019",-27.43%
"Oct. 15, 2019",-26.86%
"Oct. 14, 2019",-28.55%
"Oct. 11, 2019",-28.39%
"Oct. 10, 2019",-30.11%
"Oct. 9, 2019",-28.27%
"Oct. 8, 2019",-30.40%
"Oct. 7, 2019",-31.54%
"Oct. 4, 2019",-31.36%
"Oct. 3, 2019",-32.98%
"Oct. 2, 2019",-30.70%
"Oct. 1, 2019",-26.80%
"Sept. 30, 2019",-26.33%
"Sept. 27, 2019",-24.97%
"Sept. 26, 2019",-22.16%
"Sept. 25, 2019",-22.81%
"Sept. 24, 2019",-24.06%
"Sept. 23, 2019",-22.64%
"Sept. 20, 2019",-20.37%
"Sept. 19, 2019",-20.15%
"Sept. 18, 2019",-19.41%
"Sept. 17, 2019",-19.30%
"Sept. 16, 2019",-21.75%
"Sept. 13, 2019",-19.86%
"Sept. 12, 2019",-21.91%
"Sept. 11, 2019",-22.68%
"Sept. 10, 2019",-24.34%
"Sept. 9, 2019",-26.11%
"Sept. 6, 2019",-24.81%
"Sept. 5, 2019",-24.20%
"Sept. 4, 2019",-26.09%
"Sept. 3, 2019",-27.43%
"Aug. 30, 2019",-28.99%
"Aug. 29, 2019",-27.23%
"Aug. 28, 2019",-30.09%
"Aug. 27, 2019",-32.51%
"Aug. 26, 2019",-30.47%
"Aug. 23, 2019",-30.16%
"Aug. 22, 2019",-26.31%
"Aug. 21, 2019",-27.60%
"Aug. 20, 2019",-29.21%
"Aug. 19, 2019",-28.47%
"Aug. 16, 2019",-29.82%
"Aug. 15, 2019",-29.16%
"Aug. 14, 2019",-25.26%
