date,revenues_growth
"Dec. 31, 2019",3.43%
"Sept. 30, 2019",3.05%
"June 30, 2019",2.72%
"March 31, 2019",1.76%
"Dec. 31, 2018",3.08%
"Sept. 30, 2018",5.42%
"June 30, 2018",3.71%
"March 31, 2018",5.92%
"Dec. 31, 2017",8.82%
"Sept. 30, 2017",3.50%
"June 30, 2017",8.34%
"March 31, 2017",4.08%
"Dec. 31, 2016",1.26%
"Sept. 30, 2016",-1.05%
"June 30, 2016",-4.29%
"March 31, 2016",-3.99%
"Dec. 31, 2015",-5.22%
"Sept. 30, 2015",-3.89%
"June 30, 2015",-4.65%
"March 31, 2015",-1.68%
"Dec. 31, 2014",37.89%
"Sept. 30, 2014",63.14%
"June 30, 2014",76.07%
"March 31, 2014",63.91%
"Dec. 31, 2013",24.10%
"Sept. 30, 2013",6.21%
"June 30, 2013",-0.05%
"March 31, 2013",1.01%
"Dec. 31, 2012",-0.32%
"Sept. 30, 2012",0.83%
"June 30, 2012",5.53%
"March 31, 2012",9.11%
"Dec. 31, 2011",6.62%
"Sept. 30, 2011",9.14%
"June 30, 2011",7.75%
"March 31, 2011",9.18%
"Dec. 31, 2010",10.35%
"Sept. 30, 2010",13.95%
"June 30, 2010",16.06%
"March 31, 2010",4.73%
"Dec. 31, 2009",-7.44%
"Sept. 30, 2009",-20.15%
"June 30, 2009",-20.88%
"March 31, 2009",-15.06%
"Dec. 31, 2008",-3.77%
"Sept. 30, 2008",7.99%
"June 30, 2008",5.10%
"March 31, 2008",4.98%
"Dec. 31, 2007",5.30%
"Sept. 30, 2007",1.69%
"June 30, 2007",-1.61%
"March 31, 2007",1.55%
"Dec. 31, 2006",4.43%
"Sept. 30, 2006",6.60%
"June 30, 2006",12.54%
"March 31, 2006",12.51%
"Dec. 31, 2005",13.81%
"Sept. 30, 2005",15.18%
"June 30, 2005",9.92%
"March 31, 2005",5.27%
"Dec. 31, 2004",3.42%
"Sept. 30, 2004",3.41%
"June 30, 2004",11.70%
"March 31, 2004",9.51%
"Dec. 31, 2003",1.86%
"Sept. 30, 2003",2.47%
"June 30, 2003",-4.08%
"March 31, 2003",-1.03%
"Dec. 31, 2002",13.33%
"Sept. 30, 2002",-6.69%
"June 30, 2002",-19.25%
"March 31, 2002",-12.54%
"Dec. 31, 2001",-21.71%
"Sept. 30, 2001",-8.37%
"June 30, 2001",11.41%
"March 31, 2001",4.00%
"Dec. 31, 2000",8.29%
"Sept. 30, 2000",11.95%
"June 30, 2000",10.35%
"March 31, 2000",14.23%
"Dec. 31, 1999",54.09%
"Sept. 30, 1999",-6.96%
"June 30, 1999",-7.78%
"March 31, 1999",-13.53%
"Dec. 31, 1998",-12.13%
"Sept. 30, 1998",7.22%
"June 30, 1998",4.50%
"March 31, 1998",4.70%
"Dec. 31, 1997",-15.97%
"Sept. 30, 1997",3.16%
"June 30, 1997",3.56%
"March 31, 1997",2.74%
"Dec. 31, 1996",-5.83%
"Sept. 30, 1996",2.63%
"June 30, 1996",5.64%
"March 31, 1996",8.51%
"Dec. 31, 1995",4.83%
"Sept. 30, 1995",5.01%
"June 30, 1995",5.02%
"March 31, 1995",4.25%
"Dec. 31, 1994",11.25%
"Sept. 30, 1994",0.81%
"June 30, 1994",7.13%
"March 31, 1994",10.57%
"Dec. 31, 1993",0.39%
"Sept. 30, 1993",12.72%
"June 30, 1993",6.72%
"March 31, 1993",-1.80%
"Dec. 31, 1992",5.07%
"Sept. 30, 1992",5.87%
"June 30, 1992",12.29%
"March 31, 1992",26.62%
"Dec. 31, 1991",13.39%
"Sept. 30, 1991",15.19%
"June 30, 1991",7.40%
"March 31, 1991",3.03%
"Dec. 31, 1990",16.12%
"Sept. 30, 1990",12.00%
"June 30, 1990",9.53%
"March 31, 1990",9.68%
"Dec. 31, 1989",9.18%
"Sept. 30, 1989",17.14%
"June 30, 1989",25.54%
"March 31, 1989",24.75%
"Dec. 31, 1988",25.82%
"Sept. 30, 1988",17.86%
"June 30, 1988",18.14%
"March 31, 1988",30.18%
"Dec. 31, 1987",25.59%
"Sept. 30, 1987",27.71%
"June 30, 1987",20.65%
"March 31, 1987",3.72%
"Dec. 31, 1986",0.70%
"Sept. 30, 1986",-0.92%
"June 30, 1986",-10.11%
"March 31, 1986",4.44%
"Dec. 31, 1985",10.16%
"Sept. 30, 1985",14.03%
"June 30, 1985",23.96%
"March 31, 1985",9.56%
