date,payout_ratio
"Dec. 31, 2019",0.00%
"Sept. 30, 2019",0.00%
"June 30, 2019",0.00%
"March 31, 2019",0.00%
"Dec. 31, 2018",0.00%
"Sept. 30, 2018",0.00%
"June 30, 2018",0.00%
"March 31, 2018",0.00%
"Dec. 31, 2017",0.00%
"Sept. 30, 2017",0.00%
"June 30, 2017",0.00%
"March 31, 2017",0.00%
"Dec. 31, 2016",0.00%
"Sept. 30, 2016",0.00%
"June 30, 2016",0.00%
"March 31, 2016",0.00%
"Dec. 31, 2015",0.00%
"Sept. 30, 2015",0.00%
"June 30, 2015",0.00%
"March 31, 2015",0.00%
"Dec. 31, 2014",0.00%
"Sept. 30, 2014",0.00%
"June 30, 2014",0.00%
"March 31, 2014",0.00%
"Dec. 31, 2013",0.00%
"Sept. 30, 2013",0.00%
"June 30, 2013",0.00%
"March 31, 2013",0.00%
"Dec. 31, 2012",0.00%
"Sept. 30, 2012",0.00%
"June 30, 2012",0.00%
"March 31, 2012",0.00%
"Dec. 31, 2011",0.00%
"Sept. 30, 2011",0.00%
"June 30, 2011",0.00%
"March 31, 2011",0.00%
"Dec. 31, 2010",0.00%
"Sept. 30, 2010",0.00%
"June 30, 2010",0.00%
"March 31, 2010",0.00%
"Dec. 31, 2009",0.00%
"Sept. 30, 2009",0.00%
"June 30, 2009",0.00%
"March 31, 2009",0.00%
"Dec. 31, 2008",0.00%
"Sept. 30, 2008",0.00%
"June 30, 2008",
"March 31, 2008",0.00%
"Dec. 31, 2007",0.00%
"Sept. 30, 2007",0.00%
"June 30, 2007",0.00%
"March 31, 2007",0.00%
"Dec. 31, 2006",0.00%
"Sept. 30, 2006",0.00%
"June 30, 2006",0.00%
"March 31, 2006",0.00%
"Dec. 31, 2005",0.00%
"Sept. 30, 2005",0.00%
"June 30, 2005",0.00%
"March 31, 2005",0.00%
"Dec. 31, 2004",0.00%
"Sept. 30, 2004",0.00%
"June 30, 2004",0.00%
"March 31, 2004",0.00%
"Dec. 31, 2003",0.00%
"Sept. 30, 2003",0.00%
"June 30, 2003",0.00%
"March 31, 2003",0.00%
"Dec. 31, 2002",0.00%
