date,dividend_yield
"March 19, 2020",0.00%
"March 18, 2020",0.00%
"March 17, 2020",0.00%
"March 16, 2020",0.00%
"March 13, 2020",0.00%
"March 12, 2020",0.00%
"March 11, 2020",0.00%
"March 10, 2020",0.00%
"March 9, 2020",0.00%
"March 6, 2020",0.00%
"March 5, 2020",0.00%
"March 4, 2020",0.00%
"March 3, 2020",0.00%
"March 2, 2020",0.00%
"Feb. 28, 2020",0.00%
"Feb. 27, 2020",0.00%
"Feb. 26, 2020",0.00%
"Feb. 25, 2020",0.00%
"Feb. 24, 2020",0.00%
"Feb. 21, 2020",0.00%
"Feb. 20, 2020",0.00%
"Feb. 19, 2020",0.00%
"Feb. 18, 2020",0.00%
"Feb. 14, 2020",0.00%
"Feb. 13, 2020",0.00%
"Feb. 12, 2020",0.00%
"Feb. 11, 2020",0.00%
"Feb. 10, 2020",0.00%
"Feb. 7, 2020",0.00%
"Feb. 6, 2020",0.00%
"Feb. 5, 2020",0.00%
"Feb. 4, 2020",0.00%
"Feb. 3, 2020",0.00%
"Jan. 31, 2020",0.00%
"Jan. 30, 2020",0.00%
"Jan. 29, 2020",0.00%
"Jan. 28, 2020",0.00%
"Jan. 27, 2020",0.00%
"Jan. 24, 2020",0.00%
"Jan. 23, 2020",0.00%
"Jan. 22, 2020",0.00%
"Jan. 21, 2020",0.00%
"Jan. 17, 2020",0.00%
"Jan. 16, 2020",0.00%
"Jan. 15, 2020",0.00%
"Jan. 14, 2020",0.00%
"Jan. 13, 2020",0.00%
"Jan. 10, 2020",0.00%
"Jan. 9, 2020",0.00%
"Jan. 8, 2020",0.00%
"Jan. 7, 2020",0.00%
"Jan. 6, 2020",0.00%
"Jan. 3, 2020",0.00%
"Jan. 2, 2020",0.00%
"Dec. 31, 2019",0.00%
"Dec. 30, 2019",0.00%
"Dec. 27, 2019",0.00%
"Dec. 26, 2019",0.00%
"Dec. 24, 2019",0.00%
"Dec. 23, 2019",0.00%
"Dec. 20, 2019",0.00%
"Dec. 19, 2019",0.00%
"Dec. 18, 2019",0.00%
