date,six_month_return
"March 19, 2020",-55.58%
"March 18, 2020",-55.65%
"March 17, 2020",-44.46%
"March 16, 2020",-37.07%
"March 13, 2020",-35.71%
"March 12, 2020",-33.04%
"March 11, 2020",-21.65%
"March 10, 2020",-13.01%
"March 9, 2020",-21.32%
"March 6, 2020",-16.74%
"March 5, 2020",-16.10%
"March 4, 2020",-5.19%
"March 3, 2020",-12.58%
"March 2, 2020",-10.10%
"Feb. 28, 2020",-5.79%
"Feb. 27, 2020",-1.69%
"Feb. 26, 2020",0.12%
"Feb. 25, 2020",5.98%
"Feb. 24, 2020",12.54%
"Feb. 21, 2020",14.44%
"Feb. 20, 2020",16.04%
"Feb. 19, 2020",13.47%
"Feb. 18, 2020",15.76%
"Feb. 14, 2020",16.55%
"Feb. 13, 2020",14.80%
"Feb. 12, 2020",11.15%
"Feb. 11, 2020",5.45%
"Feb. 10, 2020",2.93%
"Feb. 7, 2020",3.00%
"Feb. 6, 2020",4.97%
"Feb. 5, 2020",9.53%
"Feb. 4, 2020",7.30%
"Feb. 3, 2020",5.20%
"Jan. 31, 2020",3.12%
"Jan. 30, 2020",3.80%
"Jan. 29, 2020",2.57%
"Jan. 28, 2020",4.59%
"Jan. 27, 2020",3.41%
"Jan. 24, 2020",5.55%
"Jan. 23, 2020",9.28%
"Jan. 22, 2020",4.40%
"Jan. 21, 2020",0.74%
"Jan. 17, 2020",0.68%
"Jan. 16, 2020",-2.56%
"Jan. 15, 2020",-0.16%
"Jan. 14, 2020",-1.85%
"Jan. 13, 2020",-1.43%
"Jan. 10, 2020",-1.21%
"Jan. 9, 2020",-1.47%
"Jan. 8, 2020",-4.93%
"Jan. 7, 2020",-4.06%
"Jan. 6, 2020",-3.70%
"Jan. 3, 2020",-2.93%
"Jan. 2, 2020",0.53%
"Dec. 31, 2019",1.24%
"Dec. 30, 2019",1.19%
"Dec. 27, 2019",3.39%
"Dec. 26, 2019",5.52%
"Dec. 24, 2019",3.63%
"Dec. 23, 2019",3.28%
"Dec. 20, 2019",1.75%
"Dec. 19, 2019",-0.84%
"Dec. 18, 2019",-2.44%
"Dec. 17, 2019",-2.17%
"Dec. 16, 2019",-3.36%
