date,eps_growth
"Dec. 31, 2019",1.82%
"Sept. 30, 2019",293.8%
"June 30, 2019",
"March 31, 2019",-50.00%
"Dec. 31, 2018",-72.91%
"Sept. 30, 2018",-70.91%
"June 30, 2018",
"March 31, 2018",16.67%
"Dec. 31, 2017",306.0%
"Sept. 30, 2017",-5.17%
"June 30, 2017",16.98%
"March 31, 2017",-60.66%
"Dec. 31, 2016",-10.71%
"Sept. 30, 2016",0.00%
"June 30, 2016",20.45%
"March 31, 2016",52.50%
"Dec. 31, 2015",115.4%
"Sept. 30, 2015",141.7%
"June 30, 2015",-35.29%
"March 31, 2015",3.90K%
"Dec. 31, 2014",85.71%
"Sept. 30, 2014",14.29%
"June 30, 2014",518.2%
"March 31, 2014",-80.00%
"Dec. 31, 2013",3.88K%
"Sept. 30, 2013",50.00%
"June 30, 2013",-31.25%
"March 31, 2013",-44.44%
"Dec. 31, 2012",-94.98%
"Sept. 30, 2012",27.27%
"June 30, 2012",100.0%
"March 31, 2012",800.0%
"Dec. 31, 2011",133.3%
"Sept. 30, 2011",-38.89%
"June 30, 2011",-20.00%
"March 31, 2011",
"Dec. 31, 2010",-25.00%
"Sept. 30, 2010",260.0%
"June 30, 2010",42.86%
"March 31, 2010",-100.0%
"Dec. 31, 2009",
"Sept. 30, 2009",
"June 30, 2009",
"March 31, 2009",
"Dec. 31, 2008",
"Sept. 30, 2008",
"June 30, 2008",
"March 31, 2008",
"Dec. 31, 2007",
"Sept. 30, 2007",
"June 30, 2007",37.50%
"March 31, 2007",
"Dec. 31, 2006",
"Sept. 30, 2006",-100.0%
"June 30, 2006",0.00%
"March 31, 2006",
"Dec. 31, 2005",
"Sept. 30, 2005",-57.14%
"June 30, 2005",-36.84%
"March 31, 2005",-57.14%
"Dec. 31, 2004",-87.50%
"Sept. 30, 2004",-73.08%
"June 30, 2004",-47.22%
"March 31, 2004",-17.65%
"Dec. 31, 2003",13.44%
"Sept. 30, 2003",116.3%
"June 30, 2003",145.1%
"March 31, 2003",12.50%
