date,pe_ratio
"March 19, 2020",3.958
"March 18, 2020",3.990
"March 17, 2020",4.958
"March 16, 2020",5.526
"March 13, 2020",5.823
"March 12, 2020",5.984
"March 11, 2020",7.068
"March 10, 2020",7.594
"March 9, 2020",6.979
"March 6, 2020",7.229
"March 5, 2020",7.219
"March 4, 2020",8.094
"March 3, 2020",7.818
"March 2, 2020",8.109
"Feb. 28, 2020",8.219
"Feb. 27, 2020",8.474
"Feb. 26, 2020",8.917
"Feb. 25, 2020",9.505
"Feb. 24, 2020",10.09
"Feb. 21, 2020",10.73
"Feb. 20, 2020",10.85
"Feb. 19, 2020",10.84
"Feb. 18, 2020",11.09
"Feb. 14, 2020",11.08
"Feb. 13, 2020",11.23
"Feb. 12, 2020",11.01
"Feb. 11, 2020",10.68
"Feb. 10, 2020",10.43
"Feb. 7, 2020",10.39
"Feb. 6, 2020",10.46
"Feb. 5, 2020",10.78
"Feb. 4, 2020",10.64
"Feb. 3, 2020",10.43
"Jan. 31, 2020",10.33
"Jan. 30, 2020",10.52
"Jan. 29, 2020",10.39
"Jan. 28, 2020",10.56
"Jan. 27, 2020",10.44
"Jan. 24, 2020",10.75
"Jan. 23, 2020",10.97
"Jan. 22, 2020",10.31
"Jan. 21, 2020",9.922
"Jan. 17, 2020",10.01
"Jan. 16, 2020",9.896
"Jan. 15, 2020",9.740
"Jan. 14, 2020",9.646
"Jan. 13, 2020",9.688
"Jan. 10, 2020",9.745
"Jan. 9, 2020",9.745
"Jan. 8, 2020",9.635
"Jan. 7, 2020",9.588
"Jan. 6, 2020",9.625
"Jan. 3, 2020",9.672
"Jan. 2, 2020",9.838
"Dec. 31, 2019",9.75
"Dec. 30, 2019",9.796
"Dec. 27, 2019",9.890
"Dec. 26, 2019",10.00
"Dec. 24, 2019",10.01
"Dec. 23, 2019",10.05
"Dec. 20, 2019",10.06
"Dec. 19, 2019",9.890
"Dec. 18, 2019",9.838
"Dec. 17, 2019",9.932
"Dec. 16, 2019",9.791
"Dec. 13, 2019",9.728
"Dec. 12, 2019",9.906
"Dec. 11, 2019",9.806
"Dec. 10, 2019",9.895
"Dec. 9, 2019",9.911
"Dec. 6, 2019",9.958
"Dec. 5, 2019",10.02
"Dec. 4, 2019",10.12
"Dec. 3, 2019",9.843
"Dec. 2, 2019",10.05
"Nov. 29, 2019",10.09
"Nov. 27, 2019",10.08
"Nov. 26, 2019",10.12
"Nov. 25, 2019",10.05
"Nov. 22, 2019",9.927
"Nov. 21, 2019",9.754
"Nov. 20, 2019",9.958
"Nov. 19, 2019",10.14
"Nov. 18, 2019",10.19
"Nov. 15, 2019",10.27
"Nov. 14, 2019",10.25
"Nov. 13, 2019",10.25
"Nov. 12, 2019",10.10
"Nov. 11, 2019",10.35
"Nov. 8, 2019",10.25
"Nov. 7, 2019",10.25
"Nov. 6, 2019",10.29
"Nov. 5, 2019",10.27
"Nov. 4, 2019",10.18
"Nov. 1, 2019",10.20
"Oct. 31, 2019",10.10
"Oct. 30, 2019",10.19
"Oct. 29, 2019",10.19
"Oct. 28, 2019",10.07
"Oct. 25, 2019",9.822
"Oct. 24, 2019",9.649
"Oct. 23, 2019",9.885
"Oct. 22, 2019",9.843
"Oct. 21, 2019",9.173
"Oct. 18, 2019",8.880
"Oct. 17, 2019",9.00
"Oct. 16, 2019",8.887
"Oct. 15, 2019",8.971
"Oct. 14, 2019",8.853
"Oct. 11, 2019",8.822
"Oct. 10, 2019",8.846
"Oct. 9, 2019",8.767
"Oct. 8, 2019",8.662
"Oct. 7, 2019",8.696
"Oct. 4, 2019",8.565
"Oct. 3, 2019",8.387
"Oct. 2, 2019",8.440
"Oct. 1, 2019",8.654
"Sept. 30, 2019",8.770
"Sept. 27, 2019",11.67
"Sept. 26, 2019",11.76
"Sept. 25, 2019",11.71
"Sept. 24, 2019",11.55
"Sept. 23, 2019",11.65
"Sept. 20, 2019",11.75
"Sept. 19, 2019",11.88
"Sept. 18, 2019",11.99
"Sept. 17, 2019",11.90
"Sept. 16, 2019",11.71
"Sept. 13, 2019",12.08
"Sept. 12, 2019",11.92
"Sept. 11, 2019",12.03
"Sept. 10, 2019",11.64
"Sept. 9, 2019",11.83
"Sept. 6, 2019",11.58
"Sept. 5, 2019",11.47
"Sept. 4, 2019",11.38
"Sept. 3, 2019",11.92
"Aug. 30, 2019",12.03
"Aug. 29, 2019",12.05
"Aug. 28, 2019",11.63
"Aug. 27, 2019",11.49
"Aug. 26, 2019",11.88
"Aug. 23, 2019",11.96
"Aug. 22, 2019",12.51
"Aug. 21, 2019",12.51
"Aug. 20, 2019",12.47
"Aug. 19, 2019",12.74
"Aug. 16, 2019",12.78
"Aug. 15, 2019",12.51
"Aug. 14, 2019",12.67
"Aug. 13, 2019",13.04
"Aug. 12, 2019",13.20
"Aug. 9, 2019",13.51
"Aug. 8, 2019",13.67
"Aug. 7, 2019",13.44
"Aug. 6, 2019",13.28
"Aug. 5, 2019",13.12
"Aug. 2, 2019",13.22
"Aug. 1, 2019",13.28
"July 31, 2019",13.35
"July 30, 2019",13.51
"July 29, 2019",13.50
"July 26, 2019",13.46
"July 25, 2019",13.56
"July 24, 2019",13.58
"July 23, 2019",13.39
"July 22, 2019",13.17
"July 19, 2019",13.13
"July 18, 2019",13.35
"July 17, 2019",13.25
"July 16, 2019",13.54
"July 15, 2019",13.01
"July 12, 2019",13.10
"July 11, 2019",12.98
"July 10, 2019",13.15
"July 9, 2019",13.19
"July 8, 2019",13.51
"July 5, 2019",13.33
"July 3, 2019",13.28
"July 2, 2019",13.05
"July 1, 2019",12.92
"June 30, 2019",12.84
"June 28, 2019",40.20
"June 27, 2019",39.72
"June 26, 2019",39.35
"June 25, 2019",39.80
"June 24, 2019",40.11
"June 21, 2019",40.41
"June 20, 2019",41.04
"June 19, 2019",41.41
"June 18, 2019",41.87
"June 17, 2019",42.15
"June 14, 2019",42.07
"June 13, 2019",42.26
"June 12, 2019",41.83
"June 11, 2019",41.50
"June 10, 2019",39.67
"June 7, 2019",39.78
"June 6, 2019",38.96
"June 5, 2019",39.41
"June 4, 2019",38.72
"June 3, 2019",37.48
"May 31, 2019",37.46
"May 30, 2019",37.74
"May 29, 2019",37.22
"May 28, 2019",37.41
"May 24, 2019",37.98
"May 23, 2019",38.22
"May 22, 2019",38.17
"May 21, 2019",38.85
"May 20, 2019",38.20
"May 17, 2019",38.72
"May 16, 2019",38.78
"May 15, 2019",38.76
"May 14, 2019",39.07
"May 13, 2019",38.28
"May 10, 2019",39.80
"May 9, 2019",39.87
"May 8, 2019",40.09
"May 7, 2019",40.26
"May 6, 2019",40.67
"May 3, 2019",40.67
"May 2, 2019",40.50
"May 1, 2019",40.50
"April 30, 2019",40.33
"April 29, 2019",39.67
"April 26, 2019",39.39
"April 25, 2019",39.20
"April 24, 2019",39.54
"April 23, 2019",38.15
"April 22, 2019",36.59
"April 18, 2019",36.87
"April 17, 2019",36.91
"April 16, 2019",36.70
"April 15, 2019",36.80
"April 12, 2019",37.04
"April 11, 2019",37.26
"April 10, 2019",36.78
"April 9, 2019",35.52
"April 8, 2019",36.04
"April 5, 2019",36.17
