date,revenues_growth
"Dec. 31, 2019",2.00%
"Sept. 30, 2019",-11.88%
"June 30, 2019",8.21%
"March 31, 2019",16.79%
"Dec. 31, 2018",-0.78%
"Sept. 30, 2018",33.01%
"June 30, 2018",28.15%
"March 31, 2018",7.00%
"Dec. 31, 2017",19.81%
"Sept. 30, 2017",14.53%
"June 30, 2017",-2.21%
"March 31, 2017",29.29%
"Dec. 31, 2016",-5.83%
"Sept. 30, 2016",-29.56%
"June 30, 2016",-37.33%
"March 31, 2016",-36.74%
"Dec. 31, 2015",-42.35%
"Sept. 30, 2015",-37.60%
"June 30, 2015",-30.96%
"March 31, 2015",-42.46%
"Dec. 31, 2014",-3.44%
"Sept. 30, 2014",-1.54%
"June 30, 2014",-7.82%
"March 31, 2014",-56.22%
"Dec. 31, 2013",-10.33%
"Sept. 30, 2013",-11.46%
"June 30, 2013",-7.67%
"March 31, 2013",110.8%
"Dec. 31, 2012",
"Sept. 30, 2012",-64.55%
"June 30, 2012",-66.26%
"March 31, 2012",-71.65%
"Dec. 31, 2011",
"Sept. 30, 2011",10.19%
"June 30, 2011",27.43%
"March 31, 2011",10.33%
"Dec. 31, 2010",3.79%
"Sept. 30, 2010",8.17%
"June 30, 2010",14.53%
"March 31, 2010",33.90%
"Dec. 31, 2009",17.59%
"Sept. 30, 2009",-36.21%
"June 30, 2009",-42.35%
"March 31, 2009",-35.05%
"Dec. 31, 2008",-21.95%
"Sept. 30, 2008",52.95%
"June 30, 2008",57.81%
"March 31, 2008",45.47%
"Dec. 31, 2007",32.16%
"Sept. 30, 2007",5.91%
"June 30, 2007",7.26%
"March 31, 2007",2.23%
"Dec. 31, 2006",1.36%
"Sept. 30, 2006",21.94%
"June 30, 2006",39.41%
"March 31, 2006",44.42%
"Dec. 31, 2005",53.02%
"Sept. 30, 2005",50.63%
"June 30, 2005",30.50%
"March 31, 2005",8.66%
"Dec. 31, 2004",34.14%
"Sept. 30, 2004",16.20%
"June 30, 2004",18.36%
"March 31, 2004",6.17%
"Dec. 31, 2003",12.20%
"Sept. 30, 2003",17.80%
"June 30, 2003",18.47%
"March 31, 2003",45.27%
"Dec. 31, 2002",31.88%
"Sept. 30, 2002",-4.64%
"June 30, 2002",-23.93%
"March 31, 2002",-30.05%
"Dec. 31, 2001",-36.93%
"Sept. 30, 2001",3.57%
"June 30, 2001",34.83%
"March 31, 2001",49.38%
"Dec. 31, 2000",62.43%
"Sept. 30, 2000",57.24%
"June 30, 2000",84.90%
"March 31, 2000",83.99%
"Dec. 31, 1999",40.28%
"Sept. 30, 1999",17.87%
"June 30, 1999",-11.10%
"March 31, 1999",-15.72%
"Dec. 31, 1998",-23.29%
"Sept. 30, 1998",-18.90%
"June 30, 1998",-14.39%
"March 31, 1998",-23.82%
"Dec. 31, 1997",-4.87%
"Sept. 30, 1997",7.90%
"June 30, 1997",-10.31%
"March 31, 1997",8.23%
"Dec. 31, 1996",11.09%
"Sept. 30, 1996",6.38%
"June 30, 1996",18.13%
"March 31, 1996",17.03%
"Dec. 31, 1995",13.21%
"Sept. 30, 1995",9.90%
"June 30, 1995",19.16%
"March 31, 1995",1.86%
"Dec. 31, 1994",8.08%
"Sept. 30, 1994",19.99%
"June 30, 1994",5.52%
"March 31, 1994",18.64%
"Dec. 31, 1993",3.48%
"Sept. 30, 1993",-11.81%
"June 30, 1993",-3.25%
"March 31, 1993",9.50%
"Dec. 31, 1992",-1.88%
"Sept. 30, 1992",7.66%
"June 30, 1992",4.74%
"March 31, 1992",-26.96%
"Dec. 31, 1991",-31.04%
"Sept. 30, 1991",-24.71%
"June 30, 1991",13.83%
"March 31, 1991",18.33%
"Dec. 31, 1990",60.91%
"Sept. 30, 1990",47.23%
"June 30, 1990",-15.81%
"March 31, 1990",13.45%
"Dec. 31, 1989",23.64%
"Sept. 30, 1989",28.39%
"June 30, 1989",65.76%
"March 31, 1989",17.80%
"Dec. 31, 1988",-5.69%
"Sept. 30, 1988",-16.58%
"June 30, 1988",-23.01%
"March 31, 1988",1.23%
"Dec. 31, 1987",41.68%
"Sept. 30, 1987",41.63%
"June 30, 1987",22.74%
"March 31, 1987",-14.58%
"Dec. 31, 1986",-55.22%
"Sept. 30, 1986",-56.47%
"June 30, 1986",-49.22%
"March 31, 1986",-31.15%
"Dec. 31, 1985",0.20%
"Sept. 30, 1985",-7.49%
"June 30, 1985",-7.80%
"March 31, 1985",-13.63%
