date,three_year_return
"March 19, 2020",-35.50%
"March 18, 2020",-37.55%
"March 17, 2020",-36.55%
"March 16, 2020",-36.10%
"March 13, 2020",-26.93%
"March 12, 2020",-30.75%
"March 11, 2020",-22.63%
"March 10, 2020",-16.32%
"March 9, 2020",-31.83%
"March 6, 2020",-2.57%
"March 5, 2020",6.76%
"March 4, 2020",11.70%
"March 3, 2020",13.07%
"March 2, 2020",10.49%
"Feb. 28, 2020",9.21%
"Feb. 27, 2020",4.42%
"Feb. 26, 2020",6.46%
"Feb. 25, 2020",9.34%
"Feb. 24, 2020",14.73%
"Feb. 21, 2020",21.96%
"Feb. 20, 2020",25.06%
"Feb. 19, 2020",22.84%
"Feb. 18, 2020",18.14%
"Feb. 14, 2020",16.04%
"Feb. 13, 2020",15.63%
"Feb. 12, 2020",11.92%
"Feb. 11, 2020",6.95%
"Feb. 10, 2020",4.65%
"Feb. 7, 2020",7.65%
"Feb. 6, 2020",7.28%
"Feb. 5, 2020",9.21%
"Feb. 4, 2020",6.19%
"Feb. 3, 2020",3.90%
"Jan. 31, 2020",4.41%
"Jan. 30, 2020",8.57%
"Jan. 29, 2020",5.38%
"Jan. 28, 2020",13.21%
"Jan. 27, 2020",13.27%
"Jan. 24, 2020",11.98%
"Jan. 23, 2020",16.41%
"Jan. 22, 2020",15.90%
"Jan. 21, 2020",18.13%
"Jan. 17, 2020",17.88%
"Jan. 16, 2020",19.39%
"Jan. 15, 2020",19.00%
"Jan. 14, 2020",18.97%
"Jan. 13, 2020",17.68%
"Jan. 10, 2020",11.49%
"Jan. 9, 2020",13.99%
"Jan. 8, 2020",10.69%
"Jan. 7, 2020",14.60%
"Jan. 6, 2020",14.48%
"Jan. 3, 2020",11.17%
"Jan. 2, 2020",8.72%
"Dec. 31, 2019",7.26%
"Dec. 30, 2019",6.20%
"Dec. 27, 2019",3.18%
"Dec. 26, 2019",5.75%
"Dec. 24, 2019",5.42%
"Dec. 23, 2019",4.88%
"Dec. 20, 2019",2.29%
"Dec. 19, 2019",0.50%
"Dec. 18, 2019",4.10%
"Dec. 17, 2019",3.47%
"Dec. 16, 2019",3.36%
"Dec. 13, 2019",-4.33%
"Dec. 12, 2019",0.76%
"Dec. 11, 2019",-1.85%
"Dec. 10, 2019",-1.64%
"Dec. 9, 2019",-1.61%
"Dec. 6, 2019",4.10%
"Dec. 5, 2019",3.31%
"Dec. 4, 2019",5.70%
"Dec. 3, 2019",3.23%
"Dec. 2, 2019",5.65%
"Nov. 29, 2019",26.59%
"Nov. 27, 2019",19.70%
"Nov. 26, 2019",20.56%
"Nov. 25, 2019",22.80%
"Nov. 22, 2019",22.33%
"Nov. 21, 2019",26.70%
"Nov. 20, 2019",31.70%
"Nov. 19, 2019",29.88%
"Nov. 18, 2019",31.04%
"Nov. 15, 2019",34.45%
"Nov. 14, 2019",41.15%
"Nov. 13, 2019",44.96%
"Nov. 12, 2019",50.92%
"Nov. 11, 2019",53.01%
"Nov. 8, 2019",50.50%
"Nov. 7, 2019",49.09%
"Nov. 6, 2019",47.91%
"Nov. 5, 2019",50.15%
"Nov. 4, 2019",49.16%
"Nov. 1, 2019",44.01%
"Oct. 31, 2019",37.06%
"Oct. 30, 2019",28.75%
"Oct. 29, 2019",34.79%
"Oct. 28, 2019",32.35%
"Oct. 25, 2019",31.20%
"Oct. 24, 2019",28.05%
"Oct. 23, 2019",26.27%
"Oct. 22, 2019",28.03%
"Oct. 21, 2019",24.92%
"Oct. 18, 2019",27.40%
"Oct. 17, 2019",28.22%
"Oct. 16, 2019",26.17%
"Oct. 15, 2019",27.91%
"Oct. 14, 2019",29.96%
"Oct. 11, 2019",27.01%
"Oct. 10, 2019",22.17%
"Oct. 9, 2019",21.25%
"Oct. 8, 2019",17.05%
"Oct. 7, 2019",18.15%
"Oct. 4, 2019",19.41%
"Oct. 3, 2019",14.64%
"Oct. 2, 2019",10.63%
"Oct. 1, 2019",13.05%
"Sept. 30, 2019",12.79%
"Sept. 27, 2019",28.46%
"Sept. 26, 2019",29.50%
"Sept. 25, 2019",35.41%
"Sept. 24, 2019",37.11%
"Sept. 23, 2019",39.65%
"Sept. 20, 2019",43.79%
"Sept. 19, 2019",42.69%
"Sept. 18, 2019",43.95%
"Sept. 17, 2019",45.87%
"Sept. 16, 2019",51.23%
"Sept. 13, 2019",32.34%
"Sept. 12, 2019",27.27%
"Sept. 11, 2019",30.11%
"Sept. 10, 2019",26.62%
"Sept. 9, 2019",28.33%
"Sept. 6, 2019",25.00%
"Sept. 5, 2019",22.44%
"Sept. 4, 2019",22.53%
"Sept. 3, 2019",19.22%
"Aug. 30, 2019",12.25%
"Aug. 29, 2019",10.32%
"Aug. 28, 2019",8.40%
"Aug. 27, 2019",5.36%
"Aug. 26, 2019",5.74%
"Aug. 23, 2019",5.57%
"Aug. 22, 2019",13.79%
"Aug. 21, 2019",13.28%
"Aug. 20, 2019",9.38%
"Aug. 19, 2019",10.34%
"Aug. 16, 2019",5.56%
"Aug. 15, 2019",5.24%
"Aug. 14, 2019",5.47%
"Aug. 13, 2019",10.20%
"Aug. 12, 2019",7.98%
"Aug. 9, 2019",9.38%
"Aug. 8, 2019",7.92%
"Aug. 7, 2019",6.19%
"Aug. 6, 2019",5.23%
"Aug. 5, 2019",7.65%
"Aug. 2, 2019",19.71%
"Aug. 1, 2019",24.26%
"July 31, 2019",20.86%
"July 30, 2019",15.56%
"July 29, 2019",11.80%
"July 26, 2019",11.46%
"July 25, 2019",13.26%
"July 24, 2019",11.97%
"July 23, 2019",11.31%
"July 22, 2019",11.64%
"July 19, 2019",8.02%
"July 18, 2019",3.91%
"July 17, 2019",4.78%
"July 16, 2019",8.38%
"July 15, 2019",9.20%
"July 12, 2019",4.99%
"July 11, 2019",11.45%
"July 10, 2019",11.21%
"July 9, 2019",9.22%
"July 8, 2019",8.63%
"July 5, 2019",10.62%
"July 3, 2019",3.77%
"July 2, 2019",4.14%
"July 1, 2019",6.85%
"June 28, 2019",15.29%
"June 27, 2019",22.15%
"June 26, 2019",17.11%
"June 25, 2019",11.39%
"June 24, 2019",10.32%
"June 21, 2019",4.26%
"June 20, 2019",5.14%
"June 19, 2019",3.44%
"June 18, 2019",3.07%
"June 17, 2019",1.58%
"June 14, 2019",-0.99%
"June 13, 2019",1.43%
"June 12, 2019",-1.72%
"June 11, 2019",0.52%
"June 10, 2019",-0.73%
"June 7, 2019",-8.15%
"June 6, 2019",-7.94%
"June 5, 2019",-7.16%
"June 4, 2019",-4.32%
"June 3, 2019",-6.22%
"May 31, 2019",-6.79%
"May 30, 2019",-4.05%
"May 29, 2019",-2.81%
"May 28, 2019",-1.74%
"May 24, 2019",2.18%
"May 23, 2019",0.72%
"May 22, 2019",11.15%
"May 21, 2019",15.26%
"May 20, 2019",13.22%
"May 17, 2019",13.93%
"May 16, 2019",13.57%
