date,six_month_return
"March 19, 2020",-52.53%
"March 18, 2020",-54.95%
"March 17, 2020",-54.84%
"March 16, 2020",-55.83%
"March 13, 2020",-44.76%
"March 12, 2020",-48.27%
"March 11, 2020",-43.51%
"March 10, 2020",-37.23%
"March 9, 2020",-48.52%
"March 6, 2020",-22.36%
"March 5, 2020",-16.17%
"March 4, 2020",-12.36%
"March 3, 2020",-8.82%
"March 2, 2020",-9.15%
"Feb. 28, 2020",-8.55%
"Feb. 27, 2020",-7.85%
"Feb. 26, 2020",-6.74%
"Feb. 25, 2020",-3.64%
"Feb. 24, 2020",1.11%
"Feb. 21, 2020",-0.63%
"Feb. 20, 2020",3.39%
"Feb. 19, 2020",0.67%
"Feb. 18, 2020",2.21%
"Feb. 14, 2020",1.65%
"Feb. 13, 2020",-3.27%
"Feb. 12, 2020",-3.29%
"Feb. 11, 2020",-7.36%
"Feb. 10, 2020",-9.35%
"Feb. 7, 2020",-4.43%
"Feb. 6, 2020",-0.82%
"Feb. 5, 2020",0.83%
"Feb. 4, 2020",-6.91%
"Feb. 3, 2020",-8.91%
"Jan. 31, 2020",-12.75%
"Jan. 30, 2020",-5.55%
"Jan. 29, 2020",-3.60%
"Jan. 28, 2020",3.83%
"Jan. 27, 2020",3.88%
"Jan. 24, 2020",6.29%
"Jan. 23, 2020",10.44%
"Jan. 22, 2020",11.22%
"Jan. 21, 2020",13.00%
"Jan. 17, 2020",17.18%
"Jan. 16, 2020",13.95%
"Jan. 15, 2020",12.72%
"Jan. 14, 2020",10.98%
"Jan. 13, 2020",9.77%
"Jan. 10, 2020",8.44%
"Jan. 9, 2020",11.35%
"Jan. 8, 2020",11.04%
"Jan. 7, 2020",12.59%
"Jan. 6, 2020",12.46%
"Jan. 3, 2020",11.89%
"Jan. 2, 2020",8.11%
"Dec. 31, 2019",5.10%
"Dec. 30, 2019",4.06%
"Dec. 27, 2019",3.38%
"Dec. 26, 2019",3.17%
"Dec. 24, 2019",9.17%
"Dec. 23, 2019",9.30%
"Dec. 20, 2019",5.74%
"Dec. 19, 2019",8.10%
"Dec. 18, 2019",10.82%
"Dec. 17, 2019",11.77%
"Dec. 16, 2019",12.84%
"Dec. 13, 2019",6.88%
"Dec. 12, 2019",11.76%
"Dec. 11, 2019",6.21%
"Dec. 10, 2019",7.77%
"Dec. 9, 2019",9.20%
"Dec. 6, 2019",12.14%
"Dec. 5, 2019",12.50%
"Dec. 4, 2019",9.63%
"Dec. 3, 2019",9.25%
"Dec. 2, 2019",9.54%
"Nov. 29, 2019",6.06%
