Cash Flow - Operations (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03
Net Income,389.60M,369.46M,240.53M,258.65M,-62.32M,539.82M,248.86M,136.20M,-475.71M,401.64M,413.37M,86.05M,-1.766B,393.20M,572.59M,235.24M,104.85M,-718.23M,153.72M,302.93M,125.01M,234.92M,194.28M,406.05M,151.35M,244.18M,168.06M,166.98M,301.85M,342.67M,370.58M,-146.74M,160.03M,633.07M,320.60M,253.68M,233.31M,497.90M,320.28M,218.81M,318.74M,460.17M,231.81M,240.33M,190.54M,460.32M,280.93M,308.75M,193.89M,461.16M,267.60M,212.20M,245.67M,411.50M,273.76M,201.67M,71.02M,356.39M,292.55M,178.38M,160.97M,288.05M,271.01M,213.02M,-33.62M,371.65M,211.52M,400.92M,81.67M,366.80M,247.58M,-72.98M,26.60M,317.45M,245.58M,160.87M,50.04M,306.69M,245.77M,108.41M,16.18M,296.16M,209.76M,72.90M,247.00M,262.60M,216.00M,60.00M,-77.50M,93.30M,158.70M,126.40M,53.70M,299.10M,206.80M,-69.00M,81.70M,263.10M,162.70M,55.00M,-16.50M,143.20M,144.40M,70.70M,36.50M,233.40M,130.90M,57.30M
Gain/Loss on Sale Business,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earnings Loss from Eq. Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.501M,3.501M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Gains Losses,,,,,,,,,16.27M,0.00,0.00,-16.27M,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435.64M,-508.66M,36.81M,36.21M,72.31M,84.51M,-172.46M,21.92M,-281.12M,68.70M,-214.61M,-3.268M,-314.89M,51.81M,-109.11M,-4.224M,599.32M,50.14M,-5.193M,-38.20M,-16.13M,-63.44M,-6.847M,-277.81M,-0.591M,-67.75M,-176.58M,330.24M,-53.50M,-501.19M,-58.75M,-6.646M,66.24M,25.49M,-78.20M,-2.929M,9.747M,51.63M,-103.28M,-34.00M,-173.20M,136.00M,-28.20M,-37.10M,-221.20M,110.10M,242.50M,-24.60M,-365.90M,103.40M,102.20M,297.30M,102.50M,120.00M,79.50M,78.60M,84.40M,139.90M,94.30M,63.80M,40.00M,76.20M,32.30M,44.00M
Total Depreciation and Amortization,547.64M,565.87M,538.58M,530.22M,523.21M,489.74M,502.43M,525.18M,517.01M,518.89M,511.30M,531.37M,574.42M,536.12M,512.50M,500.25M,504.55M,542.80M,543.88M,526.01M,542.34M,543.58M,525.53M,516.44M,539.09M,524.04M,476.02M,472.93M,477.98M,461.00M,382.65M,450.01M,429.72M,463.70M,429.62M,422.41M,445.79M,427.76M,408.35M,423.43M,382.75M,378.91M,348.76M,348.44M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total Depreciation, Amortization, Depletion",547.64M,565.87M,538.58M,530.22M,523.21M,489.74M,502.43M,525.18M,517.01M,518.89M,511.30M,531.37M,574.42M,536.12M,512.50M,500.25M,504.55M,542.80M,543.88M,526.01M,542.34M,543.58M,525.53M,516.44M,539.09M,524.04M,476.02M,472.93M,477.98M,461.00M,382.65M,450.01M,429.72M,463.70M,429.62M,422.41M,445.79M,427.76M,408.35M,423.43M,382.75M,378.91M,348.76M,348.44M,494.74M,311.17M,294.79M,290.98M,297.98M,282.66M,280.73M,270.24M,269.53M,269.00M,254.82M,241.81M,254.46M,252.94M,241.37M,253.09M,269.32M,274.07M,252.74M,249.00M,251.66M,256.60M,239.81M,248.54M,219.64M,222.61M,214.07M,213.32M,216.27M,111.13M,196.97M,216.43M,215.62M,210.97M,192.80M,196.61M,194.43M,183.91M,482.16M,,,,,,,,,,,,,,,,,,,,,,,,,
Deferred Taxes,-179.77M,147.97M,120.86M,104.88M,-339.49M,-6.091M,-15.88M,104.61M,619.66M,233.62M,-340.72M,16.50M,-955.86M,289.63M,-245.44M,75.42M,-552.37M,-447.99M,84.27M,95.73M,116.55M,122.81M,123.47M,234.10M,137.74M,11.86M,63.52M,98.67M,-137.71M,233.88M,-161.52M,38.86M,-274.05M,-311.10M,131.34M,173.78M,194.63M,181.72M,209.11M,133.53M,351.89M,263.35M,94.42M,155.03M,-227.76M,196.37M,267.35M,97.98M,-34.19M,2.506M,123.60M,384.32M,829.08M,-517.71M,479.53M,-52.26M,283.51M,111.72M,68.70M,23.88M,128.82M,8.062M,106.89M,31.68M,190.04M,813.62M,41.50M,144.37M,-86.76M,1.423M,21.85M,-193.18M,140.79M,-46.36M,-14.34M,7.665M,132.53M,17.00M,5.582M,-30.65M,-8.736M,-0.354M,-171.51M,-8.90M,60.70M,-36.90M,-33.40M,-54.90M,-83.10M,-99.80M,-16.40M,-53.70M,134.20M,-7.60M,-4.70M,-45.00M,-28.10M,-0.80M,17.90M,-20.00M,-159.40M,-6.10M,12.60M,1.10M,1.70M,16.40M,7.80M,-8.20M
Asset Impairment Charge,1.503M,198.49M,1.222M,25.46M,281.48M,158.76M,25.70M,25.80M,115.41M,21.01M,75.80M,145.03M,2.802B,18.84M,6.968M,7.361M,462.70M,1.642B,0.00,0.00,16.61M,106.92M,,,50.03M,291.50M,,,0.00,0.00,0.00,355.52M,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Noncash Items,-239.08M,60.14M,-182.20M,-278.00M,285.31M,-289.20M,114.48M,-76.17M,-298.10M,-2.34M,-66.29M,-199.51M,-162.33M,43.01M,-76.32M,-226.04M,103.39M,86.76M,41.86M,-97.67M,-588.81M,44.05M,-1.313M,-101.88M,306.01M,72.40M,-63.64M,-0.269M,-69.87M,-146.00M,73.21M,-49.48M,-604.85M,0.00,0.00,0.00,,-178.37M,78.96M,99.42M,-150.94M,-130.32M,48.89M,50.98M,-1.440B,1.273B,0.101M,-2.909M,166.22M,4.324M,53.34M,10.94M,251.84M,-365.06M,267.70M,-200.98M,207.52M,-314.90M,-80.77M,92.30M,-22.50M,-15.10M,-71.20M,-24.68M,-59.72M,-19.89M,168.46M,21.54M,-29.05M,29.82M,172.42M,22.06M,59.57M,162.70M,36.96M,35.47M,26.16M,29.89M,91.68M,8.036M,20.88M,-119.19M,-95.89M,228.40M,-992.90M,304.30M,287.00M,332.40M,737.40M,248.10M,97.70M,319.70M,569.50M,250.60M,180.70M,145.40M,39.80M,225.70M,261.20M,115.30M,308.20M,103.10M,177.00M,174.90M,135.20M,103.80M,124.70M,131.60M
Change in Receivables,129.78M,-103.75M,-166.96M,39.70M,252.25M,-108.19M,-176.66M,131.15M,100.39M,-204.12M,-150.11M,156.20M,173.87M,-213.17M,-134.20M,76.53M,260.46M,-122.14M,-122.46M,22.29M,217.60M,-71.99M,-96.23M,49.11M,93.23M,-55.60M,-188.43M,-29.84M,147.81M,-109.83M,-208.39M,156.20M,241.62M,-45.27M,-270.96M,102.71M,143.69M,-65.88M,-221.28M,43.83M,101.59M,12.97M,-100.54M,102.43M,344.00M,-48.54M,-207.44M,-9.374M,254.81M,-194.37M,-189.23M,66.14M,197.73M,-108.17M,-9.539M,328.02M,308.58M,-551.69M,-259.17M,134.94M,132.52M,-158.56M,-197.13M,12.76M,186.83M,-58.45M,-226.23M,-42.76M,189.24M,-93.39M,-213.72M,73.91M,268.88M,-22.03M,-57.17M,112.55M,101.69M,-319.43M,-256.87M,37.46M,392.54M,44.34M,-434.58M,6.90M,462.90M,-384.20M,-233.40M,178.90M,75.70M,-183.90M,-106.40M,115.20M,130.30M,-59.00M,-138.70M,37.10M,157.50M,-96.60M,-195.70M,104.20M,99.00M,-37.20M,-152.00M,89.80M,108.30M,-93.50M,-91.40M,35.90M
Change in Inventories,-13.77M,-1.053M,-8.945M,-4.401M,-3.889M,41.22M,24.77M,-16.26M,-23.79M,14.53M,-0.252M,6.465M,9.31M,19.31M,18.68M,-9.089M,-4.798M,-3.83M,18.80M,-22.55M,-26.34M,-2.262M,16.18M,15.94M,-11.55M,10.23M,11.34M,-5.147M,-2.541M,10.16M,0.991M,-20.21M,-7.284M,18.13M,7.051M,-12.51M,-13.99M,-1.674M,11.33M,-6.324M,9.461M,13.79M,13.67M,-17.63M,12.32M,-7.624M,10.41M,-22.66M,-10.84M,10.92M,-10.73M,0.194M,9.445M,17.30M,14.96M,-28.61M,-72.72M,-19.47M,12.34M,-3.273M,3.96M,1.883M,-11.49M,-11.10M,14.09M,-3.023M,-3.053M,-22.02M,1.223M,7.139M,5.90M,-13.23M,21.48M,-5.197M,28.71M,-48.41M,6.213M,1.756M,-2.633M,-25.78M,27.15M,8.049M,-25.40M,-11.20M,2.30M,22.20M,-5.60M,9.50M,-48.60M,30.90M,5.60M,32.40M,-16.90M,-7.60M,-15.90M,23.20M,4.80M,3.40M,-27.60M,-9.60M,-6.90M,-5.80M,6.10M,23.60M,-22.10M,16.60M,0.20M,4.10M
Change in Prepaid Assets,,,,,,,,,,,,,-58.39M,22.37M,23.05M,-16.00M,-26.26M,127.26M,48.91M,-67.94M,-82.73M,59.06M,40.51M,-79.83M,-136.48M,52.03M,-22.53M,-35.65M,10.86M,57.07M,77.14M,-89.58M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Change in Payables and Accrued Expense,88.24M,-122.82M,71.08M,-128.24M,27.74M,26.74M,222.48M,-135.17M,151.58M,-18.72M,123.97M,-120.44M,80.64M,50.58M,130.77M,-94.90M,-21.98M,-1.098M,72.67M,-196.25M,56.12M,-92.30M,40.14M,8.068M,196.98M,-255.03M,220.25M,-71.43M,-124.47M,117.48M,179.15M,-177.79M,-119.20M,72.07M,167.28M,-286.29M,38.73M,74.18M,135.35M,-130.96M,-114.48M,-64.80M,94.18M,-184.20M,-28.41M,-182.04M,299.18M,9.522M,52.69M,-18.63M,145.14M,-282.25M,306.92M,-105.05M,-29.33M,-256.42M,-205.45M,523.33M,150.58M,-165.27M,110.09M,-47.90M,207.78M,-174.66M,221.96M,-128.35M,93.13M,-246.91M,218.23M,77.98M,58.75M,-68.72M,52.59M,-33.98M,-68.12M,-365.64M,273.45M,84.69M,212.70M,-27.24M,-209.58M,-108.52M,373.80M,-20.50M,-255.20M,324.80M,176.50M,-214.90M,121.70M,83.50M,177.60M,-201.60M,53.00M,-81.00M,40.70M,-33.00M,51.60M,4.00M,-4.30M,-70.40M,106.30M,10.20M,52.90M,-103.60M,46.60M,-5.60M,-2.20M,-48.00M
Change in Other Current Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-482.96M,482.96M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.22M,,73.76M,-73.76M,-66.90M,154.21M,-154.21M,,-36.40M,18.03M,-9.529M,-8.50M,,,,,,,,,,,,,,,,,,,,,,,,
