Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03
Cash,34.24M,70.40M,61.20M,118.38M,56.69M,64.79M,55.20M,57.92M,56.63M,87.30M,67.24M,60.87M,129.58M,101.90M,103.28M,81.62M,63.50M,79.64M,60.00M,67.12M,131.33M,90.91M,148.64M,108.05M,129.98M,102.95M,86.32M,66.11M,112.99M,97.00M,90.28M,63.12M,81.47M,135.67M,94.97M,103.80M,76.29M,87.62M,77.16M,75.45M,85.86M,62.90M,75.26M,94.37M,115.88M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Equivalents,425.72M,955.83M,635.91M,983.50M,480.98M,987.98M,812.79M,1.206B,781.27M,546.29M,934.50M,1.083B,1.188B,1.307B,996.10M,1.092B,1.351B,1.041B,910.37M,1.181B,1.422B,1.069B,650.07M,908.48M,739.13M,365.33M,311.37M,262.93M,532.57M,749.72M,283.39M,685.00M,694.44M,987.14M,529.86M,726.24M,1.294B,1.931B,1.336B,1.657B,1.710B,1.131B,1.281B,1.803B,1.920B,2.556B,1.086B,943.33M,1.273B,1.467B,1.320B,1.080B,1.016B,745.03M,728.93M,150.64M,582.82M,96.59M,104.99M,73.46M,79.14M,587.84M,585.70M,874.96M,692.23M,577.54M,1.078B,377.46M,1.335B,948.85M,730.66M,763.30M,751.57M,901.28M,698.70M,1.030B,1.382B,1.233B,1.797B,1.686B,1.214B,1.344B,1.086B,1.086B,1.184B,808.20M,773.30M,989.00M,830.50M,861.80M,687.50M,618.20M,388.70M,607.40M,345.70M,608.40M,544.60M,724.80M,462.20M,581.30M,622.00M,693.90M,461.80M,504.10M,600.30M,600.30M,600.30M,600.30M
Short Term Investments,,,,,,,,,,,,,,,,,,,,,,,,,,49.74M,36.92M,44.44M,46.04M,,,,50.30M,,,,,,,,,20.42M,9.10M,19.89M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,425.72M,955.83M,635.91M,983.50M,480.98M,987.98M,812.79M,1.206B,781.27M,546.29M,934.50M,1.083B,1.188B,1.307B,996.10M,1.092B,1.351B,1.041B,910.37M,1.181B,1.422B,1.069B,650.07M,908.48M,739.13M,415.07M,348.29M,307.37M,578.61M,749.72M,283.39M,685.00M,744.74M,987.14M,529.86M,726.24M,1.294B,1.931B,1.336B,1.657B,1.710B,1.151B,1.290B,1.823B,1.920B,2.556B,1.086B,943.33M,1.273B,1.467B,1.320B,1.080B,1.016B,745.03M,728.93M,150.64M,582.82M,96.59M,104.99M,73.46M,79.14M,587.84M,585.70M,874.96M,692.23M,577.54M,1.078B,377.46M,1.335B,948.85M,730.66M,763.30M,751.57M,901.28M,698.70M,1.030B,1.382B,1.233B,1.797B,1.686B,1.214B,1.344B,1.086B,1.086B,1.184B,808.20M,773.30M,989.00M,830.50M,861.80M,687.50M,618.20M,388.70M,607.40M,345.70M,608.40M,544.60M,724.80M,462.20M,581.30M,622.00M,693.90M,461.80M,504.10M,600.30M,600.30M,600.30M,600.30M
Accounts Receivable,588.10M,724.78M,646.06M,582.06M,551.17M,774.04M,648.20M,602.14M,659.76M,740.92M,566.73M,499.70M,643.07M,713.58M,499.66M,518.21M,568.60M,766.38M,598.21M,602.84M,561.25M,730.62M,669.80M,667.47M,636.33M,719.55M,619.73M,604.57M,536.92M,661.50M,678.33M,568.52M,537.40M,919.28M,825.12M,667.64M,732.68M,866.89M,615.44M,542.22M,678.36M,763.24M,566.54M,994.98M,1.198B,1.166B,1.046B,936.54M,888.00M,1.086B,903.04M,790.10M,878.43M,1.051B,942.22M,926.89M,1.058B,1.314B,761.80M,690.11M,753.72M,874.49M,678.15M,627.60M,620.67M,760.77M,741.84M,635.62M,542.63M,705.95M,599.03M,477.63M,564.35M,755.85M,672.95M,724.83M,887.00M,907.93M,649.30M,486.80M,496.92M,783.10M,1.731B,1.448B,1.427B,1.107B,806.60M,641.80M,691.80M,835.60M,724.40M,721.10M,425.00M,533.00M,460.80M,427.10M,399.40M,512.70M,400.80M,338.70M,424.30M,484.40M,442.50M,375.20M,415.40M,415.40M,415.40M,415.30M
Other Receivables,219.87M,132.55M,130.48M,158.29M,167.72M,166.22M,150.08M,163.04M,169.38M,152.33M,138.28M,134.22M,158.42M,227.28M,237.48M,170.77M,178.36M,190.98M,191.93M,174.03M,220.34M,219.30M,191.15M,184.62M,195.03M,170.62M,224.06M,157.98M,161.41M,155.04M,,,166.19M,,,,,,177.16M,144.12M,,,206.24M,-248.68M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Receivables,1.209B,1.338B,1.235B,1.075B,1.114B,1.367B,1.258B,1.082B,1.213B,1.313B,1.120B,973.14M,1.170B,1.380B,1.170B,993.42M,1.069B,1.333B,1.190B,1.068B,1.103B,1.313B,1.233B,1.128B,1.172B,1.268B,1.222B,1.032B,1.002B,1.147B,1.037B,829.06M,1.002B,1.248B,1.203B,932.14M,1.036B,1.217B,1.166B,937.00M,980.83M,1.082B,1.095B,994.98M,1.198B,1.441B,1.393B,1.185B,1.176B,1.431B,1.237B,1.021B,1.128B,1.343B,1.222B,1.161B,1.536B,1.844B,1.359B,1.068B,1.214B,1.346B,1.188B,993.20M,1.006B,1.189B,1.173B,947.16M,861.76M,1.071B,1.003B,755.89M,833.03M,1.125B,1.118B,1.091B,1.302B,1.342B,1.025B,761.01M,795.54M,1.129B,2.096B,1.672B,1.672B,1.672B,1.340B,1.104B,1.272B,1.348B,1.203B,1.189B,776.40M,906.10M,850.50M,711.00M,692.90M,847.40M,751.50M,555.40M,664.90M,770.20M,733.70M,582.30M,672.70M,672.70M,672.70M,672.60M
Inventories,970.46M,935.55M,917.72M,893.41M,870.15M,880.69M,926.65M,940.58M,905.86M,878.64M,869.08M,854.40M,878.12M,1.107B,1.112B,1.101B,1.091B,1.095B,1.151B,1.158B,1.124B,1.109B,1.110B,1.119B,1.124B,1.104B,1.143B,1.147B,1.142B,1.136B,1.134B,1.119B,1.097B,1.075B,1.082B,1.087B,1.074B,1.046B,1.038B,1.037B,1.023B,1.022B,1.019B,1.016B,992.32M,983.68M,946.02M,935.66M,900.96M,880.75M,874.64M,814.64M,798.10M,797.41M,798.40M,799.06M,817.13M,727.05M,693.38M,701.91M,696.66M,698.19M,687.29M,676.64M,659.40M,676.91M,668.80M,645.99M,622.37M,612.38M,573.37M,575.87M,558.14M,576.52M,547.56M,579.99M,519.04M,483.89M,514.76M,511.36M,465.63M,848.40M,680.20M,615.60M,634.70M,758.00M,739.90M,624.30M,637.80M,584.90M,595.60M,585.20M,601.40M,560.90M,566.00M,524.70M,493.40M,506.20M,539.70M,474.20M,459.20M,447.00M,442.90M,445.80M,470.60M,470.60M,470.60M,470.60M
Prepaid Expenses,283.64M,258.70M,267.30M,205.32M,234.33M,248.11M,249.64M,231.95M,156.33M,366.32M,252.79M,208.36M,193.45M,285.79M,292.84M,541.62M,344.87M,400.11M,446.88M,304.11M,343.22M,281.80M,600.76M,424.75M,410.49M,247.58M,263.29M,225.38M,242.92M,371.69M,367.74M,452.04M,291.74M,284.42M,541.87M,618.99M,547.84M,500.29M,467.80M,733.67M,386.04M,258.24M,351.89M,362.48M,247.18M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Tax Assets,,,,,,,,,,,,,,,,,,2.951M,15.58M,22.95M,27.78M,14.16M,33.24M,64.89M,175.07M,84.06M,112.61M,192.82M,306.90M,4.533M,4.337M,4.65M,9.856M,5.292M,6.975M,9.301M,8.472M,4.508M,25.40M,24.16M,0.00,0.00,69.14M,36.23M,7.307M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Assets,,,,,,,,,,,,,,,,,,,,,,,,,,6.256M,14.60M,16.88M,16.88M,70.03M,72.81M,86.16M,36.80M,233.66M,100.29M,88.84M,95.20M,62.26M,59.05M,105.04M,83.10M,167.22M,334.29M,394.00M,406.06M,905.98M,1.313B,881.82M,608.22M,459.75M,605.47M,380.37M,383.59M,300.49M,552.73M,1.174B,1.127B,1.407B,1.021B,1.314B,1.088B,456.95M,554.41M,490.52M,562.08M,597.83M,626.45M,530.71M,386.13M,318.10M,391.88M,363.74M,613.78M,754.17M,702.34M,667.39M,754.15M,690.77M,544.04M,373.91M,729.09M,630.80M,221.10M,233.60M,152.30M,236.20M,321.80M,346.70M,431.00M,499.30M,586.00M,602.50M,596.00M,570.80M,592.30M,583.20M,584.30M,535.40M,521.90M,477.60M,487.80M,460.40M,463.70M,441.60M,431.50M,431.50M,431.50M,431.60M
Total Current Assets,3.046B,3.662B,3.284B,3.408B,2.958B,3.695B,3.534B,3.656B,3.285B,3.471B,3.599B,3.397B,3.684B,4.340B,3.852B,4.001B,4.067B,4.117B,4.085B,4.140B,4.390B,4.265B,4.245B,4.193B,3.930B,3.490B,3.592B,3.323B,3.683B,3.808B,3.204B,3.476B,3.623B,4.154B,3.863B,3.778B,4.339B,5.047B,4.363B,4.733B,4.534B,3.967B,4.430B,4.865B,5.160B,5.887B,4.738B,3.946B,3.958B,4.238B,4.037B,3.296B,3.325B,3.186B,3.302B,3.284B,4.063B,4.075B,3.179B,3.157B,3.077B,3.089B,3.016B,3.035B,2.919B,3.041B,3.546B,2.501B,3.206B,2.950B,2.699B,2.459B,2.757B,3.357B,3.067B,3.368B,3.958B,3.749B,3.881B,3.332B,3.204B,3.953B,4.083B,3.607B,3.644B,3.474B,3.175B,3.064B,3.171B,3.294B,3.072B,2.995B,2.362B,2.645B,2.354B,2.427B,2.315B,2.614B,2.275B,2.088B,2.234B,2.372B,2.102B,1.974B,2.175B,2.175B,2.175B,2.175B
Other Properties,1.013B,774.84M,768.00M,750.06M,918.65M,1.360B,1.349B,1.343B,1.490B,1.318B,1.320B,1.315B,1.492B,1.307B,1.306B,1.322B,1.805B,1.637B,1.572B,1.571B,1.750B,1.551B,1.277B,1.308B,1.554B,1.379B,1.378B,1.383B,1.858B,1.805B,1.765B,1.759B,1.701B,1.663B,1.712B,1.793B,1.636B,1.521B,1.517B,1.488B,1.515B,37.54B,37.17B,36.81B,1.333B,36.34B,35.73B,35.52B,35.03B,34.49B,34.88B,32.85B,32.58B,30.95B,31.92B,31.39B,30.68B,30.31B,31.33B,30.82B,30.64B,30.30B,30.14B,29.82B,29.54B,28.86B,28.57B,28.46B,28.27B,28.46B,28.09B,27.84B,27.81B,27.83B,27.37B,27.35B,26.99B,25.71B,25.15B,26.81B,24.90B,24.94B,24.74B,24.59B,24.49B,27.58B,18.38B,27.32B,27.15B,27.22B,27.05B,26.91B,24.64B,24.46B,24.33B,24.23B,23.60B,23.52B,23.27B,23.11B,23.08B,23.15B,22.80B,22.67B,22.65B,22.65B,22.65B,22.65B
