Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Operating Revenue,2.462B,3.141B,2.666B,2.610B,2.512B,3.104B,2.669B,2.724B,2.624B,3.244B,2.619B,2.588B,2.649B,3.125B,2.463B,2.610B,2.509B,3.371B,2.713B,2.920B,2.831B,3.458B,2.997B,3.209B,2.692B,3.352B,2.738B,2.609B,2.436B,2.964B,2.519B,2.384B,2.489B,3.396B,2.803B,2.541B,2.533B,3.332B,2.863B,2.759B,2.499B,2.937B,2.521B,2.789B,3.001B,3.964B,3.264B,2.865B,2.732B,3.289B,2.769B,2.694B,2.481B,3.255B,2.629B,2.568B,2.652B,2.898B,2.445B,2.110B,1.985B,2.964B,2.485B,2.252B,2.103B,2.700B,2.354B,2.038B,1.879B,2.469B,2.097B,1.861B,1.897B,2.576B,2.506B,2.652B,2.641B,3.432B,2.138B,1.811B,1.745B,3.064B,2.316B,1.640B,2.085B,4.587B,2.509B,2.313B,2.518B,2.798B,2.178B,2.046B,1.562B,2.148B,1.854B,1.599B,1.416B,1.955B,1.565B,1.337B,1.184B,1.806B,1.586B,1.406B,1.068B,1.411B,1.070B,926.40M,1.004B,1.238B,958.10M,916.50M,921.90M,1.255B,981.40M,893.00M,926.20M,1.227B,939.30M,889.40M,883.90M,1.102B,931.00M,931.00M,843.80M,1.095B,819.70M,806.60M,778.50M,1.075B,831.60M,769.70M,796.90M,1.073B,810.80M,804.80M,809.60M,809.60M,750.00M,754.10M,723.20M,953.50M,729.20M,740.00M
Revenue,2.462B,3.141B,2.666B,2.610B,2.512B,3.104B,2.669B,2.724B,2.624B,3.244B,2.619B,2.588B,2.649B,3.125B,2.463B,2.610B,2.509B,3.371B,2.713B,2.920B,2.831B,3.458B,2.997B,3.209B,2.692B,3.352B,2.738B,2.609B,2.436B,2.964B,2.519B,2.384B,2.489B,3.396B,2.803B,2.541B,2.533B,3.332B,2.863B,2.759B,2.499B,2.937B,2.521B,2.789B,3.001B,3.964B,3.264B,2.865B,2.732B,3.289B,2.769B,2.694B,2.481B,3.255B,2.629B,2.568B,2.652B,2.898B,2.445B,2.110B,1.985B,2.964B,2.485B,2.252B,2.103B,2.700B,2.354B,2.038B,1.879B,2.469B,2.097B,1.861B,1.897B,2.576B,2.506B,2.652B,2.641B,3.432B,2.138B,1.811B,1.745B,3.064B,2.316B,1.640B,2.085B,4.587B,2.509B,2.313B,2.518B,2.798B,2.178B,2.046B,1.562B,2.148B,1.854B,1.599B,1.416B,1.955B,1.565B,1.337B,1.184B,1.806B,1.586B,1.406B,1.068B,1.411B,1.070B,926.40M,1.004B,1.238B,958.10M,916.50M,921.90M,1.255B,981.40M,893.00M,926.20M,1.227B,939.30M,889.40M,883.90M,1.102B,931.00M,931.00M,843.80M,1.095B,819.70M,806.60M,778.50M,1.075B,831.60M,769.70M,796.90M,1.073B,810.80M,804.80M,809.60M,809.60M,750.00M,754.10M,723.20M,953.50M,729.20M,740.00M
Cost of Goods Sold,1.571B,1.771B,1.706B,1.651B,1.822B,2.061B,1.758B,1.666B,1.745B,1.839B,1.646B,1.665B,1.757B,1.726B,1.430B,1.550B,1.764B,2.110B,1.768B,1.807B,1.971B,2.238B,2.003B,1.914B,1.890B,2.115B,1.886B,1.698B,1.600B,1.761B,1.613B,1.609B,3.779B,1.390B,1.078B,934.30M,927.59M,1.298B,1.112B,1.096B,805.72M,1.009B,904.22M,1.226B,1.620B,2.034B,1.531B,1.161B,1.164B,1.330B,1.197B,1.232B,1.188B,1.638B,1.282B,1.302B,1.425B,1.397B,1.067B,930.61M,783.47M,1.448B,1.083B,999.65M,1.006B,1.137B,983.28M,756.74M,674.91M,918.87M,729.62M,663.53M,761.92M,1.229B,1.295B,1.507B,1.538B,1.971B,983.59M,885.86M,876.47M,1.744B,1.185B,796.30M,1.044B,3.024B,1.157B,1.150B,,,822.60M,836.90M,521.30M,717.80M,608.40M,548.20M,426.20M,588.90M,431.90M,390.50M,397.80M,517.80M,483.80M,456.20M,345.80M,390.60M,276.30M,250.80M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,890.86M,1.370B,960.19M,958.26M,690.23M,1.044B,910.47M,1.058B,879.28M,1.404B,972.85M,923.70M,891.47M,1.399B,1.032B,1.059B,744.53M,1.261B,945.60M,1.113B,859.86M,1.221B,993.23M,1.295B,802.37M,1.237B,852.20M,910.44M,835.76M,1.203B,905.44M,774.34M,-1.290B,2.006B,1.726B,1.607B,1.606B,2.034B,1.751B,1.663B,1.693B,1.928B,1.617B,1.563B,1.381B,1.930B,1.733B,1.704B,1.568B,1.959B,1.573B,1.462B,1.293B,1.616B,1.347B,1.266B,1.227B,1.501B,1.378B,1.180B,1.202B,1.515B,1.402B,1.252B,1.097B,1.563B,1.371B,1.281B,1.204B,1.550B,1.367B,1.197B,1.136B,1.347B,1.212B,1.145B,1.103B,1.460B,1.154B,925.64M,868.31M,1.321B,1.132B,843.60M,1.042B,1.563B,1.352B,1.163B,,,1.356B,1.209B,1.041B,1.430B,1.245B,1.051B,989.60M,1.366B,1.133B,946.90M,786.00M,1.288B,1.103B,949.90M,721.90M,1.020B,793.80M,675.60M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG&A Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.32M,61.10M,55.26M,54.31M,53.38M,52.47M,51.58M,50.94M,50.07M,49.31M,48.74M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investment Write Off,1.544M,198.09M,16.42M,73.98M,235.24M,155.22M,68.94M,72.92M,116.79M,16.22M,193.57M,211.79M,2.802B,18.84M,6.969M,7.361M,462.70M,1.642B,0.00,0.00,11.98M,163.84M,1.667M,2.27M,50.03M,291.50M,,,0.00,0.00,0.00,355.52M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Income and Charges,34.88M,-164.92M,20.75M,-35.76M,-198.00M,-122.86M,-37.27M,-44.58M,-103.69M,8.117M,-171.20M,-176.51M,-2.783B,-3.39M,6.891M,11.57M,-294.60M,-1.628B,11.97M,11.74M,6.168M,-147.10M,13.12M,12.86M,12.92M,-273.83M,16.25M,12.75M,21.77M,18.40M,28.28M,-331.22M,65.24M,7.379M,3.791M,21.54M,1.552M,2.13M,11.57M,-15.32M,10.79M,25.02M,-71.62M,27.20M,-83.99M,6.659M,-11.40M,-17.48M,-7.336M,-4.671M,-5.982M,-9.917M,64.39M,67.30M,59.45M,41.40M,38.51M,-1.958M,31.29M,47.25M,39.31M,-30.76M,33.86M,41.08M,20.60M,68.03M,-88.48M,-61.06M,197.61M,58.70M,18.64M,64.66M,14.91M,98.12M,71.97M,55.98M,28.39M,53.59M,94.71M,29.50M,82.96M,25.50M,80.78M,40.50M,306.70M,18.70M,18.20M,31.60M,,,29.20M,17.40M,38.00M,62.30M,12.70M,10.80M,51.00M,-4.80M,1.20M,-2.30M,15.10M,-23.20M,-13.80M,-6.50M,-6.50M,-0.20M,0.80M,2.20M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non Income Taxes,156.03M,165.73M,163.41M,158.58M,156.27M,161.92M,158.55M,165.22M,148.47M,159.47M,153.26M,156.35M,144.40M,149.08M,149.25M,149.78M,147.39M,158.13M,156.38M,157.52M,137.67M,159.74M,152.74M,154.47M,147.42M,156.95M,144.89M,151.10M,132.97M,149.05M,138.11M,137.17M,129.53M,152.04M,129.22M,125.23M,133.70M,138.22M,126.97M,135.41M,118.21M,128.85M,122.40M,134.40M,121.62M,140.82M,125.94M,108.57M,120.90M,129.12M,116.35M,122.68M,100.57M,133.53M,91.13M,103.34M,98.17M,98.72M,95.02M,90.62M,90.48M,112.57M,103.28M,97.30M,102.06M,105.36M,100.50M,97.74M,88.71M,107.19M,82.19M,102.37M,104.13M,103.59M,89.66M,102.46M,104.00M,103.19M,83.54M,79.62M,80.14M,93.00M,83.05M,83.10M,85.10M,91.00M,90.30M,95.80M,,,90.20M,93.00M,83.80M,90.60M,89.90M,89.00M,73.40M,76.20M,73.90M,76.60M,69.90M,71.40M,70.10M,72.90M,53.60M,48.60M,48.60M,48.40M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Interest Expense,187.94M,186.64M,184.30M,183.54M,179.98M,180.07M,177.65M,169.66M,170.54M,166.90M,162.85M,162.05M,164.55M,167.20M,170.50M,164.13M,159.37M,164.06M,159.82M,160.22M,160.35M,155.82M,155.81M,155.53M,156.05M,151.05M,148.98M,147.96M,145.00M,147.80M,139.13M,137.35M,131.54M,127.59M,126.90M,136.13M,173.97M,127.13M,137.86M,171.20M,187.19M,130.13M,152.64M,147.26M,,,143.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Interest Income,141.25M,82.30M,96.22M,228.15M,-201.22M,177.08M,71.13M,16.87M,93.22M,58.33M,80.10M,56.55M,28.46M,37.53M,46.38M,32.75M,40.17M,39.05M,39.70M,68.13M,38.65M,49.55M,24.24M,35.25M,97.02M,23.43M,40.54M,38.31M,33.01M,24.49M,29.28M,40.99M,33.09M,33.24M,35.92M,26.75M,63.59M,38.70M,34.96M,48.21M,-2.785M,87.36M,58.89M,46.39M,,,47.80M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
