Cash Flow - Operations (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03
Net Income,161.00M,187.00M,179.00M,42.00M,170.00M,50.00M,-121.00M,90.00M,670.00M,181.00M,207.00M,82.00M,140.00M,199.00M,181.00M,207.00M,190.00M,198.00M,152.00M,137.00M,88.00M,79.00M,230.00M,4.00M,47.00M,71.00M,36.00M,14.00M,1.00M,45.00M,52.00M,30.00M,,,,,97.00M,,1.00M,-1.00M,11.00M,15.00M,20.00M,12.00M,-58.00M,-8.00M,-9.00M,-10.00M,-4.00M,23.00M,21.00M,-22.00M,17.00M,0.00,14.00M,-32.00M,-42.00M,3.00M,13.00M,6.00M,1.294M,8.055M,21.46M,15.19M,18.64M,29.04M,37.96M,17.36M,-39.74M,12.16M,14.59M,13.00M
Gain/Loss on Sale Business,,,,,,,,,,,,,,,,,,,,,0.00,0.00,-241.00M,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gain (Loss) on Investment Securities,,,,,,,,,,,,,,,,,8.00M,5.00M,19.00M,20.00M,-50.00M,0.00,1.00M,,2.00M,4.00M,-1.00M,3.00M,4.00M,13.00M,-8.00M,-1.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earnings Loss from Eq. Investments,15.00M,-15.00M,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Gains Losses,15.00M,-15.00M,,,,0.00,,,,,,,4.00M,0.00,-4.00M,,15.00M,6.00M,20.00M,11.00M,-53.00M,0.00,-237.00M,,-3.00M,4.00M,3.00M,3.00M,7.00M,13.00M,-28.00M,-1.00M,17.00M,-8.00M,-3.00M,10.00M,,,,,,,-56.00M,56.00M,,,,,,,,,,,,,7.00M,-7.00M,,,,,,,,,,,,,,
Depreciation Expense,125.00M,120.00M,116.00M,113.00M,112.00M,106.00M,104.00M,101.00M,100.00M,99.00M,94.00M,90.00M,89.00M,86.00M,83.00M,79.00M,78.00M,72.00M,71.00M,67.00M,66.00M,64.00M,65.00M,68.00M,70.00M,65.00M,62.00M,61.00M,60.00M,58.00M,57.00M,55.00M,57.00M,51.00M,54.00M,51.00M,49.00M,49.00M,48.00M,48.00M,51.00M,49.00M,46.00M,44.00M,55.00M,50.00M,43.00M,41.00M,43.00M,41.00M,38.00M,39.00M,37.00M,36.00M,33.00M,30.00M,30.00M,26.00M,24.00M,21.00M,20.55M,17.04M,15.24M,14.18M,18.89M,12.06M,9.982M,9.075M,-17.33M,6.926M,5.695M,4.712M
Amortization Expense CF,15.00M,14.00M,11.00M,11.00M,12.00M,13.00M,11.00M,10.00M,-4.00M,15.00M,15.00M,15.00M,15.00M,15.00M,14.00M,12.00M,15.00M,12.00M,10.00M,20.00M,19.00M,15.00M,14.00M,14.00M,13.00M,12.00M,12.00M,11.00M,11.00M,10.00M,9.00M,9.00M,9.00M,9.00M,8.00M,8.00M,8.00M,8.00M,9.00M,11.00M,9.00M,11.00M,12.00M,12.00M,6.00M,5.00M,5.00M,5.00M,4.00M,5.00M,5.00M,5.00M,4.00M,4.00M,6.00M,4.00M,5.00M,4.00M,3.00M,4.00M,3.402M,2.896M,2.409M,2.293M,-4.699M,1.796M,1.576M,1.327M,,,,
Total Depreciation and Amortization,140.00M,134.00M,127.00M,124.00M,124.00M,119.00M,115.00M,111.00M,96.00M,114.00M,109.00M,105.00M,104.00M,101.00M,97.00M,91.00M,93.00M,84.00M,81.00M,87.00M,85.00M,79.00M,79.00M,82.00M,83.00M,77.00M,74.00M,72.00M,71.00M,68.00M,66.00M,64.00M,66.00M,60.00M,62.00M,59.00M,57.00M,57.00M,57.00M,59.00M,60.00M,60.00M,58.00M,56.00M,61.00M,55.00M,48.00M,46.00M,47.00M,46.00M,43.00M,44.00M,41.00M,40.00M,39.00M,34.00M,35.00M,30.00M,27.00M,25.00M,23.95M,19.93M,17.64M,16.47M,14.19M,13.85M,11.56M,10.40M,-17.33M,6.926M,5.695M,4.712M
"Total Depreciation, Amortization, Depletion",140.00M,134.00M,127.00M,124.00M,124.00M,119.00M,115.00M,111.00M,96.00M,114.00M,109.00M,105.00M,104.00M,101.00M,97.00M,91.00M,93.00M,84.00M,81.00M,87.00M,85.00M,79.00M,79.00M,82.00M,83.00M,77.00M,74.00M,72.00M,71.00M,68.00M,66.00M,64.00M,66.00M,60.00M,62.00M,59.00M,57.00M,57.00M,57.00M,59.00M,60.00M,60.00M,58.00M,56.00M,61.00M,55.00M,48.00M,46.00M,47.00M,46.00M,43.00M,44.00M,41.00M,40.00M,39.00M,34.00M,35.00M,30.00M,27.00M,25.00M,23.95M,19.93M,17.64M,16.47M,14.19M,13.85M,11.56M,10.40M,-17.33M,6.926M,5.695M,4.712M
