Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03
Operating Revenue,1.948B,2.005B,2.031B,1.802B,1.891B,1.941B,1.858B,1.692B,1.686B,1.753B,1.766B,1.556B,1.844B,1.571B,1.487B,1.478B,1.438B,1.551B,1.496B,1.408B,1.327B,1.414B,1.372B,1.23B,1.242B,1.321B,1.222B,1.186B,1.089B,1.194B,1.171B,1.096B,722.00M,1.195B,1.151B,1.012B,571.00M,1.03B,940.00M,871.00M,832.00M,854.00M,807.00M,793.00M,811.00M,902.00M,859.00M,816.00M,739.00M,765.00M,730.00M,608.00M,633.00M,628.00M,612.00M,490.00M,446.00M,453.00M,429.00M,373.00M,333.20M,323.08M,319.72M,289.00M,262.59M,273.58M,244.70M,217.13M,187.07M,165.26M,149.30M,133.37M
Revenue,2.031B,2.086B,2.105B,1.871B,1.968B,2.008B,1.928B,1.754B,1.758B,1.818B,1.836B,1.60B,1.593B,1.732B,1.643B,1.616B,1.594B,1.687B,1.612B,1.523B,1.446B,1.529B,1.493B,1.349B,1.365B,1.442B,1.335B,1.299B,1.194B,1.308B,1.277B,1.203B,1.146B,1.195B,1.151B,1.012B,938.00M,1.03B,940.00M,871.00M,832.00M,854.00M,807.00M,793.00M,811.00M,902.00M,859.00M,816.00M,739.00M,765.00M,730.00M,608.00M,633.00M,628.00M,612.00M,490.00M,446.00M,453.00M,429.00M,373.00M,333.20M,323.08M,319.72M,289.00M,262.59M,273.58M,244.70M,217.13M,187.07M,165.26M,149.30M,133.37M
Cost of Goods Sold,1.456B,1.494B,1.501B,1.431B,1.406B,1.469B,1.425B,1.303B,1.274B,1.206B,1.189B,1.167B,1.067B,1.095B,1.045B,989.00M,1.021B,1.068B,1.074B,1.024B,1.07B,1.14B,1.106B,1.073B,1.04B,1.079B,1.039B,1.031B,950.00M,999.00M,968.00M,936.00M,1.753B,610.00M,592.00M,496.00M,1.537B,428.00M,409.00M,378.00M,186.00M,208.00M,184.00M,177.00M,276.00M,341.00M,321.00M,258.00M,216.00M,198.00M,176.00M,,,,,,,,,,231.93M,222.25M,,187.79M,256.56M,121.10M,,,,82.33M,46.52M,81.30M
Gross Profit,575.00M,592.00M,604.00M,440.00M,562.00M,539.00M,503.00M,451.00M,484.00M,612.00M,647.00M,433.00M,526.00M,637.00M,598.00M,627.00M,573.00M,619.00M,538.00M,499.00M,376.00M,389.00M,387.00M,276.00M,325.00M,363.00M,296.00M,268.00M,244.00M,309.00M,309.00M,267.00M,-607.00M,585.00M,559.00M,516.00M,-599.00M,602.00M,531.00M,493.00M,646.00M,646.00M,623.00M,616.00M,535.00M,561.00M,538.00M,558.00M,523.00M,567.00M,554.00M,,,,,,,,,,101.27M,100.83M,,101.22M,6.036M,152.48M,,,,82.93M,102.79M,52.07M
Sales and Marketing Expense,75.00M,74.00M,75.00M,66.00M,80.00M,72.00M,75.00M,67.00M,73.00M,69.00M,69.00M,61.00M,66.00M,60.00M,72.00M,64.00M,65.00M,69.00M,70.00M,60.00M,49.00M,59.00M,69.00M,54.00M,60.00M,60.00M,53.00M,50.00M,52.00M,51.00M,54.00M,47.00M,54.00M,49.00M,51.00M,45.00M,49.00M,47.00M,43.00M,40.00M,38.00M,38.00M,38.00M,37.00M,33.00M,38.00M,42.00M,39.00M,29.00M,32.00M,31.00M,29.00M,27.00M,27.00M,30.00M,20.00M,20.00M,22.00M,20.00M,19.00M,16.58M,14.66M,18.34M,13.42M,12.96M,15.07M,14.54M,11.43M,,,,9.85M
General and Administrative Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.00M,235.00M,235.00M,,227.00M,218.00M,219.00M,200.00M,199.00M,192.00M,185.00M,175.00M,173.00M,168.00M,178.00M,167.00M,159.00M,158.00M,45.00M,41.00M,42.00M,37.00M,38.00M,-102.00M,27.00M,27.00M,26.00M,63.58M,67.18M,21.87M,60.29M,77.55M,18.85M,16.31M,16.29M,,,,29.37M
SG&A Expense,75.00M,74.00M,75.00M,66.00M,80.00M,72.00M,75.00M,67.00M,73.00M,69.00M,69.00M,61.00M,66.00M,60.00M,72.00M,64.00M,65.00M,69.00M,70.00M,60.00M,49.00M,59.00M,69.00M,54.00M,60.00M,60.00M,53.00M,50.00M,52.00M,51.00M,54.00M,47.00M,-652.00M,285.00M,286.00M,280.00M,-615.00M,274.00M,261.00M,259.00M,238.00M,237.00M,230.00M,222.00M,208.00M,211.00M,210.00M,217.00M,196.00M,191.00M,189.00M,74.00M,68.00M,69.00M,67.00M,58.00M,-82.00M,49.00M,47.00M,45.00M,80.16M,81.84M,40.21M,73.71M,90.52M,33.92M,30.85M,27.72M,-102.36M,53.54M,69.39M,39.22M
Income Statement Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00M,30.00M,27.00M,24.00M,23.57M,19.81M,,16.32M,15.51M,13.70M,,,,6.926M,5.695M,4.712M
Rent and Landing Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.00M,99.00M,91.00M,,92.00M,89.00M,85.00M,84.00M,87.00M,86.00M,82.00M,79.00M,85.00M,81.00M,83.00M,76.00M,76.00M,77.00M,,,,,,,,,,40.02M,42.37M,,38.77M,,,,,,,,19.43M
Special Income and Charges,0.00,0.00,-2.00M,-12.00M,-4.00M,-112.00M,-319.00M,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,242.00M,,,0.00,0.00,,,,,,,,0.00,0.00,,1.00M,,,,,0.00,0.00,,15.00M,0.00,,13.00M,11.00M,11.00M,8.00M,8.00M,3.00M,7.00M,5.00M,5.00M,3.00M,4.00M,4.00M,3.137M,2.477M,1.81M,1.576M,-42.17M,1.405M,23.98M,1.021M,,1.822M,,1.297M
Operating Interest Expense,18.00M,14.00M,16.00M,17.00M,18.00M,16.00M,13.00M,14.00M,-4.00M,20.00M,22.00M,23.00M,24.00M,26.00M,26.00M,27.00M,28.00M,30.00M,30.00M,32.00M,32.00M,33.00M,35.00M,34.00M,36.00M,36.00M,38.00M,38.00M,41.00M,42.00M,42.00M,43.00M,40.00M,52.00M,43.00M,43.00M,44.00M,44.00M,43.00M,46.00M,48.00M,48.00M,49.00M,55.00M,12.00M,67.00M,42.00M,73.00M,59.00M,58.00M,56.00M,,,,,,,,,,,,,,,,,,,,,
Operating Interest Income,11.00M,6.00M,2.00M,-1.00M,2.00M,6.00M,3.00M,2.00M,1.00M,3.00M,,2.00M,2.00M,2.00M,2.00M,1.00M,,1.00M,-2.00M,1.00M,3.00M,1.00M,-3.00M,-1.00M,-2.00M,3.00M,-4.00M,2.00M,-2.00M,2.00M,-2.00M,3.00M,,,0.00,4.00M,,,0.00,2.00M,4.00M,5.00M,9.00M,2.00M,-35.00M,20.00M,8.00M,12.00M,13.00M,14.00M,15.00M,,,,,,,,,,,,,,,,,,,,,
