Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03
Cash and Equivalents,959.00M,695.00M,461.00M,464.00M,474.00M,454.00M,603.00M,511.00M,303.00M,394.00M,550.00M,438.00M,433.00M,873.00M,935.00M,757.00M,318.00M,544.00M,422.00M,599.00M,341.00M,449.00M,454.00M,501.00M,225.00M,373.00M,333.00M,346.00M,182.00M,542.00M,652.00M,652.00M,673.00M,632.00M,575.00M,550.00M,465.00M,498.00M,477.00M,829.00M,896.00M,951.00M,880.00M,634.00M,561.00M,565.00M,846.00M,713.00M,190.00M,235.00M,198.00M,56.00M,10.00M,8.00M,6.00M,1.00M,6.00M,25.27M,56.81M,54.96M,19.00M,466.24M,513.61M,554.96M,571.00M,574.23M,253.52M,238.90M,,207.76M,269.32M,92.54M
Short Term Investments,369.00M,299.00M,448.00M,412.00M,413.00M,483.00M,312.00M,268.00M,390.00M,420.00M,470.00M,608.00M,538.00M,581.00M,575.00M,530.00M,558.00M,588.00M,493.00M,399.00M,367.00M,293.00M,343.00M,270.00M,402.00M,581.00M,534.00M,503.00M,549.00M,522.00M,560.00M,573.00M,553.00M,578.00M,598.00M,559.00M,495.00M,447.00M,513.00M,234.00M,240.00M,214.00M,11.00M,2.00M,0.00,0.00,118.00M,40.00M,644.00M,609.00M,574.00M,718.00M,689.00M,448.00M,462.00M,418.00M,478.00M,466.04M,505.09M,596.65M,431.00M,50.46M,36.05M,30.45M,37.00M,25.42M,14.46M,15.04M,,12.54M,11.40M,
Cash and Short Term Investments,1.328B,994.00M,909.00M,876.00M,887.00M,937.00M,915.00M,779.00M,693.00M,814.00M,1.02B,1.046B,971.00M,1.454B,1.51B,1.287B,876.00M,1.132B,915.00M,998.00M,708.00M,742.00M,797.00M,771.00M,627.00M,954.00M,867.00M,849.00M,731.00M,1.064B,1.212B,1.225B,1.226B,1.21B,1.173B,1.109B,960.00M,945.00M,990.00M,1.063B,1.136B,1.165B,891.00M,636.00M,561.00M,565.00M,964.00M,753.00M,834.00M,844.00M,772.00M,774.00M,699.00M,456.00M,468.00M,419.00M,484.00M,491.31M,561.90M,651.61M,450.00M,516.69M,549.66M,585.41M,608.00M,599.65M,267.98M,253.94M,,220.30M,280.72M,92.54M
Accounts Receivable,231.00M,251.00M,282.00M,338.00M,211.00M,243.00M,225.00M,251.00M,245.00M,186.00M,178.00M,169.00M,172.00M,145.00M,153.00M,145.00M,136.00M,149.00M,144.00M,155.00M,136.00M,145.00M,155.00M,133.00M,129.00M,120.00M,160.00M,141.00M,106.00M,,,,101.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Receivables,231.00M,251.00M,282.00M,338.00M,211.00M,243.00M,225.00M,251.00M,245.00M,186.00M,178.00M,169.00M,172.00M,145.00M,153.00M,145.00M,136.00M,149.00M,144.00M,155.00M,136.00M,145.00M,155.00M,133.00M,129.00M,120.00M,160.00M,141.00M,106.00M,137.00M,129.00M,138.00M,101.00M,99.00M,114.00M,126.00M,84.00M,93.00M,95.00M,91.00M,81.00M,82.00M,96.00M,91.00M,86.00M,104.00M,132.00M,111.00M,92.00M,95.00M,86.00M,83.00M,77.00M,81.00M,72.00M,123.00M,94.00M,57.59M,50.52M,52.82M,37.00M,39.06M,31.94M,25.31M,17.00M,19.24M,20.04M,17.65M,,10.91M,16.80M,27.81M
Inventories,81.00M,84.00M,85.00M,86.00M,78.00M,75.00M,77.00M,,55.00M,,,,47.00M,,,,44.00M,,,,46.00M,,,,48.00M,,,,36.00M,,,,50.00M,,,,49.00M,,,,40.00M,,,,30.00M,,,27.00M,26.00M,,,,27.00M,,,,21.00M,,,,10.00M,,,,8.00M,,,,,4.684M,4.06M,3.168M
Prepaid Expenses,146.00M,131.00M,193.00M,221.00M,212.00M,252.00M,231.00M,290.00M,213.00M,323.00M,251.00M,254.00M,213.00M,409.00M,415.00M,342.00M,172.00M,345.00M,346.00M,358.00M,136.00M,328.00M,313.00M,452.00M,126.00M,308.00M,298.00M,296.00M,119.00M,286.00M,284.00M,301.00M,147.00M,303.00M,275.00M,311.00M,148.00M,267.00M,265.00M,272.00M,147.00M,227.00M,196.00M,219.00M,91.00M,236.00M,226.00M,173.00M,111.00M,167.00M,239.00M,143.00M,124.00M,83.00M,81.00M,69.00M,36.00M,42.49M,38.49M,30.56M,17.00M,30.46M,28.84M,25.21M,,28.63M,20.92M,15.92M,,10.94M,8.002M,9.365M
Restricted Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,3.00M,3.00M,7.00M,9.00M,9.00M,13.00M,48.00M,78.00M,78.00M,78.00M,65.00M,10.00M,,0.00,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Tax Assets,,,,,,,,,,,,,,,,,145.00M,,,,174.00M,,,,120.00M,,,,107.00M,,,,99.00M,,,,89.00M,,,,78.00M,,,,106.00M,,,,53.00M,,,,,,,,,,,,,,,,,,,,,,,
Other Current Assets,,,,,,,,,,,,,,,,,,,,,,,,,6.00M,,,,1.00M,,,,5.00M,,,,27.00M,,,,43.00M,,,,10.00M,,,,,,,,,,,,,,,,,,,,13.00M,,,,,,,
