Cash Flow - Operations (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03
Net Income,-183.00M,-166.00M,34.00M,75.00M,34.00M,3.00M,-87.00M,-65.00M,-2.635B,-593.00M,-417.00M,-296.00M,-4.898B,-317.00M,-373.00M,-488.00M,-1.791B,-239.00M,-553.00M,-376.00M,-5.00M,359.00M,974.00M,364.00M,918.00M,356.00M,1.619B,1.143B,219.00M,510.00M,540.00M,539.00M,-279.00M,267.00M,569.00M,974.00M,83.00M,1.091B,396.00M,568.00M,370.00M,352.00M,102.00M,-17.00M,-80.00M,774.00M,911.00M,752.00M,510.00M,395.00M,557.00M,370.00M,359.00M,301.00M,561.00M,699.00M,436.00M,272.00M,299.00M,219.00M,229.00M,179.00M,288.00M,281.00M,69.00M,146.00M,252.00M,176.00M,-371.00M,-136.00M,148.00M,141.00M,54.00M,166.00M,357.00M,337.00M,340.00M,257.00M,202.00M,224.00M,131.50M,158.50M,77.40M,70.60M,-418.40M,-6.30M,-21.70M,-12.60M,-61.40M,22.70M,41.60M,4.60M,119.80M,97.90M,376.40M,66.00M,-274.80M,-104.50M,-40.30M,25.20M,8.70M,-1.90M,-16.80M,83.70M,-133.60M,-22.40M,-145.20M,3.50M,17.90M,8.60M,4.40M,-23.40M,-51.60M,-7.50M,67.70M,75.70M,235.20M,280.00M,-72.20M,39.70M
Gain and Loss on Sale of PPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.00M,-343.00M,,1.208B,-1.208B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gain (Loss) on Investment Securities,29.00M,29.00M,29.00M,29.00M,48.00M,49.00M,47.00M,38.00M,54.00M,13.00M,30.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earnings Loss from Eq. Investments,,,,,,,,,,,,,,,,,15.00M,10.00M,,,0.00,0.00,-9.00M,93.00M,,0.00,0.00,0.00,,,,,940.00M,36.00M,49.00M,48.00M,348.00M,83.00M,6.00M,85.00M,64.00M,49.00M,75.00M,41.00M,-71.00M,-52.00M,44.00M,35.00M,,,,,,,,,-114.00M,46.00M,-108.00M,62.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pension and Employee Expense,5.00M,88.00M,,,4.00M,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Gains Losses,34.00M,117.00M,7.00M,29.00M,52.00M,35.00M,62.00M,58.00M,435.00M,-261.00M,28.00M,,72.00M,80.00M,-27.00M,,62.00M,-40.00M,,,-3.00M,-31.00M,-788.00M,83.00M,-380.00M,5.00M,-1.111B,-688.00M,-172.00M,-376.00M,0.00,-36.00M,940.00M,-67.00M,49.00M,-295.00M,348.00M,-1.255B,194.00M,27.00M,64.00M,49.00M,75.00M,41.00M,-71.00M,-52.00M,44.00M,35.00M,120.00M,52.00M,2.00M,-6.00M,-121.00M,181.00M,-174.00M,-56.00M,-144.00M,46.00M,-108.00M,44.00M,-188.00M,0.00,-3.00M,-20.00M,-80.00M,-30.00M,-154.00M,19.00M,-592.00M,415.00M,48.00M,12.00M,-78.00M,39.00M,-1.00M,40.00M,-42.00M,6.00M,5.00M,31.00M,-57.00M,-149.00M,-43.70M,-23.30M,386.90M,25.50M,60.60M,-17.00M,128.30M,56.50M,53.60M,24.90M,63.70M,-56.80M,-410.80M,39.20M,629.70M,49.60M,43.70M,40.00M,40.00M,37.30M,36.20M,39.50M,28.40M,51.60M,46.50M,29.20M,44.20M,33.40M,31.90M,25.60M,47.70M,28.00M,53.10M,60.50M,74.50M,40.70M,33.30M,26.80M
Total Depreciation and Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530.00M,365.00M,354.00M,327.00M,-871.00M,323.00M,282.00M,266.00M,,,,,,,-226.00M,226.00M,-799.00M,253.00M,251.00M,295.00M,-1.012B,342.00M,368.00M,302.00M,-664.00M,254.00M,229.00M,181.00M,-516.00M,175.00M,167.00M,174.00M,-434.00M,159.00M,136.70M,138.30M,176.00M,159.60M,162.20M,164.20M,122.30M,191.60M,151.90M,197.50M,231.40M,166.70M,183.60M,201.50M,244.80M,218.60M,211.60M,218.10M,231.30M,219.00M,234.90M,242.70M,271.40M,183.50M,184.70M,185.10M,188.10M,206.70M,218.50M,220.10M,250.50M,186.40M,188.50M,203.40M,262.30M,151.70M,165.20M,164.30M
"Total Depreciation, Amortization, Depletion",586.00M,544.00M,494.00M,498.00M,533.00M,489.00M,444.00M,417.00M,646.00M,759.00M,741.00M,737.00M,768.00M,811.00M,797.00M,868.00M,983.00M,988.00M,1.028B,956.00M,875.00M,838.00M,785.00M,726.00M,713.00M,681.00M,604.00M,689.00M,730.00M,728.00M,746.00M,662.00M,641.00M,586.00M,588.00M,558.00M,633.00M,584.00M,558.00M,542.00M,584.00M,572.00M,558.00M,486.00M,568.00M,497.00M,482.00M,452.00M,530.00M,365.00M,354.00M,327.00M,353.00M,323.00M,282.00M,266.00M,258.00M,252.00M,261.00M,254.00M,275.00M,230.00M,239.00M,226.00M,254.00M,253.00M,251.00M,295.00M,106.00M,342.00M,368.00M,302.00M,169.00M,254.00M,229.00M,181.00M,198.00M,175.00M,167.00M,174.00M,215.00M,159.00M,136.70M,138.30M,176.00M,159.60M,162.20M,164.20M,122.30M,191.60M,151.90M,197.50M,231.40M,166.70M,183.60M,201.50M,244.80M,218.60M,211.60M,218.10M,231.30M,219.00M,234.90M,242.70M,271.40M,183.50M,184.70M,185.10M,188.10M,206.70M,218.50M,220.10M,250.50M,186.40M,188.50M,203.40M,262.30M,151.70M,165.20M,164.30M
Deferred Taxes,22.00M,-4.00M,0.00,-1.00M,-92.00M,6.00M,2.00M,-36.00M,54.00M,-2.008B,-20.00M,-27.00M,3.173B,-312.00M,-310.00M,-351.00M,-500.00M,-285.00M,-187.00M,-347.00M,50.00M,148.00M,-40.00M,112.00M,-819.00M,180.00M,90.00M,122.00M,-499.00M,-30.00M,88.00M,-143.00M,,,,,-495.00M,62.00M,-81.00M,19.00M,,,,,-75.00M,130.00M,-103.00M,-9.00M,-99.00M,60.00M,10.00M,-4.00M,-5.00M,95.00M,68.00M,123.00M,29.00M,-11.00M,-69.00M,-47.00M,-81.00M,-16.00M,-70.00M,-44.00M,-63.00M,102.00M,23.00M,45.00M,-188.00M,-65.00M,-3.00M,-2.00M,-35.00M,41.00M,26.00M,32.00M,-17.00M,92.00M,63.00M,26.00M,17.10M,77.90M,-3.10M,-29.90M,-128.20M,-9.20M,6.20M,-6.80M,-31.20M,-23.40M,-23.30M,-2.30M,99.80M,-12.50M,34.50M,-35.40M,-355.90M,27.80M,6.70M,25.50M,64.60M,-64.50M,5.60M,31.70M,-43.10M,-3.50M,5.50M,-17.70M,-31.70M,-16.40M,16.30M,4.10M,-57.50M,23.70M,-2.50M,-9.40M,-69.70M,-14.40M,11.10M,18.50M
