Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Operating Revenue,725.96M,771.53M,715.47M,661.55M,761.82M,767.90M,685.23M,645.85M,658.48M,673.06M,632.20M,591.47M,617.30M,645.96M,566.14M,550.89M,623.94M,717.22M,623.95M,637.79M,789.99M,867.10M,799.04M,783.68M,832.46M,829.11M,794.55M,782.20M,838.15M,867.69M,854.27M,814.86M,851.79M,886.36M,794.32M,710.63M,695.81M,694.54M,655.66M,619.04M,619.58M,620.31M,525.90M,543.80M,799.82M,915.43M,774.06M,729.62M,708.17M,673.46M,600.76M,554.02M,607.08M,673.89M,604.97M,574.96M,624.76M,595.92M,522.26M,472.63M,518.39M,506.76M,461.80M,437.11M,454.22M,453.70M,448.76M,424.64M,435.70M,431.56M,409.00M,377.44M,419.31M,447.29M,427.34M,434.87M,9.757M,445.87M,413.14M,401.88M,-63.98M,392.50M,369.69M,352.20M,372.40M,377.30M,360.60M,374.90M,375.20M,370.40M,360.30M,359.20M,360.60M,368.20M,347.20M,326.20M,332.80M,336.90M,319.90M,306.20M,319.70M,319.20M,284.50M,265.10M,281.70M,299.50M,281.60M,279.30M,215.30M,292.60M,250.90M,246.50M,262.50M,274.10M,260.50M,286.70M,275.50M,243.50M,254.20M,237.60M,227.70M,240.00M,216.90M,200.10M,195.10M,195.70M,173.50M,170.00M,220.40M,150.40M,139.10M,125.20M,132.60M,128.90M,134.30M,162.30M,162.70M,158.80M,163.00M,163.80M,170.10M,170.20M,164.10M,160.80M
Revenue,725.97M,771.54M,715.48M,661.62M,761.65M,768.05M,685.28M,645.87M,658.60M,673.18M,632.28M,591.56M,617.40M,646.06M,566.24M,550.96M,624.03M,717.18M,623.91M,637.86M,790.04M,867.10M,798.66M,783.75M,832.50M,829.17M,794.57M,782.23M,838.15M,867.72M,854.27M,814.86M,851.03M,886.36M,794.32M,710.63M,695.74M,694.54M,655.66M,619.04M,619.58M,620.31M,525.90M,543.80M,799.82M,915.43M,774.06M,729.62M,708.17M,673.46M,600.76M,554.02M,607.08M,673.89M,604.97M,574.96M,624.76M,595.92M,522.26M,472.63M,518.39M,506.76M,461.80M,437.11M,454.22M,453.70M,448.76M,424.64M,435.70M,431.56M,409.00M,377.44M,419.31M,447.29M,427.34M,434.87M,9.757M,445.87M,413.14M,401.88M,-63.98M,392.50M,369.69M,352.20M,372.40M,377.30M,360.60M,374.90M,375.20M,370.40M,360.30M,359.20M,360.60M,368.20M,347.20M,326.20M,332.80M,336.90M,319.90M,306.20M,319.70M,319.20M,284.50M,265.10M,281.70M,299.50M,281.60M,279.30M,215.30M,292.60M,250.90M,246.50M,262.50M,274.10M,260.50M,286.70M,275.50M,243.50M,254.20M,237.60M,227.70M,240.00M,216.90M,200.10M,195.10M,195.70M,173.50M,170.00M,220.40M,150.40M,139.10M,125.20M,132.60M,128.90M,134.30M,162.30M,162.70M,158.80M,163.00M,163.80M,170.10M,170.20M,164.10M,160.80M
Cost of Goods Sold,625.17M,674.23M,642.85M,583.68M,677.05M,669.98M,606.48M,573.98M,571.38M,561.71M,554.48M,521.82M,521.30M,540.61M,480.79M,482.11M,540.81M,620.08M,551.18M,568.36M,721.87M,775.06M,715.47M,694.54M,752.06M,741.13M,714.36M,713.41M,800.88M,776.02M,774.86M,739.04M,782.86M,791.86M,730.66M,647.26M,636.50M,621.91M,592.03M,558.33M,580.27M,551.67M,490.85M,499.14M,416.36M,841.30M,752.45M,658.87M,540.87M,536.25M,463.92M,434.69M,473.39M,521.19M,464.12M,,470.62M,443.81M,387.08M,343.17M,392.24M,357.36M,324.69M,302.47M,307.62M,312.61M,311.94M,287.94M,292.72M,280.05M,256.72M,232.73M,274.26M,287.06M,362.64M,369.15M,-400.93M,385.36M,356.01M,333.67M,-452.72M,335.90M,311.00M,298.20M,,,306.60M,318.40M,323.60M,309.40M,310.10M,309.80M,313.40M,323.40M,,,292.30M,280.20M,273.80M,262.00M,273.60M,267.60M,241.60M,231.60M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,100.80M,97.31M,72.63M,77.94M,84.60M,98.06M,78.80M,71.89M,87.22M,111.47M,77.80M,69.74M,96.09M,105.44M,85.46M,68.85M,83.22M,97.10M,72.73M,69.51M,68.17M,92.04M,83.18M,89.21M,80.44M,88.04M,80.21M,68.82M,37.27M,91.70M,79.41M,75.82M,68.17M,94.49M,63.66M,63.38M,59.24M,72.63M,63.63M,60.71M,39.31M,68.64M,35.06M,44.66M,383.45M,74.13M,21.60M,70.75M,167.30M,137.21M,136.84M,119.34M,133.69M,152.71M,140.85M,,154.14M,152.11M,135.18M,129.46M,126.15M,149.40M,137.11M,134.64M,146.60M,141.09M,136.81M,136.70M,142.98M,151.51M,152.28M,144.71M,145.05M,160.23M,64.70M,65.72M,410.68M,60.51M,57.13M,68.20M,388.74M,56.60M,58.69M,54.00M,,,54.00M,56.50M,51.60M,61.00M,50.20M,49.40M,47.20M,44.80M,,,40.50M,56.70M,46.10M,44.20M,46.10M,51.60M,42.90M,33.50M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Income and Charges,2.652M,3.25M,3.175M,2.91M,2.638M,1.962M,2.983M,3.294M,3.575M,3.482M,3.027M,2.399M,2.315M,92.27M,1.997M,1.739M,1.562M,2.057M,1.896M,1.413M,1.838M,1.937M,1.387M,1.609M,1.531M,1.255M,1.56M,1.215M,1.459M,1.611M,1.997M,1.94M,0.102M,2.228M,1.87M,1.764M,-0.862M,1.689M,2.637M,2.552M,2.67M,3.746M,5.847M,5.227M,4.135M,3.393M,2.94M,2.663M,2.161M,1.992M,1.788M,1.83M,1.994M,2.676M,2.307M,2.25M,1.99M,1.964M,1.657M,1.514M,1.044M,2.793M,2.406M,2.093M,1.721M,1.594M,1.435M,1.431M,1.44M,1.711M,1.53M,1.128M,1.568M,1.522M,1.466M,1.941M,-1.767M,2.312M,2.051M,1.96M,-1.374M,1.90M,1.60M,1.60M,,,4.60M,4.40M,4.40M,4.20M,4.40M,4.20M,6.80M,3.50M,,,3.90M,3.90M,3.90M,3.60M,3.80M,3.50M,3.00M,2.80M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Interest Expense,20.83M,21.22M,22.35M,22.04M,21.58M,21.52M,20.64M,20.07M,18.33M,17.89M,19.30M,18.68M,18.14M,18.51M,16.54M,19.46M,19.38M,18.49M,18.22M,18.60M,17.00M,18.43M,19.50M,18.84M,18.64M,18.54M,18.04M,18.00M,17.49M,19.33M,19.31M,17.67M,15.34M,19.95M,24.18M,20.14M,17.06M,21.02M,20.52M,20.38M,20.91M,19.68M,17.91M,17.83M,19.36M,19.34M,18.19M,19.25M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Operating Interest Income,-20.83M,-21.22M,-22.35M,-22.04M,-21.58M,-21.52M,-20.64M,-20.07M,-18.33M,-17.89M,-19.30M,-18.68M,-18.14M,-18.51M,-16.54M,-19.46M,-19.38M,-18.49M,-18.22M,-18.60M,-17.00M,-18.43M,-19.50M,-18.84M,-18.64M,-18.54M,-18.04M,-18.00M,-17.49M,-19.33M,-19.31M,-17.67M,-15.34M,-19.95M,-24.18M,-20.14M,-17.06M,-21.02M,-20.52M,-20.38M,-20.91M,-19.68M,-17.91M,-17.83M,-19.36M,-19.34M,-18.19M,-19.25M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Operating Expenses,2.652M,3.25M,3.175M,2.91M,2.638M,1.962M,2.983M,3.294M,3.575M,3.482M,3.027M,2.399M,2.315M,92.27M,1.997M,1.739M,1.562M,2.057M,1.896M,1.413M,1.838M,1.937M,1.387M,1.609M,1.531M,1.255M,1.56M,1.215M,1.459M,1.611M,1.997M,1.94M,0.102M,0.00,0.00,0.00,-0.862M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,345.77M,0.00,0.00,0.00,85.44M,89.20M,91.53M,90.80M,90.53M,86.35M,80.12M,505.81M,78.07M,74.87M,73.73M,72.79M,71.66M,67.71M,70.16M,66.80M,71.80M,72.85M,75.36M,77.61M,83.52M,79.78M,81.65M,80.84M,87.56M,91.18M,1.466M,31.15M,328.43M,23.93M,29.11M,28.62M,295.25M,30.60M,31.10M,31.50M,,,28.70M,28.70M,26.10M,25.70M,27.10M,26.40M,23.60M,23.50M,,,25.00M,20.70M,20.50M,18.70M,20.50M,17.50M,17.10M,16.50M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Income,100.80M,97.31M,72.63M,77.94M,84.60M,98.06M,78.80M,71.89M,87.22M,111.47M,77.80M,69.74M,96.09M,105.44M,85.46M,68.85M,83.22M,97.10M,72.73M,69.51M,68.17M,92.04M,83.18M,89.21M,80.44M,88.04M,80.21M,68.82M,37.27M,91.70M,79.41M,75.82M,68.17M,94.49M,63.66M,63.38M,59.24M,72.63M,63.63M,60.71M,39.31M,68.64M,35.06M,44.66M,37.68M,74.13M,21.60M,70.75M,81.86M,48.02M,45.31M,28.54M,43.16M,66.36M,60.73M,69.15M,76.06M,77.24M,61.45M,56.67M,54.49M,81.69M,66.95M,67.84M,74.79M,68.24M,61.45M,59.09M,59.46M,71.74M,70.63M,63.87M,57.49M,69.05M,64.70M,34.57M,82.26M,36.58M,28.02M,39.58M,93.49M,26.00M,27.59M,22.50M,-1.001B,377.30M,25.30M,27.80M,25.50M,35.30M,23.10M,23.00M,23.60M,21.30M,347.20M,326.20M,15.50M,36.00M,25.60M,25.50M,25.60M,34.10M,25.80M,17.00M,281.70M,299.50M,281.60M,279.30M,215.30M,292.60M,250.90M,246.50M,262.50M,274.10M,260.50M,286.70M,275.50M,243.50M,254.20M,237.60M,227.70M,240.00M,216.90M,200.10M,195.10M,195.70M,173.50M,170.00M,220.40M,150.40M,139.10M,125.20M,132.60M,128.90M,134.30M,162.30M,162.70M,158.80M,163.00M,163.80M,170.10M,170.20M,164.10M,160.80M
Non-Operating Interest Expense,20.83M,21.22M,22.35M,22.04M,21.58M,21.52M,20.64M,20.07M,18.33M,17.89M,19.30M,18.68M,18.14M,18.51M,16.54M,19.46M,19.38M,18.49M,18.22M,18.60M,17.00M,18.43M,19.50M,18.84M,18.64M,18.54M,18.04M,18.00M,17.49M,19.33M,19.31M,17.67M,15.34M,19.95M,24.18M,20.14M,17.06M,21.02M,20.52M,20.38M,20.91M,19.68M,17.91M,17.83M,19.36M,19.34M,18.19M,19.25M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
