Cash Flow - Operations (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Net Income,66.74M,63.89M,42.98M,46.16M,50.05M,66.37M,46.53M,40.72M,32.84M,60.54M,39.13M,34.67M,45.11M,127.61M,44.60M,32.82M,42.79M,51.14M,35.49M,32.34M,33.73M,48.28M,41.75M,46.26M,39.68M,48.71M,41.06M,34.15M,14.31M,48.18M,39.27M,38.79M,,,,,115.42M,,-27.60M,27.60M,14.13M,33.95M,15.95M,20.87M,14.37M,37.75M,6.082M,33.97M,40.58M,19.88M,17.55M,6.764M,16.12M,32.32M,27.22M,32.34M,36.77M,38.24M,27.58M,24.10M,24.81M,40.76M,11.24M,30.93M,37.44M,30.52M,25.76M,24.33M,26.38M,33.94M,30.98M,26.92M,6.838M,28.67M,26.13M,27.74M,18.24M,22.05M,19.10M,28.98M,31.80M,21.60M,22.70M,20.80M,21.10M,19.10M,22.40M,22.20M,22.80M,24.10M,19.80M,19.70M,21.10M,17.40M,21.30M,18.90M,15.60M,25.20M,18.90M,17.80M,20.90M,22.70M,17.60M,11.80M
Gain (Loss) on Investment Securities,,,,,,,,,,,,,,,,,,,,,,,,,0.00,-2.251M,,,,,,,,,,,,,,,503.27M,0.00,-0.044M,,-0.012M,0.00,17.39M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Gains Losses,,,,,,,,,,,,,,,,,,,,,,,,,0.00,-2.251M,,,,,,,-127.16M,55.33M,28.78M,43.05M,-306.59M,139.00M,84.77M,82.81M,103.06M,77.52M,130.28M,192.37M,-157.78M,32.77M,74.69M,67.22M,,,,,,-4.211M,4.211M,,-3.892M,-10.17M,10.05M,-4.187M,-0.738M,-20.99M,4.973M,-3.049M,-0.892M,-0.498M,0.036M,0.162M,1.615M,3.995M,1.958M,2.727M,-7.545M,2.002M,2.045M,1.735M,-9.696M,1.495M,2.072M,1.731M,0.60M,3.50M,2.20M,1.90M,12.50M,6.60M,-2.80M,-2.80M,-7.20M,1.70M,-2.70M,-2.70M,-4.50M,-2.40M,-2.10M,-2.70M,,,,,,,,
Depreciation Expense,57.55M,57.44M,57.43M,57.44M,54.39M,53.58M,52.97M,53.09M,50.54M,50.06M,50.01M,50.05M,48.59M,48.54M,48.55M,48.59M,46.24M,45.99M,45.87M,45.86M,43.19M,43.18M,43.22M,43.18M,39.71M,40.51M,40.12M,39.73M,37.44M,37.43M,37.61M,37.91M,36.64M,36.27M,37.54M,37.71M,37.41M,37.50M,39.81M,39.80M,37.37M,36.92M,38.50M,38.49M,37.55M,37.69M,37.85M,37.88M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amortization Expense CF,12.70M,13.11M,12.65M,9.792M,10.12M,10.87M,11.86M,8.745M,5.978M,9.261M,3.729M,2.372M,3.105M,2.528M,2.912M,1.928M,4.367M,2.46M,2.421M,2.371M,5.201M,1.067M,2.405M,1.609M,4.972M,-0.516M,1.933M,0.935M,3.147M,1.812M,1.58M,1.419M,4.766M,2.587M,9.611M,2.354M,1.61M,0.846M,0.584M,1.565M,1.352M,1.553M,1.89M,0.594M,1.158M,-0.276M,1.343M,2.86M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Depreciation and Amortization,70.25M,70.56M,70.08M,67.23M,64.51M,64.45M,64.83M,61.84M,56.51M,59.32M,53.74M,52.42M,51.69M,51.06M,51.47M,50.52M,50.61M,48.45M,48.29M,48.24M,48.39M,44.24M,45.62M,44.79M,44.68M,40.00M,42.05M,40.66M,40.59M,39.24M,39.19M,39.33M,41.40M,38.86M,47.15M,40.06M,39.02M,38.35M,40.39M,41.36M,38.72M,38.47M,40.40M,39.09M,38.71M,37.41M,39.19M,40.74M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total Depreciation, Amortization, Depletion",70.25M,70.56M,70.08M,67.23M,64.51M,64.45M,64.83M,61.84M,56.51M,59.32M,53.74M,52.42M,51.69M,51.06M,51.47M,50.52M,50.61M,48.45M,48.29M,48.24M,48.39M,44.24M,45.62M,44.79M,44.68M,40.00M,42.05M,40.66M,40.59M,39.24M,39.19M,39.33M,41.40M,38.86M,47.15M,40.06M,39.02M,38.35M,40.39M,41.36M,38.72M,38.47M,40.40M,39.09M,38.71M,37.41M,39.19M,40.74M,27.60M,46.22M,37.20M,36.86M,27.53M,43.08M,33.12M,37.46M,34.20M,40.98M,33.47M,33.50M,33.32M,45.37M,26.68M,36.14M,34.16M,38.85M,39.53M,37.85M,36.18M,35.49M,34.80M,34.52M,17.45M,32.98M,31.87M,31.15M,18.18M,31.42M,29.11M,28.62M,29.80M,30.60M,31.10M,31.50M,,,,,,,,,,,,,,,,,,,,
Deferred Taxes,-15.35M,6.927M,-3.491M,-3.171M,-20.19M,20.50M,-6.783M,-2.889M,16.44M,4.35M,6.951M,10.10M,16.45M,8.929M,8.73M,13.01M,38.71M,7.186M,-8.291M,3.828M,53.93M,5.802M,38.04M,6.457M,19.56M,20.18M,20.44M,19.97M,8.266M,41.04M,20.28M,21.26M,18.49M,21.91M,22.36M,16.69M,21.97M,78.20M,-2.252M,-0.129M,9.829M,-1.015M,6.503M,-2.53M,-7.052M,12.77M,5.289M,-5.874M,-16.56M,-5.948M,-6.212M,-5.908M,-3.985M,-1.463M,-4.659M,-2.839M,-19.80M,17.78M,3.659M,-1.593M,-2.803M,17.94M,-4.557M,1.764M,7.447M,0.056M,-1.882M,-2.783M,2.125M,35.88M,-1.21M,-1.598M,8.102M,1.693M,-2.024M,0.786M,1.235M,1.671M,3.355M,-0.30M,-0.70M,-5.00M,0.90M,-0.10M,-6.70M,1.40M,1.70M,-0.20M,-4.00M,2.50M,0.50M,1.20M,-0.90M,2.30M,2.00M,2.70M,4.70M,1.90M,2.90M,3.20M,-0.50M,3.40M,0.40M,5.90M
Asset Impairment Charge,,,,,,,,,,,,,,,,,1.193M,4.828M,,,,,,,,,,,,,,,,,,,,,,,0.00,9.863M,5.581M,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
