Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Cash and Equivalents,196.81M,176.99M,198.55M,186.41M,169.21M,172.05M,254.66M,244.78M,261.88M,202.17M,210.38M,234.23M,278.45M,284.36M,257.21M,334.74M,300.48M,228.42M,300.69M,292.17M,175.54M,192.56M,188.38M,269.12M,220.04M,215.04M,153.71M,262.71M,219.66M,168.51M,207.55M,236.35M,270.26M,283.48M,266.75M,316.25M,330.65M,387.49M,278.32M,341.33M,503.92M,257.33M,265.14M,160.22M,182.90M,166.71M,147.77M,189.96M,145.86M,167.02M,152.16M,156.09M,177.63M,146.92M,144.94M,155.38M,151.51M,165.40M,168.33M,203.40M,132.14M,171.63M,192.48M,322.91M,223.31M,199.60M,213.77M,316.48M,244.52M,251.47M,243.87M,211.03M,450.83M,437.63M,495.12M,197.20M,1.534M,179.65M,215.08M,202.58M,199.90M,209.40M,154.20M,164.90M,412.30M,275.10M,253.90M,212.40M,253.90M,124.60M,129.40M,98.70M,97.40M,94.30M,90.30M,88.10M,130.80M,85.30M,79.40M,107.40M,87.60M,84.20M,103.80M,78.70M
Short Term Investments,1.233B,1.211B,1.298B,1.348B,1.389B,1.388B,1.410B,1.418B,1.401B,1.320B,1.303B,1.229B,1.105B,996.98M,894.02M,906.30M,820.65M,785.84M,693.52M,590.65M,550.39M,531.60M,549.32M,517.53M,529.01M,535.26M,560.17M,659.40M,671.36M,760.94M,736.88M,728.83M,624.33M,668.81M,809.11M,768.71M,775.92M,668.03M,721.73M,0.702M,530.64M,722.58M,720.29M,699.17M,0.532M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,1.430B,1.388B,1.497B,1.535B,1.558B,1.560B,1.664B,1.663B,1.663B,1.522B,1.513B,1.463B,1.384B,1.281B,1.151B,1.241B,1.121B,1.014B,994.21M,882.82M,725.94M,724.16M,737.70M,786.65M,749.04M,750.31M,713.88M,922.11M,891.02M,929.46M,944.42M,965.17M,894.60M,952.29M,1.076B,1.085B,1.107B,1.056B,1.000B,342.03M,1.035B,979.91M,985.44M,859.39M,183.44M,166.71M,147.77M,189.96M,145.86M,167.02M,152.16M,156.09M,177.63M,146.92M,144.94M,155.38M,151.51M,165.40M,168.33M,203.40M,132.14M,171.63M,192.48M,322.91M,223.31M,199.60M,213.77M,316.48M,244.52M,251.47M,243.87M,211.03M,450.83M,437.63M,495.12M,197.20M,1.534M,179.65M,215.08M,202.58M,199.90M,209.40M,154.20M,164.90M,412.30M,275.10M,253.90M,212.40M,253.90M,124.60M,129.40M,98.70M,97.40M,94.30M,90.30M,88.10M,130.80M,85.30M,79.40M,107.40M,87.60M,84.20M,103.80M,78.70M
Accounts Receivable,300.79M,311.24M,309.28M,265.44M,325.67M,336.31M,299.77M,266.34M,263.21M,264.43M,249.54M,252.42M,237.95M,250.08M,224.18M,210.28M,242.77M,305.45M,269.21M,255.36M,313.70M,365.73M,349.77M,324.43M,346.78M,350.08M,359.26M,348.49M,362.82M,374.93M,386.75M,306.76M,344.32M,342.90M,319.53M,286.88M,267.00M,259.13M,266.70M,233.88M,241.12M,252.19M,212.36M,198.92M,300.67M,370.48M,323.01M,298.30M,294.45M,276.79M,250.99M,220.89M,248.64M,271.20M,247.82M,228.77M,249.47M,239.13M,212.43M,181.94M,208.53M,203.52M,184.30M,221.68M,187.72M,174.61M,178.54M,171.75M,176.33M,170.26M,172.22M,154.27M,164.12M,2.960B,2.949B,3.376B,93.97M,3.397B,3.390B,3.359B,3.366B,3.371B,3.354B,3.330B,3.299B,3.282B,3.209B,3.177B,3.194B,2.266B,2.218B,2.188B,2.153B,2.125B,2.051B,1.877B,1.830B,1.897B,1.837B,1.778B,1.955B,2.097B,2.026B,1.936B
Loans Receivable,5.133B,5.101B,5.017B,4.866B,4.845B,4.756B,4.781B,4.750B,4.683B,4.694B,4.753B,4.740B,4.762B,4.767B,4.766B,4.656B,4.627B,4.547B,4.469B,4.463B,4.449B,4.345B,4.296B,4.201B,4.164B,4.061B,3.997B,3.861B,3.817B,3.706B,3.695B,3.672B,3.704B,3.622B,3.580B,3.550B,3.490B,3.467B,3.573B,3.623B,3.646B,3.759B,3.853B,4.015B,4.206B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Receivables,5.381B,5.360B,5.269B,5.077B,5.118B,5.038B,5.027B,4.962B,4.892B,4.903B,4.943B,4.932B,4.940B,4.953B,4.930B,4.808B,4.813B,4.798B,4.686B,4.667B,4.711B,4.660B,4.596B,4.476B,4.462B,4.361B,4.306B,4.157B,4.126B,4.081B,4.082B,3.979B,3.997B,3.965B,3.900B,3.837B,3.757B,3.726B,3.840B,3.857B,3.887B,4.011B,4.065B,4.214B,4.507B,370.48M,323.01M,298.30M,294.45M,276.79M,250.99M,220.89M,248.64M,271.20M,247.82M,228.77M,249.47M,239.13M,212.43M,181.94M,208.53M,203.52M,184.30M,221.68M,187.72M,174.61M,178.54M,171.75M,176.33M,170.26M,172.22M,154.27M,164.12M,2.960B,2.949B,3.376B,157.99M,3.397B,3.390B,3.359B,3.366B,3.371B,3.354B,3.330B,3.299B,3.282B,3.209B,3.177B,3.194B,2.266B,2.218B,2.188B,2.153B,2.125B,2.051B,1.877B,1.830B,1.897B,1.837B,1.778B,1.955B,2.097B,2.026B,1.936B
Inventories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.91M,,,,,,,,,,39.20M,36.10M,,42.80M,47.10M,47.30M,48.70M,48.00M,44.30M,38.50M,35.30M,39.40M,38.00M,36.00M,43.10M,40.70M,42.80M,34.40M
Restricted Cash,30.87M,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.058B,5.117B,6.355B,6.404B,6.338B,6.362B,6.404B,6.325B,6.263B,6.403B,6.410B,6.351B,2.907B,2.891B,2.927B,3.092B,75.94M,20.09M,50.26M,2.880B,,,,,,,,,2.505B,2.454B,2.325B,29.03M,2.301B,2.292B,2.255B,2.160B,2.071B,2.020B,1.961B,1.903B,2.014B,2.232B,2.113B,1.971B,1.586B,1.445B,1.497B,1.484B,1.534B,1.518B,1.568B,1.589B,1.463B,1.454B,1.416B,1.211B,903.00M,909.40M,881.30M
Total Current Assets,6.841B,6.747B,6.765B,6.612B,6.676B,6.597B,6.691B,6.625B,6.555B,6.426B,6.456B,6.395B,6.324B,6.234B,6.081B,6.049B,5.934B,5.812B,5.680B,5.550B,5.437B,5.384B,5.334B,5.263B,5.211B,5.111B,5.020B,5.079B,5.017B,5.027B,5.039B,4.959B,4.891B,4.942B,4.981B,4.926B,4.871B,4.781B,4.840B,4.199B,4.946B,4.991B,5.050B,5.073B,4.691B,5.595B,5.588B,6.843B,6.844B,6.782B,6.765B,6.781B,6.752B,6.681B,6.796B,6.795B,6.752B,3.312B,3.271B,3.313B,3.433B,451.09M,396.87M,594.85M,3.291B,374.21M,392.32M,488.23M,420.85M,421.73M,416.09M,365.30M,614.95M,5.902B,5.897B,5.899B,242.47M,5.878B,5.897B,5.817B,5.726B,5.651B,5.528B,5.456B,5.615B,5.572B,5.734B,5.538B,5.418B,4.019B,3.840B,3.831B,3.782B,3.801B,3.704B,3.572B,3.585B,3.485B,3.408B,3.337B,3.297B,3.125B,3.082B,2.931B
