date,sustainable_growth_rate
"Dec. 31, 2019",5.54%
"Sept. 30, 2019",1.07%
"June 30, 2019",3.29%
"March 31, 2019",3.68%
"Dec. 31, 2018",2.43%
"Sept. 30, 2018",-2.53%
"June 30, 2018",-4.16%
"March 31, 2018",-2.09%
"Dec. 31, 2017",-2.64%
"Sept. 30, 2017",-17.37%
"June 30, 2017",-17.03%
"March 31, 2017",-14.88%
"Dec. 31, 2016",-12.86%
"Sept. 30, 2016",7.10%
"June 30, 2016",-4.51%
"March 31, 2016",-8.80%
"Dec. 31, 2015",-7.96%
"Sept. 30, 2015",-7.59%
"June 30, 2015",1.98%
"March 31, 2015",2.39%
"Dec. 31, 2014",3.46%
"Sept. 30, 2014",3.79%
"June 30, 2014",3.98%
"March 31, 2014",3.77%
"Dec. 31, 2013",1.27%
"Sept. 30, 2013",2.88%
"June 30, 2013",3.97%
"March 31, 2013",6.21%
"Dec. 31, 2012",2.82%
"Sept. 30, 2012",1.29%
"June 30, 2012",4.55%
"March 31, 2012",4.03%
"Dec. 31, 2011",8.61%
"Sept. 30, 2011",9.44%
"June 30, 2011",7.84%
"March 31, 2011",7.69%
"Dec. 31, 2010",7.35%
"Sept. 30, 2010",8.49%
"June 30, 2010",8.15%
"March 31, 2010",7.29%
"Dec. 31, 2009",7.69%
"Sept. 30, 2009",6.29%
"June 30, 2009",6.60%
"March 31, 2009",7.42%
"Dec. 31, 2008",8.39%
"Sept. 30, 2008",8.38%
"June 30, 2008",8.25%
"March 31, 2008",8.45%
"Dec. 31, 2007",7.59%
"Sept. 30, 2007",8.52%
"June 30, 2007",8.08%
"March 31, 2007",8.11%
"Dec. 31, 2006",7.94%
"Sept. 30, 2006",5.84%
"June 30, 2006",5.44%
"March 31, 2006",5.61%
"Dec. 31, 2005",5.26%
"Sept. 30, 2005",5.80%
"June 30, 2005",4.98%
"March 31, 2005",4.76%
"Dec. 31, 2004",5.27%
"Sept. 30, 2004",3.50%
"June 30, 2004",4.48%
"March 31, 2004",4.11%
"Dec. 31, 2003",6.71%
"Sept. 30, 2003",8.56%
"June 30, 2003",9.09%
"March 31, 2003",9.87%
"Dec. 31, 2002",3.93%
"Sept. 30, 2002",3.41%
"June 30, 2002",2.84%
"March 31, 2002",2.94%
"Dec. 31, 2001",6.30%
"Sept. 30, 2001",6.63%
"June 30, 2001",6.65%
"March 31, 2001",6.66%
"Dec. 31, 2000",5.80%
"Sept. 30, 2000",5.08%
"June 30, 2000",4.70%
"March 31, 2000",4.07%
"Dec. 31, 1999",3.49%
"Sept. 30, 1999",6.53%
"June 30, 1999",6.15%
"March 31, 1999",5.81%
"Dec. 31, 1998",5.12%
"Sept. 30, 1998",1.09%
"June 30, 1998",-2.31%
"March 31, 1998",-3.05%
"Dec. 31, 1997",-2.09%
"Sept. 30, 1997",-1.19%
"June 30, 1997",2.31%
"March 31, 1997",2.82%
"Dec. 31, 1996",0.23%
"Sept. 30, 1996",1.48%
"June 30, 1996",1.22%
"March 31, 1996",1.06%
"Dec. 31, 1995",3.52%
"Sept. 30, 1995",1.45%
"June 30, 1995",-0.43%
"March 31, 1995",-0.74%
"Dec. 31, 1994",-1.06%
"Sept. 30, 1994",0.10%
"June 30, 1994",2.00%
"March 31, 1994",2.31%
"Dec. 31, 1993",4.05%
"Sept. 30, 1993",5.54%
