date,profit_margin
"Dec. 31, 2019",15.82%
"Sept. 30, 2019",11.76%
"June 30, 2019",9.02%
"March 31, 2019",9.91%
"Dec. 31, 2018",-2.48%
"Sept. 30, 2018",17.39%
"June 30, 2018",9.32%
"March 31, 2018",5.00%
"Dec. 31, 2017",-18.13%
"Sept. 30, 2017",12.38%
"June 30, 2017",15.79%
"March 31, 2017",3.32%
"Dec. 31, 2016",-66.66%
"Sept. 30, 2016",12.58%
"June 30, 2016",23.25%
"March 31, 2016",9.01%
"Dec. 31, 2015",4.18%
"Sept. 30, 2015",-21.30%
"June 30, 2015",5.67%
"March 31, 2015",10.37%
"Dec. 31, 2014",4.42%
"Sept. 30, 2014",6.79%
"June 30, 2014",6.48%
"March 31, 2014",12.65%
"Dec. 31, 2013",5.62%
"Sept. 30, 2013",7.28%
"June 30, 2013",6.14%
"March 31, 2013",6.40%
"Dec. 31, 2012",12.39%
"Sept. 30, 2012",11.56%
"June 30, 2012",14.71%
"March 31, 2012",-6.16%
"Dec. 31, 2011",6.43%
"Sept. 30, 2011",18.64%
"June 30, 2011",11.44%
"March 31, 2011",9.98%
"Dec. 31, 2010",9.21%
"Sept. 30, 2010",14.94%
"June 30, 2010",11.19%
"March 31, 2010",7.93%
"Dec. 31, 2009",12.76%
"Sept. 30, 2009",15.67%
"June 30, 2009",9.20%
"March 31, 2009",8.62%
"Dec. 31, 2008",6.35%
"Sept. 30, 2008",11.86%
"June 30, 2008",8.45%
"March 31, 2008",10.78%
"Dec. 31, 2007",7.10%
"Sept. 30, 2007",14.02%
"June 30, 2007",9.66%
"March 31, 2007",7.88%
"Dec. 31, 2006",9.90%
"Sept. 30, 2006",12.16%
"June 30, 2006",10.72%
"March 31, 2006",7.85%
"Dec. 31, 2005",2.68%
"Sept. 30, 2005",12.30%
"June 30, 2005",11.96%
"March 31, 2005",8.45%
"Dec. 31, 2004",6.92%
"Sept. 30, 2004",9.72%
"June 30, 2004",10.91%
"March 31, 2004",9.46%
"Dec. 31, 2003",-1.60%
"Sept. 30, 2003",13.76%
"June 30, 2003",8.99%
"March 31, 2003",19.68%
"Dec. 31, 2002",4.35%
"Sept. 30, 2002",14.86%
"June 30, 2002",11.81%
"March 31, 2002",-3.92%
"Dec. 31, 2001",1.40%
"Sept. 30, 2001",12.32%
"June 30, 2001",9.80%
"March 31, 2001",6.06%
"Dec. 31, 2000",1.89%
"Sept. 30, 2000",8.94%
"June 30, 2000",11.50%
"March 31, 2000",5.98%
"Dec. 31, 1999",0.93%
"Sept. 30, 1999",9.67%
"June 30, 1999",9.06%
"March 31, 1999",4.45%
"Dec. 31, 1998",11.84%
"Sept. 30, 1998",5.72%
"June 30, 1998",8.61%
"March 31, 1998",2.59%
"Dec. 31, 1997",-0.35%
"Sept. 30, 1997",2.33%
"June 30, 1997",7.28%
"March 31, 1997",6.18%
"Dec. 31, 1996",3.44%
"Sept. 30, 1996",13.93%
"June 30, 1996",11.15%
"March 31, 1996",-4.32%
"Dec. 31, 1995",8.27%
"Sept. 30, 1995",13.46%
"June 30, 1995",10.40%
"March 31, 1995",6.76%
"Dec. 31, 1994",-1.39%
"Sept. 30, 1994",7.93%
"June 30, 1994",9.10%
"March 31, 1994",5.03%
"Dec. 31, 1993",3.42%
"Sept. 30, 1993",16.54%
"June 30, 1993",12.23%
"March 31, 1993",16.31%
"Dec. 31, 1992",5.54%
"Sept. 30, 1992",16.53%
"June 30, 1992",8.57%
"March 31, 1992",10.40%
"Dec. 31, 1991",12.07%
"Sept. 30, 1991",16.21%
"June 30, 1991",8.35%
"March 31, 1991",9.57%
"Dec. 31, 1990",7.62%
"Sept. 30, 1990",17.08%
"June 30, 1990",11.65%
"March 31, 1990",9.97%
"Dec. 31, 1989",1.71%
"Sept. 30, 1989",-61.63%
"June 30, 1989",-12.69%
"March 31, 1989",-12.69%
"Dec. 31, 1988",6.91%
"Sept. 30, 1988",15.69%
"June 30, 1988",10.83%
"March 31, 1988",11.43%
"Dec. 31, 1987",-2.86%
"Sept. 30, 1987",17.26%
"June 30, 1987",11.26%
"March 31, 1987",12.97%
"Dec. 31, 1986",7.76%
"Sept. 30, 1986",15.98%
"June 30, 1986",12.75%
"March 31, 1986",14.24%
"Dec. 31, 1985",12.38%
"Sept. 30, 1985",12.39%
"June 30, 1985",16.68%
"March 31, 1985",17.97%
"Dec. 31, 1984",12.85%
"Sept. 30, 1984",18.43%
"June 30, 1984",14.48%
"March 31, 1984",15.74%
