date,revenues_growth
"Dec. 31, 2019",16.02%
"Sept. 30, 2019",1.16%
"June 30, 2019",-6.87%
"March 31, 2019",-1.11%
"Dec. 31, 2018",-0.29%
"Sept. 30, 2018",-3.01%
"June 30, 2018",-0.38%
"March 31, 2018",-4.97%
"Dec. 31, 2017",-13.01%
"Sept. 30, 2017",-6.09%
"June 30, 2017",1.94%
"March 31, 2017",7.40%
"Dec. 31, 2016",13.10%
"Sept. 30, 2016",5.71%
"June 30, 2016",-1.14%
"March 31, 2016",1.92%
"Dec. 31, 2015",-3.27%
"Sept. 30, 2015",-7.88%
"June 30, 2015",6.71%
"March 31, 2015",0.21%
"Dec. 31, 2014",8.38%
"Sept. 30, 2014",18.30%
"June 30, 2014",4.66%
"March 31, 2014",5.96%
"Dec. 31, 2013",3.79%
"Sept. 30, 2013",5.00%
"June 30, 2013",5.09%
"March 31, 2013",0.85%
"Dec. 31, 2012",0.39%
"Sept. 30, 2012",3.01%
"June 30, 2012",-2.47%
"March 31, 2012",1.22%
"Dec. 31, 2011",5.36%
"Sept. 30, 2011",9.88%
"June 30, 2011",13.99%
"March 31, 2011",3.51%
"Dec. 31, 2010",2.32%
"Sept. 30, 2010",8.59%
"June 30, 2010",1.19%
"March 31, 2010",1.28%
"Dec. 31, 2009",-2.85%
"Sept. 30, 2009",-11.95%
"June 30, 2009",-10.73%
"March 31, 2009",-8.09%
"Dec. 31, 2008",6.65%
"Sept. 30, 2008",12.05%
"June 30, 2008",12.27%
"March 31, 2008",11.23%
"Dec. 31, 2007",6.55%
"Sept. 30, 2007",3.50%
"June 30, 2007",5.63%
"March 31, 2007",6.61%
"Dec. 31, 2006",-14.12%
"Sept. 30, 2006",12.98%
"June 30, 2006",20.78%
"March 31, 2006",17.95%
"Dec. 31, 2005",25.27%
"Sept. 30, 2005",6.90%
"June 30, 2005",-9.13%
"March 31, 2005",-1.95%
"Dec. 31, 2004",20.31%
"Sept. 30, 2004",-14.34%
"June 30, 2004",-6.05%
"March 31, 2004",27.61%
"Dec. 31, 2003",3.34%
"Sept. 30, 2003",3.90%
"June 30, 2003",-0.37%
"March 31, 2003",-27.33%
"Dec. 31, 2002",324.2%
"Sept. 30, 2002",-20.76%
"June 30, 2002",-41.41%
"March 31, 2002",-56.02%
"Dec. 31, 2001",
"Sept. 30, 2001",-50.44%
"June 30, 2001",-11.09%
"March 31, 2001",33.25%
"Dec. 31, 2000",
"Sept. 30, 2000",20.70%
"June 30, 2000",20.42%
"March 31, 2000",-2.30%
"Dec. 31, 1999",-6.55%
"Sept. 30, 1999",17.15%
"June 30, 1999",-2.19%
"March 31, 1999",17.76%
"Dec. 31, 1998",8.14%
"Sept. 30, 1998",30.62%
"June 30, 1998",55.27%
"March 31, 1998",29.36%
"Dec. 31, 1997",75.66%
"Sept. 30, 1997",61.11%
"June 30, 1997",44.15%
"March 31, 1997",49.64%
"Dec. 31, 1996",21.58%
"Sept. 30, 1996",-4.66%
"June 30, 1996",-12.62%
"March 31, 1996",-2.54%
"Dec. 31, 1995",-15.80%
"Sept. 30, 1995",-7.36%
"June 30, 1995",0.33%
"March 31, 1995",-8.23%
"Dec. 31, 1994",-2.55%
"Sept. 30, 1994",-3.12%
"June 30, 1994",-0.99%
"March 31, 1994",2.05%
"Dec. 31, 1993",5.84%
"Sept. 30, 1993",5.31%
"June 30, 1993",-2.21%
"March 31, 1993",1.81%
"Dec. 31, 1992",-2.93%
"Sept. 30, 1992",11.05%
"June 30, 1992",7.13%
"March 31, 1992",6.56%
"Dec. 31, 1991",7.46%
"Sept. 30, 1991",-2.98%
"June 30, 1991",8.25%
"March 31, 1991",1.03%
"Dec. 31, 1990",14.22%
"Sept. 30, 1990",15.66%
"June 30, 1990",4.13%
"March 31, 1990",6.58%
"Dec. 31, 1989",5.06%
"Sept. 30, 1989",14.24%
"June 30, 1989",18.11%
"March 31, 1989",12.81%
"Dec. 31, 1988",11.61%
"Sept. 30, 1988",7.56%
"June 30, 1988",-0.46%
"March 31, 1988",6.70%
"Dec. 31, 1987",-5.01%
"Sept. 30, 1987",-8.65%
"June 30, 1987",-5.44%
"March 31, 1987",-12.90%
"Dec. 31, 1986",-6.74%
"Sept. 30, 1986",-7.68%
"June 30, 1986",-7.29%
"March 31, 1986",-7.41%
"Dec. 31, 1985",-1.81%
"Sept. 30, 1985",6.94%
"June 30, 1985",11.63%
"March 31, 1985",15.28%
